,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,112,2006-08-06,BAL,NYY,9-GF,,99,0.2,0,0,0,0,1,0,0,0.0,2,13,9,2,0,0,1,1,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,0.06,0.003,0.0,0.00%,0.96,9t 12- 1 out d5,9t end d 5,,BAL,0.0,L,1,6
1,2,113,2006-08-07,BAL,TOR,6-7,,0,2.0,2,0,0,0,2,0,0,0.0,8,34,25,6,4,1,5,2,1,0,,0,0,0,0,0,8,1,0,0,0,0,0,0.09,0.011000000000000001,0.0,0.00%,1.11,6b --- 0 out d5,7b 3 out d5,,TOR,1.0,L,1,8
2,3,136,2006-09-03,BAL,OAK,5-7,,26,3.0,2,0,0,1,2,0,0,0.0,12,49,30,7,10,1,8,2,1,0,,0,0,0,0,0,11,1,0,0,0,0,0,0.01,0.002,0.0,0.00%,1.61,5b --- 0 out d9,7b 3 out d9,,OAK,1.0,L,1,10
3,4,139,2006-09-06,BAL,LAA,8-GF(8),,2,0.2,0,0,0,1,0,0,0,0.0,3,8,4,1,0,2,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,0.07,0.004,0.0,0.00%,0.57,8b 1-- 1 out d4,8b end d 4,,LAA,5.0,L,4,8
4,5,142,2006-09-10,BAL,NYY,6-6,,3,0.1,1,2,2,1,0,0,0,2.7,3,14,8,3,0,0,2,1,0,0,,0,0,0,0,0,1,1,0,0,0,1,0,0.09,-0.017,0.0,0.00%,-1.43,6t --- 0 out d6,6t --3 1 out d7,,BAL,20.0,L,4,9
5,6,147,2006-09-15,BAL,DET,6-6,,4,0.1,2,5,4,2,0,0,0,7.71,6,23,11,2,4,0,4,1,1,0,,0,0,0,0,0,4,2,0,1,0,0,1,0.03,-0.006999999999999999,0.0,0.00%,-3.08,6b --- 0 out d7,6b 123 1 out d9,,DET,40.0,L,2,17
6,7,158,2006-09-27,BAL,NYY,6-7,,11,1.0,3,3,3,1,1,1,1,10.13,8,37,19,0,4,1,4,0,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,0.01,-0.002,0.0,0.00%,-3.46,6b --- 0 out d9,7b 12- 0 out d12,,NYY,4.0,L,5,16
7,8,33,2007-05-08,WAS,MIL,7-8,,99,0.2,1,1,1,0,1,1,0,13.5,3,6,6,2,2,0,2,1,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,0.91,-0.01,0.21,0.00%,-0.3,7b -2- 1 out d1,8b --- 0 out d2,,MIL,5.0,L,4,6
8,9,35,2007-05-11,WAS,FLA,6-6,H(1),2,1.0,0,0,0,0,1,0,0,5.4,4,19,12,3,4,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,1.95,0.08,0.3,0.01%,0.49,6t --- 0 out a1,6t 3 out a1,,WSN,0.0,W,6,0
9,10,36,2007-05-12,WAS,FLA,7-7,,0,1.0,2,0,0,1,1,0,0,3.38,6,23,12,2,6,2,2,0,1,0,,0,0,0,0,0,5,1,0,0,0,0,0,1.66,0.055,0.26,0.01%,0.49,7t --- 0 out d1,7t 3 out d1,,WSN,3.0,W,7,3
10,11,39,2007-05-15,WAS,ATL,5-5,,2,1.0,0,0,0,0,1,0,0,2.45,3,10,7,0,2,0,2,0,2,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.14,0.011000000000000001,0.04,0.00%,0.49,5t --- 0 out d5,5t 3 out d5,,WSN,0.0,L,2,6
11,12,40,2007-05-16,WAS,ATL,6-6,H(2),0,0.1,0,0,0,0,1,0,0,2.25,1,4,3,1,2,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0.49,0.013000000000000001,0.11,0.00%,0.1,6t --- 2 out a2,6t 3 out a2,,WSN,0.0,W,6,4
12,13,42,2007-05-18,WAS,BAL,7-7,,1,0.2,0,0,0,0,1,0,0,1.93,2,11,6,2,3,0,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.37,0.077,0.34,0.01%,0.68,7t -2- 1 out d1,7t 3 out d1,,WSN,0.0,L,4,5
13,14,43,2007-05-19,WAS,BAL,11-11,L(0-1),0,0.2,2,2,2,1,1,0,0,5.06,5,27,15,5,1,0,3,2,0,0,,0,0,1,0,0,4,1,0,0,0,0,0,2.95,-0.423,0.61,-0.05%,-1.83,11t --- 0 out tie,11t -2- 2 out d2,,WSN,15.0,L,2,3
14,15,45,2007-05-21,WAS,CIN,4-6,,1,3.0,1,0,0,0,2,0,0,3.24,9,31,20,7,5,5,2,0,1,0,,0,0,0,0,0,9,0,0,0,1,0,0,1.02,0.212,0.22,0.03%,1.64,4b --- 0 out a2,6b 3 out a2,,CIN,0.3333333333333333,L,7,8
15,16,47,2007-05-23,WAS,CIN,7-7,,1,0.1,1,0,0,0,0,0,0,3.12,2,5,3,0,0,0,2,1,1,0,,3,2,0,0,0,2,0,0,0,0,0,0,1.07,-0.006,0.21,0.00%,-1.2,7b 123 2 out a6,7b 3 out a4,,CIN,10.0,W,12,7
16,17,49,2007-05-25,WAS,STL,6-6,H(3),1,1.0,2,0,0,0,0,0,0,2.79,4,15,9,2,1,0,4,1,2,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.73,0.057,0.5,0.01%,0.52,6b --- 0 out a3,6b 3 out a3,,STL,2.0,W,5,4
17,18,50,2007-05-26,WAS,STL,6-7,,0,2.0,0,0,0,0,4,0,0,2.31,6,25,20,3,8,1,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.06,0.009000000000000001,0.02,0.00%,1.04,6b --- 0 out d5,7b 3 out d5,,STL,0.0,L,6,8
18,19,52,2007-05-29,WAS,LAD,7-8,,2,1.2,5,4,4,0,1,1,0,4.73,10,31,20,3,2,2,7,2,0,0,,3,3,0,0,0,10,1,0,0,0,0,0,0.11,-0.065,0.04,-0.01%,-4.94,7t 123 1 out d3,8t 3 out d10,,WSN,4.166666666666667,L,0,10
19,20,55,2007-06-01,WAS,SDP,6-6,BS(1),2,0.2,1,0,0,0,1,0,0,4.5,3,9,7,0,5,1,1,0,1,0,,2,1,0,0,0,3,1,0,0,0,0,0,3.0,-0.026000000000000002,0.72,0.00%,-0.09,6t 12- 1 out a1,6t 3 out tie,,WSN,5.0,W,4,3
20,21,56,2007-06-02,WAS,SDP,7-8,,0,2.0,3,3,3,1,2,0,0,5.63,10,29,18,6,2,4,3,1,1,0,,0,0,0,0,0,9,2,0,1,0,0,0,0.29,-0.08199999999999999,0.09,-0.01%,-2.01,7t --- 0 out d3,8t 3 out d6,,WSN,2.0,L,3,11
21,22,58,2007-06-05,WAS,PIT,5-6,,2,1.2,2,1,1,0,1,1,0,5.6,6,15,12,3,0,1,4,2,0,0,,3,1,0,0,0,5,0,0,0,1,1,0,0.45,-0.019,0.08,0.00%,0.06,5t 123 1 out d3,6t 3 out d5,,WSN,1.6666666666666667,L,6,7
22,23,63,2007-06-10,WAS,MIN,6-6,,4,0.2,3,1,1,0,0,0,0,5.89,5,25,13,5,0,2,3,1,2,0,,0,0,1,0,0,5,0,0,0,0,0,0,0.95,-0.105,0.24,-0.02%,-0.99,6b --- 0 out d1,6b 1-3 2 out d2,,MIN,15.0,L,3,6
23,24,67,2007-06-15,WAS,TOR,5-7,,4,2.2,4,3,2,2,3,1,0,6.0,14,58,37,7,7,3,6,1,1,0,,2,0,0,0,0,12,1,0,0,1,0,1,0.36,-0.026000000000000002,0.15,-0.01%,-0.94,5b 12- 1 out d3,7b 3 out d6,,TOR,2.727272727272727,L,2,7
24,25,70,2007-06-18,WAS,DET,5-6,,2,2.0,2,1,1,0,1,1,0,5.87,7,27,18,4,5,2,4,1,1,0,,3,3,0,0,0,7,0,0,0,1,0,0,0.12,-0.033,0.04,-0.01%,-1.17,5t 123 0 out d4,6t 3 out d8,,WSN,1.0,L,8,9
