Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,136,2008-08-31,NYY,TOR,8-GF,,99,2.0,0,0,0,0,3,0,0,0.00,6,19,17,7,2,0,3,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.09,0.014,.03,0.00%,1.10,8t --- 0 out d4,9t end d 4,,NYY,0.0,L,2,6
2,140,2008-09-04,NYY,TBR,2-7,,3,5.0,5,1,1,2,4,1,0,1.29,22,97,61,8,12,2,14,5,3,0,,3,2,0,0,0,20,1,0,0,0,0,0,.29,-0.030,.11,-0.01%,0.60,2b 123 1 out d3,7b -2- 1 out d6,,TBR,1.4,L,5,7
3,145,2008-09-09,NYY,LAA,GS-7,W(1-0),4,7.0,5,1,1,0,2,0,0,1.29,26,89,63,16,7,14,10,2,2,0,65,,,1,0,0,26,1,0,0,1,0,0,1.09,0.327,.06,0.01%,2.81,1b start tie,7b 3 out a5,,LAA,0.7142857142857143,W,7,1
4,150,2008-09-15,NYY,CHW,GS-6,,5,6.0,5,2,2,1,3,1,0,1.80,23,87,60,17,6,9,10,4,2,0,56,,,0,1,0,22,2,0,0,0,0,0,.98,0.145,.02,0.00%,1.30,1t start tie,6t 3 out tie,,NYY,1.0,W,4,2
5,155,2008-09-20,NYY,BAL,GS-6,,4,6.0,5,0,0,3,3,0,0,1.38,24,92,58,14,7,7,11,7,2,0,62,,,0,1,0,21,1,0,0,0,0,0,1.12,0.369,.01,0.00%,3.30,1t start tie,6t 3 out tie,,NYY,1.3333333333333333,W,1,0
6,160,2008-09-26,NYY,BOS,GS-4,,5,4.0,5,4,4,4,1,2,0,2.40,19,77,42,10,4,6,8,1,1,0,33,,,1,0,0,15,0,0,0,2,0,0,.68,-0.128,.00,0.00%,-1.71,1b start a 1,4b 3 out a8,,BOS,2.25,W,19,8
7,25,2009-05-04,NYY,BOS,5-9,,99,4.1,4,2,2,2,7,1,1,4.15,20,70,46,13,7,6,4,3,0,0,,0,0,1,0,0,17,0,0,1,1,0,1,.70,-0.074,.95,-0.06%,0.26,5t --- 0 out d4,9t 1-- 1 out d2,,NYY,1.4634146341463417,L,4,6
8,33,2009-05-13,NYY,TOR,7-8,,8,2.0,1,0,0,0,1,0,0,2.84,7,26,15,7,1,2,4,1,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,.20,0.022,.21,0.01%,1.09,7b --- 0 out a6,8b 3 out a6,,TOR,0.5,W,8,2
9,36,2009-05-16,NYY,MIN,11-GF(11),W(1-0),2,1.0,0,0,0,0,0,0,0,2.45,3,10,7,1,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.91,0.151,2.11,0.10%,0.57,11t --- 0 out tie,11t end tie,,NYY,0.0,W,6,4
10,37,2009-05-17,NYY,MIN,10-GF(10),W(2-0),0,1.0,0,0,0,0,1,0,0,2.16,3,11,7,1,2,0,2,0,2,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.91,0.151,2.27,0.11%,0.57,10t --- 0 out tie,10t end tie,,NYY,0.0,W,3,2
11,40,2009-05-20,NYY,BAL,6-7,H(1),2,2.0,2,0,0,0,2,0,0,1.74,7,23,16,4,2,3,2,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.95,0.148,1.24,0.12%,1.14,6t --- 0 out a2,7t 3 out a2,,NYY,1.0,W,11,4
12,41,2009-05-21,NYY,BAL,1-4,W(3-0),0,3.1,3,0,0,1,1,0,0,1.32,14,50,32,9,2,5,7,1,3,0,,2,0,0,0,0,13,0,0,0,0,0,0,.60,0.130,.79,0.10%,2.25,1t 1-3 2 out tie,4t 3 out a6,,NYY,1.2903225806451613,W,7,4
13,45,2009-05-25,NYY,TEX,9-GF,,3,1.0,1,1,1,0,1,1,0,1.84,4,8,7,1,3,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,.00,0.00%,-0.44,9b --- 0 out a11,9b end a10,,TEX,1.0,W,11,1
14,46,2009-05-26,NYY,TEX,5-7,L(3-1),0,2.0,4,3,3,0,2,0,0,3.24,10,33,23,4,4,3,5,2,1,0,,0,0,0,0,0,10,2,0,0,0,0,0,1.02,-0.177,1.47,-0.15%,-1.37,5b --- 0 out d2,7b -23 0 out d1,,TEX,2.0,L,3,7
15,48,2009-05-29,NYY,CLE,6-8,H(2),2,3.0,1,0,0,0,3,0,0,2.75,10,39,25,5,3,3,4,1,1,0,,3,1,1,0,0,9,0,0,0,0,1,0,2.04,0.386,2.87,0.33%,2.39,6b 123 0 out a3,8b 3 out a2,,CLE,0.3333333333333333,W,3,1
16,54,2009-06-04,NYY,TEX,5-7,,5,1.2,2,1,1,2,2,1,0,2.95,9,34,20,7,0,1,4,1,1,0,,0,0,1,0,0,7,0,0,0,0,0,0,.85,-0.024,1.27,-0.02%,-0.05,5t --- 2 out d4,7t --- 1 out tie,,NYY,3.3333333333333335,W,8,6
17,56,2009-06-07,NYY,TBR,7-8,W(4-1),2,2.0,1,0,0,0,4,0,0,2.70,6,33,21,5,6,0,2,1,0,0,,0,0,0,1,0,6,0,0,0,0,0,0,.61,0.076,.99,0.07%,1.14,7t --- 0 out d2,8t 3 out d2,,NYY,0.5,W,4,3
18,59,2009-06-10,NYY,BOS,8-GF(8),,2,1.0,1,0,0,1,0,0,0,2.59,5,17,9,3,0,0,4,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.77,0.037,1.40,0.04%,0.57,8b --- 0 out d1,8b end d 1,,BOS,2.0,L,5,6
19,60,2009-06-11,NYY,BOS,8-8,BS(1),0,0.1,2,0,0,0,0,0,0,2.55,3,10,6,1,0,0,3,2,0,0,,2,2,0,0,0,2,0,0,0,0,1,0,3.55,-0.321,6.45,-0.35%,-1.39,8b 12- 0 out a1,8b 12- 1 out d1,,BOS,20.0,L,3,4
20,62,2009-06-13,NYY,NYM,6-7,,1,2.0,2,1,1,0,0,1,0,2.70,8,36,22,6,1,1,7,2,1,0,,0,0,0,0,0,8,1,0,0,0,0,0,.20,-0.002,.29,0.00%,0.14,6t --- 0 out d4,7t 3 out d5,,NYY,1.0,L,2,6
21,65,2009-06-17,NYY,WSN,9-GF,,3,0.2,0,0,0,0,0,0,0,2.63,2,5,4,1,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.25,0.013,.35,0.01%,0.31,9t --- 1 out d2,9t end d 2,,NYY,0.0,L,2,3
22,66,2009-06-18,NYY,WSN,7-7,,0,1.0,0,0,0,0,1,0,0,2.54,3,9,7,4,0,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.32,0.026,.48,0.02%,0.57,7t --- 0 out d3,7t 3 out d3,,NYY,0.0,L,0,3
23,69,2009-06-21,NYY,FLA,2-4,,2,2.2,1,0,0,0,2,0,0,2.32,9,43,29,12,5,1,6,2,2,0,,1,0,0,0,0,9,0,0,0,0,0,0,.86,0.179,1.33,0.17%,1.70,2b -2- 1 out d1,4b 3 out a2,,FLA,0.45454545454545453,L,5,6
