Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,38,2004-05-18,MIL,MON,7-7,,99,1.0,0,0,0,0,1,0,0,0.00,3,12,6,2,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.60,0.047,.56,0.03%,0.54,7b --- 0 out d1,7b 3 out d1,,MON,0.0,L,2,3
2,40,2004-05-20,MIL,MON,8-8,W(1-0),1,1.0,0,0,0,1,1,0,0,0.00,4,21,14,2,2,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.44,0.111,2.32,0.06%,0.54,8b --- 0 out tie,8b 3 out tie,,MON,1.0,W,3,2
3,44,2004-05-26,MIL,LAD,5-6,,5,2.0,1,0,0,0,1,0,0,0.00,7,22,16,5,3,3,3,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.75,0.111,.72,0.06%,1.04,5t --- 0 out d1,6t 3 out d1,,MIL,0.5,W,2,1
4,47,2004-05-29,MIL,SDP,8-8,H(1),2,0.1,0,0,0,0,0,0,0,0.00,1,4,2,1,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.46,0.059,2.49,0.04%,0.24,8t 1-- 2 out a1,8t 3 out a1,,MIL,0.0,W,4,3
5,48,2004-05-30,MIL,SDP,7-8,,0,2.0,0,0,0,0,2,0,0,0.00,6,25,13,3,3,1,3,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.19,0.029,.20,0.02%,1.04,7t --- 0 out d4,8t 3 out d3,,MIL,0.0,L,2,5
6,52,2004-06-04,MIL,SDP,6-8,H(2),4,3.0,1,0,0,0,0,0,0,0.00,10,34,22,7,3,2,8,0,1,0,,0,0,0,0,0,10,1,0,0,0,0,0,1.09,0.230,1.04,0.13%,1.40,6b --- 0 out a2,8b 3 out a2,,SDP,0.3333333333333333,W,3,1
7,55,2004-06-08,MIL,ANA,12-13,,3,1.2,1,0,0,1,1,0,1,0.00,9,36,19,4,1,4,2,0,1,0,,0,0,1,0,0,6,0,0,1,0,0,1,3.39,0.180,2.85,0.09%,0.75,12b --- 0 out tie,13b -2- 2 out tie,,ANA,1.6666666666666667,W,1,0
8,57,2004-06-10,MIL,ANA,8-GF(8),BS(1),1,1.0,2,0,0,0,0,0,1,0.00,6,28,20,4,2,2,3,1,1,0,,2,2,0,0,0,5,0,0,0,0,0,0,2.01,-0.275,2.07,-0.17%,-0.44,8b 12- 0 out a1,8b end d 1,,ANA,2.0,L,4,5
9,59,2004-06-12,MIL,HOU,7-7,H(3),1,1.0,0,0,0,0,1,0,0,0.00,3,13,8,3,2,0,2,1,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,1.77,0.132,2.18,0.10%,0.91,7t 1-- 0 out a2,7t 3 out a2,,MIL,0.0,W,7,4
10,63,2004-06-17,MIL,SEA,9-GF,,4,1.0,3,2,2,0,0,1,0,1.29,5,15,11,1,1,3,2,2,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,.46,-0.123,.52,-0.08%,-1.48,9t --- 0 out d1,9t end d 3,,MIL,3.0,L,3,6
