Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
9,111,2000-08-05,ANA,CLE,8-8,,99,0.1,0,0,0,0,0,0,0,0.00,1,2,1,0,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.10,0.003,.12,0.00%,0.45,8b 12- 1 out d4,8b 1-3 2 out d4,,CLE,0.0,L,3,6
10,112,2000-08-06,ANA,CLE,4-4,,0,0.1,0,0,0,0,0,0,0,0.00,1,1,1,0,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.75,0.022,.79,0.01%,0.41,4b --3 2 out d3,4b 3 out d3,,CLE,0.0,L,2,5
11,121,2000-08-17,ANA,NYY,6-6,,10,0.2,1,2,2,1,1,1,0,13.50,4,15,7,3,0,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.46,-0.100,.54,-0.07%,-1.53,6b --- 0 out d2,6b --- 2 out d4,,NYY,10.0,L,1,6
12,122,2000-08-18,ANA,NYY,6-7,,0,0.2,1,0,0,1,0,0,0,9.00,4,15,8,3,1,1,2,1,0,0,,1,1,0,0,0,3,1,0,1,0,0,0,.18,-0.023,.18,-0.01%,-0.46,6b 1-- 2 out d4,7b --- 1 out d5,,NYY,10.0,W,9,8
13,129,2000-08-26,ANA,CLE,7-7,,7,0.1,0,0,0,0,0,0,0,7.71,1,5,3,1,1,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.33,0.010,.50,0.01%,0.57,7t 1-3 2 out d5,7t 3 out d5,,ANA,0.0,L,5,9
14,138,2000-09-05,ANA,DET,3-3,,9,0.0,1,0,0,0,0,0,0,7.71,1,3,1,0,0,0,1,1,0,0,,3,2,0,0,0,1,1,0,0,0,0,0,1.21,-0.069,.40,-0.01%,-1.83,3b 123 1 out d3,3b -23 1 out d5,,DET,inf,L,5,7
15,147,2000-09-15,ANA,MIN,7-7,,9,1.0,1,0,0,1,1,0,0,5.40,5,15,9,3,2,1,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.02,0.001,.01,0.00%,0.62,7b --- 0 out a11,7b 3 out a11,,MIN,2.0,W,16,5
16,150,2000-09-19,ANA,KCR,8-GF(8),,3,0.1,1,0,0,1,0,0,0,4.91,3,12,6,4,0,0,2,1,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.10,0.002,.01,0.00%,0.28,8b 1-- 2 out d4,8b end d 4,,KCR,20.0,L,1,5
17,156,2000-09-25,ANA,OAK,7-7,,5,0.1,1,0,0,1,0,0,0,4.50,3,9,5,2,1,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.17,-0.004,.00,0.00%,-0.34,7b --- 1 out d4,7b -23 2 out d4,,OAK,20.0,L,5,7
18,157,2000-09-26,ANA,OAK,8-GF(8),,0,1.0,4,3,3,1,0,1,0,9.00,7,21,11,1,2,2,4,2,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,.04,-0.005,.00,0.00%,-2.43,8b --- 0 out d5,8b end d 8,,OAK,5.0,L,3,10
