Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,23,2018-04-23,LAA,HOU,8-8,H(1),99,1.0,2,0,0,0,1,0,0,0.00,5,20,14,2,3,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.67,0.090,2.39,0.08%,0.51,3.05,6.00,8b --- 0 out a2,8b 3 out a2,,HOU,2.0,W,2,0
2,24,2018-04-24,LAA,HOU,7-7,H(2),0,0.2,1,0,0,1,1,0,0,0.00,4,17,9,3,3,1,1,0,0,0,,2,1,0,0,0,3,0,0,0,0,0,0,4.60,0.039,6.72,0.03%,-0.08,2.30,5.00,7b 12- 1 out a2,7b 3 out a1,,HOU,10.0,W,8,7
3,26,2018-04-27,LAA,NYY,8-8,H(3),2,1.0,0,0,0,1,1,0,0,0.00,4,17,9,3,3,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.65,0.121,3.19,0.09%,0.50,3.65,6.00,8t --- 0 out a1,8t 3 out a1,,LAA,1.0,L,3,4
4,28,2018-04-29,LAA,NYY,6-7,,1,1.2,0,0,0,1,3,0,0,0.00,6,25,14,6,4,2,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.92,0.076,1.09,0.05%,0.77,9.15,14.00,6t --- 1 out d2,7t 3 out d1,,LAA,0.8333333333333334,L,1,2
5,29,2018-05-01,LAA,BAL,7-7,H(4),1,0.2,0,0,0,0,1,0,0,0.00,2,10,8,2,2,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.72,0.036,.76,0.02%,0.27,3.50,5.00,7t --- 1 out a2,7t 3 out a2,,LAA,0.0,W,3,2
6,32,2018-05-04,LAA,SEA,7-8,H(5),2,1.1,1,0,0,0,2,0,0,0.00,5,23,16,1,6,1,1,1,0,0,,1,0,0,0,0,4,0,0,0,1,0,0,1.64,0.078,2.34,0.07%,0.79,6.40,10.00,7b -2- 2 out a3,8b 3 out a3,,SEA,0.9090909090909091,W,5,0
7,33,2018-05-05,LAA,SEA,8-8,BS(1),0,0.0,2,3,3,1,0,1,0,4.26,3,13,6,1,3,1,1,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,2.02,-0.687,2.92,-0.60%,-2.84,-7.80,-9.00,8b -2- 1 out a2,8b 1-- 1 out d1,,SEA,inf,L,8,9
8,36,2018-05-09,LAA,COL,6-7,,3,1.2,0,0,0,0,3,0,1,3.38,6,22,14,9,2,2,0,0,0,0,,1,0,0,0,0,5,0,0,0,0,0,0,.66,0.070,.78,0.05%,1.15,9.15,14.00,6b 1-- 1 out a4,7b 3 out a5,,COL,0.0,W,8,0
9,38,2018-05-11,LAA,MIN,8-9,HL(0-1),1,1.1,2,3,3,1,3,1,0,5.79,7,33,21,6,4,0,3,1,0,0,,0,0,0,0,0,6,1,0,1,0,0,0,1.92,-0.133,2.41,-0.10%,-0.91,1.20,4.00,8t --- 0 out a2,9t 12- 1 out a1,,LAA,2.727272727272727,L,4,5
10,41,2018-05-14,LAA,HOU,9-GF,S(1),2,1.0,2,0,0,1,0,0,0,5.23,5,17,11,3,3,3,1,0,0,0,,0,0,0,0,0,4,0,0,1,0,0,0,3.52,0.162,5.47,0.15%,0.50,0.45,3.00,9t --- 0 out a1,9t end a 1,,LAA,3.0,W,2,1
11,46,2018-05-19,LAA,TBR,7-8,,4,1.1,1,0,0,0,2,0,0,4.63,5,24,14,8,2,2,1,0,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,.08,0.010,.09,0.01%,1.00,6.40,10.00,7t 1-3 2 out d5,8t 3 out d5,,LAA,0.9090909090909091,L,3,5
12,47,2018-05-20,LAA,TBR,8-8,H(7),0,0.1,0,0,0,1,1,0,0,4.50,2,7,3,1,2,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.96,0.035,2.13,0.02%,0.23,2.15,4.00,8t 1-- 2 out a2,8t 3 out a2,,LAA,10.0,W,5,2
