Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,4,2015-04-10,TBR,MIA,6-6,,99,1.0,0,0,0,1,1,0,0,0.00,4,20,12,4,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.001,.02,0.00%,0.45,6b --- 0 out d7,6b 3 out d7,,MIA,1.0,L,9,10,,
2,8,2015-04-14,TBR,TOR,GS-4,,3,3.2,5,2,2,1,2,0,1,3.86,18,72,39,11,5,10,4,1,0,0,44,,,0,0,0,16,0,0,0,0,0,0,1.48,0.040,1.67,0.03%,0.51,1b start a 1,4b 1-3 2 out a1,,TOR,1.875,W,3,2,,
3,13,2015-04-19,TBR,NYY,GS-4,L(0-1),4,3.1,8,4,4,2,1,0,0,6.75,18,63,39,8,6,9,6,5,0,0,27,,,0,1,0,13,1,1,0,1,2,0,1.32,-0.316,1.41,-0.20%,-2.63,1t start tie,4t 1-- 1 out d2,,TBR,3.225806451612903,L,3,5,,
4,17,2015-04-24,TBR,TOR,7-GF,S(1),4,3.0,2,1,1,0,1,1,0,5.73,11,35,24,9,2,2,8,2,1,0,,0,0,0,0,0,11,1,0,0,0,0,0,.02,0.004,.02,0.00%,0.40,7t --- 0 out a7,9t end a 9,,TBR,0.6666666666666666,W,12,3,,
5,19,2015-04-26,TBR,TOR,8-GF,,1,2.0,3,1,1,0,2,0,0,5.54,10,33,28,4,3,6,2,1,0,0,,0,0,0,0,0,10,0,0,0,0,0,1,.17,0.016,.20,0.01%,-0.07,8t --- 0 out a5,9t end a 4,,TBR,1.5,W,5,1,,
6,31,2015-05-09,TBR,TEX,GS-4,,12,3.2,5,2,2,1,2,1,0,5.40,17,65,40,11,6,8,6,3,2,0,44,,,0,0,0,16,1,0,0,0,0,0,.89,-0.047,.95,-0.03%,-0.44,1t start tie,4t -2- 2 out a1,,TBR,1.875,W,7,2,,
7,36,2015-05-14,TBR,NYY,6-GF,S(2),4,4.0,4,1,1,0,4,1,0,4.79,16,62,41,11,7,6,6,4,0,0,,0,0,0,0,0,16,0,0,0,0,0,0,.16,0.040,.22,0.03%,0.87,6t --- 0 out a5,9t end a 5,,TBR,1.0,W,6,1,,
8,62,2015-06-12,TBR,CHW,GS-6,W(1-1),28,5.2,6,2,0,1,5,0,0,3.76,24,85,55,17,7,10,8,5,0,0,57,,,0,0,0,22,0,0,0,0,1,0,.91,0.044,1.13,0.03%,0.58,1t start tie,6t 1-- 2 out a1,,TBR,1.346153846153846,W,7,5,,
9,67,2015-06-17,TBR,WSN,3-6,W(2-1),4,4.0,2,0,0,1,2,0,0,3.26,15,53,34,10,2,7,5,2,0,0,,0,0,0,0,0,14,0,0,1,0,0,0,1.01,0.229,1.39,0.19%,1.89,3b --- 0 out tie,6b 3 out a3,,WSN,0.75,W,5,0,,
10,72,2015-06-22,TBR,TOR,GS-6,L(2-2),4,5.1,5,4,4,0,2,3,0,3.79,20,70,50,14,7,6,12,3,2,0,44,,,0,0,0,20,1,0,0,1,0,0,.87,-0.220,1.49,-0.23%,-1.45,1t start tie,6t --- 1 out d1,,TBR,0.9803921568627452,L,5,8,,
11,76,2015-06-27,TBR,BOS,GS-6,W(3-2),4,6.0,1,0,0,0,5,0,0,3.24,19,70,48,18,5,4,10,1,0,0,75,,,0,0,0,19,0,0,0,0,0,0,.76,0.334,1.10,0.29%,2.80,1t start tie,6t 3 out a2,,TBR,0.16666666666666666,W,4,1,,
12,86,2015-07-07,TBR,KCR,GS-5,,9,4.2,4,1,1,3,5,0,0,3.11,21,74,44,13,9,6,7,2,1,0,54,,,1,0,0,18,0,0,0,0,0,0,1.12,0.082,1.32,0.06%,1.09,1b start tie,5b 12- 2 out tie,2,KCR,1.6666666666666665,L,1,7,,
13,120,2015-08-19,TBR,HOU,12-GF(13),L(3-3),42,1.2,3,1,1,1,2,0,0,3.19,8,34,18,6,3,5,0,0,0,0,,0,0,1,0,0,7,0,0,0,0,0,0,2.93,-0.237,2.41,-0.12%,-0.54,12b --- 0 out tie,13b end d 1,,HOU,3.3333333333333335,L,2,3,,
14,124,2015-08-23,TBR,OAK,7-7,,3,0.2,4,2,2,0,1,0,0,3.51,6,24,20,4,3,4,1,0,0,0,,2,2,0,0,0,6,0,1,0,0,0,0,.37,-0.084,.37,-0.05%,-3.12,7b 12- 1 out d2,7b 3 out d6,,OAK,20.0,L,2,8,,
15,125,2015-08-25,TBR,MIN,4-6,L(3-4),1,3.0,5,5,5,1,5,1,0,4.18,15,63,43,14,7,1,8,5,1,0,,0,0,0,0,0,14,2,0,0,0,0,0,.82,-0.429,.79,-0.25%,-3.60,4t --- 0 out tie,6t 3 out d3,,TBR,2.0,L,7,11,,
16,128,2015-08-28,TBR,KCR,6-8,,2,3.0,0,0,0,1,3,0,0,3.95,10,44,31,11,5,2,4,1,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,.83,0.151,.54,0.06%,1.40,6t --- 0 out d1,8t 3 out d1,,TBR,0.3333333333333333,L,2,3,,
17,131,2015-08-31,TBR,BAL,7-7,,2,1.0,4,3,3,1,1,0,0,4.37,8,31,18,6,3,5,1,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.83,-0.050,.36,-0.01%,-2.50,7b --- 0 out a6,7b 3 out a3,,BAL,5.0,W,6,3,,
18,133,2015-09-02,TBR,BAL,10-GF(11),L(3-5),1,1.0,1,1,1,0,0,1,0,4.45,4,15,8,1,1,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.92,-0.227,1.15,-0.08%,-0.50,10b --- 0 out tie,11b end d 1,,BAL,1.0,L,6,7,,
19,137,2015-09-07,TBR,DET,8-GF(8),,4,1.0,2,0,0,0,0,0,0,4.37,4,18,11,2,2,2,2,0,0,0,,0,0,0,1,0,4,0,0,0,0,0,0,.71,0.029,.24,0.01%,0.48,8b --- 0 out d1,8b end d 1,,DET,2.0,L,4,5,,
