Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,1,2003-03-31,MON,ATL,8-GF,,99,2.0,4,1,1,1,0,0,0,4.50,9,35,22,8,0,5,3,2,0,0,,0,0,0,0,0,8,0,0,0,2,0,0,.27,0.003,.29,0.00%,0.05,8b --- 0 out a7,9b end a 8,,ATL,2.5,W,10,2
2,2,2003-04-02,MON,ATL,8-8,H(1),1,0.2,0,0,0,0,0,0,0,3.38,2,9,5,3,0,1,1,1,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.96,0.102,2.20,0.07%,0.54,8b 1-- 1 out a2,8b 3 out a2,,ATL,0.0,W,3,0
3,5,2003-04-05,MON,NYM,7-7,,2,0.2,0,0,0,0,0,0,0,2.70,2,6,4,2,0,2,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.58,0.033,.72,0.03%,0.68,7b -2- 1 out d2,7b 3 out d2,,NYM,0.0,L,1,3
4,7,2003-04-08,MON,CHC,8-GF(8),,2,1.0,0,0,0,0,1,0,0,2.08,4,9,9,4,1,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,.02,0.001,.02,0.00%,0.52,8b --- 0 out d5,8b end d 5,,CHC,0.0,L,1,6
5,8,2003-04-09,MON,CHC,8-GF(8),,0,1.0,2,1,1,0,1,0,0,3.38,4,17,13,2,1,1,2,1,0,0,,0,0,0,0,0,4,1,0,0,1,0,0,.25,-0.027,.26,-0.02%,-0.48,8b --- 0 out d2,8b end d 3,,CHC,2.0,L,0,3
6,11,2003-04-12,MON,NYM,7-8,H(2),2,1.1,0,0,0,1,3,0,0,2.70,6,30,18,4,4,1,1,0,0,0,,2,2,0,0,0,5,0,0,0,0,0,1,2.37,0.062,3.03,0.05%,-0.34,7t 1-3 1 out a3,8t --- 2 out a1,,MON,0.9090909090909091,W,5,4
7,14,2003-04-15,MON,ATL,8-8,H(3),2,0.2,1,0,0,0,1,0,0,2.45,3,11,8,2,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.61,0.066,2.09,0.05%,0.30,8t --- 0 out a1,8t 1-- 2 out a1,,MON,5.0,L,1,2
8,16,2003-04-17,MON,ATL,7-7,BS(1),1,1.0,3,4,2,0,0,2,0,4.32,7,24,16,3,1,3,4,1,1,0,,0,0,0,0,0,7,1,0,0,0,0,1,1.25,-0.577,1.63,-0.45%,-3.46,7t --- 0 out a2,7t 3 out d2,,MON,3.0,L,8,14
9,17,2003-04-19,MON,CIN,9-GF(10),W(1-0),1,1.1,0,0,0,0,1,0,1,3.72,5,18,11,3,1,1,2,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,3.50,0.289,3.79,0.19%,1.07,9t 1-3 2 out tie,10t end tie,1,MON,0.0,W,8,7
10,19,2003-04-20,MON,CIN,8-GF,L(1-1),0,2.0,3,2,2,0,2,2,0,4.63,9,29,20,4,3,4,3,2,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,1.09,-0.288,1.23,-0.20%,-0.91,8t --- 0 out tie,9t end d 2,,MON,1.5,L,5,7
11,23,2003-04-25,MON,HOU,9-GF,,4,0.2,0,0,0,0,0,0,0,4.38,2,6,4,1,0,0,2,1,1,0,,3,0,0,0,0,2,0,0,0,0,0,0,.04,0.002,.04,0.00%,1.62,9t 123 1 out a8,9t end a 8,,MON,0.0,W,10,2
12,24,2003-04-26,MON,HOU,7-8,BS(2),0,1.0,2,1,1,0,1,0,0,4.73,5,13,9,4,1,3,1,1,0,0,,3,0,1,0,0,5,1,0,0,0,0,0,3.32,-0.075,3.94,-0.05%,-0.04,7t 123 2 out a1,8t --3 2 out tie,,MON,2.0,W,3,2
13,25,2003-04-27,MON,HOU,9-GF,,0,1.0,0,0,0,0,0,0,0,4.40,3,12,10,1,0,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.13,0.010,.16,0.01%,0.54,9t --- 0 out d3,9t end d 3,,MON,0.0,L,3,6
14,26,2003-04-29,MON,MIL,8-8,,1,0.1,1,0,0,0,0,0,0,4.30,2,5,4,0,0,1,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.24,-0.045,2.60,-0.03%,-0.18,8b --- 0 out tie,8b -2- 1 out tie,,MIL,10.0,W,3,2
15,29,2003-05-02,MON,STL,8-GF(8),,2,1.0,1,1,1,0,0,1,0,4.60,4,20,11,3,0,1,3,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,-0.001,.00,0.00%,-0.50,8b --- 0 out d6,8b end d 7,,STL,1.0,L,1,8
16,33,2003-05-07,MON,SDP,8-8,H(4),4,1.0,1,0,0,0,0,0,0,4.32,4,18,11,3,0,1,3,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.52,0.080,1.88,0.06%,0.54,8t --- 0 out a2,8t 3 out a2,,MON,1.0,W,12,9
17,36,2003-05-10,MON,LAD,7-7,W(2-1),2,0.2,0,0,0,0,0,0,0,4.15,1,2,2,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,1,0,0,.52,0.024,.68,0.02%,0.56,7t 1-- 1 out d3,7t 3 out d3,,MON,0.0,W,6,5
18,38,2003-05-12,MON,SFG,8-8,H(5),1,1.0,0,0,0,0,0,0,0,3.93,3,7,6,2,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.87,0.143,2.42,0.11%,0.51,8b --- 0 out a1,8b 3 out a1,,SFG,0.0,W,4,3
19,42,2003-05-16,MON,COL,8-8,W(3-1),3,0.1,0,0,0,0,0,0,0,3.86,1,5,3,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,3.45,0.093,4.59,0.08%,0.49,8b 12- 2 out tie,8b 3 out tie,,COL,0.0,W,4,1
20,43,2003-05-17,MON,COL,8-9,W(4-1),0,2.0,0,0,0,0,0,0,0,3.48,6,22,15,3,2,4,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.71,0.274,2.38,0.23%,1.19,8b --- 0 out tie,9b 3 out tie,,COL,0.0,W,6,4
21,45,2003-05-20,MON,FLA,8-8,H(6),2,1.0,0,0,0,0,1,0,0,3.32,3,17,11,3,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.60,0.047,.83,0.04%,0.54,8t --- 0 out a3,8t 3 out a3,,MON,0.0,W,6,4
22,49,2003-05-24,MON,PHI,8-GF,W(5-1),3,2.0,0,0,0,0,3,0,0,3.04,6,25,18,5,4,3,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,1.66,0.258,2.65,0.25%,1.09,8t --- 0 out tie,9t end tie,,MON,0.0,W,3,2
23,50,2003-05-25,MON,PHI,8-8,H(7),0,0.2,0,0,0,0,0,0,0,2.96,2,8,6,1,2,1,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.87,0.123,3.04,0.12%,0.98,8t --3 1 out a2,8t 3 out a2,,MON,0.0,W,5,3
24,54,2003-05-29,MON,FLA,8-8,H(8),3,1.0,0,0,0,0,2,0,0,2.84,3,16,9,2,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.87,0.143,2.73,0.13%,0.51,8b --- 0 out a1,8b 3 out a1,,FLA,0.0,W,3,2
25,56,2003-06-01,MON,PHI,8-GF(8),,2,1.0,1,0,0,0,0,0,0,2.73,3,14,10,3,1,3,0,0,0,0,,0,0,0,1,0,3,0,0,0,0,0,0,.49,0.029,.81,0.03%,0.48,8b --- 0 out d1,8b end d 1,1,PHI,1.0,L,3,4
26,60,2003-06-05,MON,ANA,8-8,H(9),3,0.2,1,2,0,0,0,0,0,2.67,4,19,12,3,1,2,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,1.55,0.005,2.02,0.00%,0.08,8t --- 0 out a3,8t 12- 2 out a3,,MON,5.0,W,8,7
27,61,2003-06-06,MON,TEX,9-GF,,0,1.0,1,1,1,0,0,0,0,2.89,4,17,11,3,1,4,0,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.45,0.016,.61,0.01%,-0.46,9t --- 0 out a4,9t end a 3,,MON,1.0,W,13,10
28,62,2003-06-07,MON,TEX,9-GF,S(1),0,1.0,0,0,0,0,1,0,1,2.79,4,14,9,1,4,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,3.57,0.172,4.98,0.14%,0.54,9t --- 0 out a1,9t end a 1,,MON,0.0,W,5,4
29,64,2003-06-10,MON,SEA,8-GF,S(2),2,1.2,1,0,0,0,0,0,0,2.64,6,23,15,4,1,4,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.69,0.099,.98,0.08%,0.79,8b --- 1 out a1,9b end a 4,,SEA,0.8333333333333334,W,7,3
30,65,2003-06-11,MON,SEA,8-8,H(10),0,0.1,1,0,0,0,0,0,0,2.61,2,9,5,1,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.18,-0.006,3.14,-0.01%,-0.02,8b --- 0 out a1,8b 1-- 1 out a1,,SEA,10.0,W,3,1
31,68,2003-06-14,MON,OAK,8-GF(8),BL(5-2),2,1.0,2,3,3,1,0,1,1,3.38,7,17,10,2,2,3,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.20,-0.602,3.21,-0.53%,-2.46,8b --- 0 out a1,8b end d 2,,OAK,3.0,L,4,5
32,71,2003-06-18,MON,PIT,8-8,,3,0.2,0,0,0,0,0,0,0,3.31,1,4,3,0,1,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,1,0,0,2.38,0.110,3.25,0.09%,0.55,8b 1-- 1 out tie,8b 3 out tie,2,PIT,0.0,L,3,4
33,72,2003-06-19,MON,PIT,7-8,H(11),0,1.1,0,0,0,0,0,0,0,3.18,4,12,10,4,0,2,2,2,0,0,,3,0,0,0,0,4,0,0,0,0,0,0,2.93,0.300,3.84,0.24%,1.32,7b 123 2 out a1,8b 3 out a1,,PIT,0.0,W,5,2
34,74,2003-06-21,MON,TOR,8-8,W(6-2),1,1.0,1,0,0,0,0,0,0,3.09,4,11,8,3,0,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.16,0.009,.21,0.01%,0.54,8t --- 0 out d4,8t 3 out d4,,MON,1.0,W,8,5
35,99,2003-07-21,MON,FLA,7-7,,29,1.0,3,1,1,0,1,0,0,3.25,5,20,14,1,2,1,3,1,0,0,,0,0,0,0,0,5,0,1,0,1,0,0,.23,-0.022,.13,-0.01%,-0.49,7b --- 0 out d3,7b 3 out d4,,FLA,3.0,L,1,4
36,102,2003-07-24,MON,NYM,8-8,H(12),2,0.1,0,0,0,0,0,0,0,3.22,1,2,1,0,0,1,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,3.29,0.087,1.71,0.03%,0.80,8t 123 2 out a3,8t 3 out a3,,MON,0.0,W,5,1
37,103,2003-07-25,MON,ATL,10-GF(11),W(7-2),0,2.0,2,0,0,2,0,0,0,3.05,9,30,16,6,1,6,1,0,0,0,,0,0,0,0,0,7,0,0,1,1,0,0,3.08,0.292,1.84,0.11%,1.09,10t --- 0 out tie,11t end tie,,MON,2.0,W,9,8
38,105,2003-07-27,MON,ATL,8-8,H(13),1,1.0,2,2,2,0,1,1,0,3.43,5,15,8,4,0,2,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.91,-0.061,.55,-0.02%,-1.46,8t --- 0 out a3,8t 3 out a1,,MON,2.0,W,13,10
39,109,2003-07-31,MON,STL,7-8,H(14),3,2.0,2,1,1,0,0,0,0,3.48,8,33,22,6,1,6,2,0,0,0,,0,0,0,0,0,7,0,0,0,0,1,0,1.80,0.081,.71,0.02%,0.09,7t --- 0 out a2,8t 3 out a1,,MON,1.0,W,3,2
40,112,2003-08-03,MON,MIL,8-8,H(15),2,1.0,1,0,0,0,1,0,0,3.40,3,13,8,3,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.97,0.047,.59,0.02%,0.54,8t --- 0 out a3,8t 3 out a3,,MON,1.0,W,4,2
41,113,2003-08-05,MON,ARI,8-GF(8),,1,1.0,1,0,0,1,2,0,0,3.32,5,18,10,2,5,1,1,0,0,0,,0,0,0,0,0,4,0,1,1,0,0,0,.23,0.008,.19,0.00%,0.56,8b --- 0 out d3,8b end d 3,,ARI,2.0,L,5,8
42,114,2003-08-06,MON,ARI,8-GF(8),L(7-3),0,0.2,3,1,1,0,0,0,0,3.48,4,12,8,2,1,2,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.95,-0.259,1.22,-0.10%,-0.70,8b --- 1 out tie,8b end d 1,,ARI,15.0,L,2,3
43,116,2003-08-08,MON,HOU,7-7,,1,1.0,2,2,2,0,0,1,0,3.80,5,28,21,2,2,3,2,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.47,-0.078,.21,-0.02%,-1.47,7b --- 0 out d2,7b 3 out d4,,HOU,2.0,L,1,5
44,119,2003-08-11,MON,COL,7-8,H(16),2,1.1,0,0,0,0,0,0,0,3.69,4,21,14,5,2,2,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.09,0.114,.36,0.02%,0.80,7t --- 0 out a2,8t --- 1 out a2,,MON,0.0,W,3,1
45,121,2003-08-13,MON,COL,9-GF,S(3),1,1.0,0,0,0,0,0,0,0,3.61,3,13,9,5,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.20,0.172,.67,0.03%,0.54,9t --- 0 out a1,9t end a 1,,MON,0.0,W,6,5
46,123,2003-08-16,MON,SFG,8-9,,2,1.2,3,1,1,0,1,0,0,3.67,8,32,20,3,4,3,4,4,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,.28,0.008,.11,0.00%,-0.37,8t --- 0 out a4,9t 12- 2 out a3,,MON,2.5,W,4,1
