Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,94,2002-07-19,TBD,TOR,7-GF(8),,99,2.0,0,0,0,2,1,0,0,0.00,8,35,18,5,2,2,3,1,0,0,,0,0,1,0,0,6,0,0,0,0,0,1,.22,0.024,.00,0.00%,1.13,7b --- 0 out d3,8b end d 3,,TOR,1.0,L,8,11
2,97,2002-07-23,TBD,BOS,3-4,,3,1.1,6,7,7,1,1,2,0,18.90,11,38,21,4,3,0,9,3,3,0,,1,1,0,0,0,10,2,0,0,0,0,0,.15,-0.091,.00,0.00%,-6.98,3b 1-- 1 out d4,4b --- 2 out d12,1,BOS,6.363636363636363,L,4,22
3,100,2002-07-25,TBD,BOS,7-7,,1,1.0,0,0,0,0,0,0,0,14.54,3,4,4,1,0,0,3,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.002,.00,0.00%,0.56,7b --- 0 out d6,7b 3 out d6,,BOS,0.0,L,0,6
4,101,2002-07-26,TBD,NYY,8-GF,,0,1.1,1,1,1,0,0,1,0,12.71,5,16,9,1,0,1,4,1,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.04,-0.005,.00,0.00%,-0.36,8t --- 2 out d4,9t end d 5,,TBD,0.9090909090909091,L,9,12
5,106,2002-07-31,TBD,BAL,7-GF,,4,2.1,2,0,0,1,0,0,0,9.00,10,33,21,1,1,5,4,1,0,0,,2,0,0,0,0,9,0,0,0,0,0,0,.00,0.000,.00,0.00%,1.51,7t 12- 2 out d11,9t end d10,,TBD,1.4285714285714286,L,2,12
6,112,2002-08-06,TBD,CLE,8-GF(8),,5,1.0,2,0,0,0,0,0,0,8.00,5,13,9,2,0,1,4,1,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.35,0.015,.00,0.00%,0.53,8b --- 0 out d2,8b end d 2,,CLE,2.0,L,2,4
7,117,2002-08-11,TBD,KCR,7-7,,4,1.0,1,0,0,0,1,0,1,7.20,5,13,10,3,0,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.60,7b --- 0 out d9,7b 3 out d9,,KCR,1.0,L,0,10
8,118,2002-08-13,TBD,CLE,7-8,,1,2.0,1,1,1,2,2,0,1,6.75,9,35,17,5,3,1,3,1,1,0,,0,0,0,0,0,6,0,0,0,1,0,0,.12,0.000,.00,0.00%,0.05,7t --- 0 out d5,8t 3 out d6,,TBD,1.5,L,5,9
9,130,2002-08-25,TBD,CHW,7-7,,11,1.0,2,1,1,1,1,0,0,6.92,5,20,12,3,3,0,3,2,1,0,,0,0,1,0,0,4,0,0,0,0,0,0,.16,-0.012,.00,0.00%,-0.45,7b --- 0 out d4,7b 3 out d5,,CHW,3.0,L,3,8
10,42,2003-05-17,TBD,BAL,8-GF(8),,99,1.0,0,0,0,0,0,0,0,0.00,3,10,6,2,1,0,3,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.20,0.016,.09,0.00%,0.54,8b --- 0 out d2,8b end d 2,,BAL,0.0,L,0,2
11,45,2003-05-21,TBD,TEX,3-6,,3,3.0,4,2,2,1,4,1,0,4.50,14,45,30,10,5,6,3,1,1,0,,2,0,0,0,0,12,0,0,1,0,0,0,.74,-0.092,.27,-0.02%,0.31,3b -23 1 out d4,6b 12- 1 out d2,,TEX,1.6666666666666667,L,7,8
12,48,2003-05-24,TBD,ANA,8-8,,2,0.1,3,3,3,2,1,0,0,10.38,6,23,11,3,2,0,3,3,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.32,-0.059,.12,-0.01%,-3.41,8b --- 0 out d2,8b 12- 1 out d5,,ANA,50.0,L,2,7
13,75,2003-06-24,TBD,NYY,4-7,,30,4.0,3,0,0,1,1,0,0,5.40,15,46,32,9,3,6,7,2,1,0,,3,0,0,0,0,14,0,0,0,1,0,0,.63,0.206,.00,0.00%,3.92,4t 123 0 out d3,7t 3 out d2,,TBD,1.0,L,9,10
