,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,60,2018-06-04,DET,NYY,4-8,,99,4.1,0,0,0,3,4,0,1,0.0,17,69,39,6,10,5,4,0,1,0,,1,0,0,0,0,13,0,0,0,1,0,1,0.12,0.034,0.13,0.02%,2.35,15.35,25.0,4t 1-- 2 out d6,8t 3 out d5,1.0,DET,0.7317073170731708,L,4,7
1,2,139,2018-09-04,DET,CHW,6-7,H(1),91,2.0,1,0,0,0,0,0,0,0.0,7,23,15,5,0,2,5,2,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,0.73,0.109,0.0,0.00%,1.0,3.9,6.0,6b --- 0 out a3,7b 3 out a3,,CHW,0.5,W,8,3
2,3,143,2018-09-09,DET,STL,8-8,,4,1.0,1,0,0,0,1,0,0,0.0,4,15,11,4,1,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.28,0.017,0.0,0.00%,0.53,3.65,6.0,8t --- 0 out d3,8t 3 out d3,,DET,1.0,L,2,5
3,4,146,2018-09-12,DET,HOU,5-7,,2,2.1,1,0,0,0,0,0,0,0.0,8,30,18,5,1,4,4,0,1,0,,1,0,0,0,0,8,0,0,0,0,0,0,0.46,0.069,0.0,0.00%,1.39,4.65,7.0,5t -2- 2 out d3,7t 3 out d3,,DET,0.4761904761904762,L,4,5
4,5,148,2018-09-15,DET,CLE,2-3,,2,1.2,1,2,2,2,0,1,1,1.59,9,42,22,4,0,1,5,2,1,0,,3,1,0,0,0,5,0,0,0,0,1,0,0.0,0.0,0.0,0.00%,-0.34,-2.65,-1.0,2b 123 0 out d10,3b 1-- 2 out d13,,CLE,2.5,L,0,15
5,6,151,2018-09-18,DET,MIN,7-7,,2,0.2,3,3,3,1,1,1,0,3.75,6,24,12,5,0,0,4,3,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,0.63,-0.153,0.0,0.00%,-2.81,-4.9,-4.0,7t --- 0 out d2,7t -2- 2 out d5,,DET,20.0,L,3,5
6,7,154,2018-09-21,DET,KCR,8-8,,2,1.0,1,0,0,0,1,0,0,3.46,4,17,12,4,1,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.43,0.031,0.0,0.00%,0.53,3.65,6.0,8t --- 0 out d2,8t 3 out d2,,DET,1.0,L,3,4
7,8,158,2018-09-26,DET,MIN,4-5,,4,1.0,2,4,0,2,2,0,0,3.21,7,35,19,4,5,0,3,3,0,0,,1,0,0,0,0,5,1,0,0,0,0,0,1.11,-0.09300000000000001,0.0,0.00%,-1.6,3.85,9.0,4b -2- 2 out d2,5b 12- 2 out d4,,MIN,4.0,L,4,11
8,9,162,2018-09-30,DET,MIL,6-7,,3,0.1,2,3,3,1,1,0,0,5.02,4,15,8,2,1,0,2,1,0,0,,2,0,1,0,0,3,1,0,1,0,0,0,0.23,-0.009000000000000001,0.0,0.00%,-1.4,-5.05,-5.0,6b 12- 2 out d4,7b 123 0 out d4,,MIL,30.0,L,0,11
9,10,43,2019-05-17,DET,OAK,8-8,,99,1.0,2,1,1,0,0,0,0,9.0,5,10,8,2,1,2,3,1,1,0,,0,0,0,0,0,5,1,0,0,0,0,0,0.08,-0.008,0.05,0.00%,-0.44,-0.95,0.0,8t --- 0 out d5,8t 3 out d6,,DET,2.0,L,2,7
