,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,2,2006-04-05,NYN,WSN,GS-6,,99,6.0,2,3,3,4,4,1,2,4.5,25,100,52,15,4,6,9,1,2,0,56.0,,,1,1,0,19,1,0,1,0,0,0,1.07,0.052000000000000005,1.2,0.04%,0.18,1t start tie,6t 3 out a1,,NYM,1.0,L,5,9
1,2,6,2006-04-11,NYN,WSN,GS-7,W(1-0),5,7.0,3,1,1,0,1,1,0,2.77,24,107,62,22,3,8,15,1,6,0,68.0,,,1,0,0,24,0,0,0,0,0,0,0.72,0.29600000000000004,0.9,0.22%,2.56,1b start tie,7b 3 out a4,,WSN,0.42857142857142855,W,7,1
2,3,11,2006-04-16,NYN,MIL,GS-5,W(2-0),4,5.0,6,1,1,5,4,0,0,2.5,26,112,63,15,13,8,9,4,1,0,50.0,,,0,0,0,21,3,0,0,0,0,0,1.44,0.175,1.71,0.13%,1.65,1t start tie,5t 3 out a2,,NYM,2.2,W,9,3
3,4,16,2006-04-21,NYN,SDP,GS-5,,4,5.0,4,1,1,6,4,0,0,2.35,25,100,51,14,3,10,5,1,2,0,53.0,,,3,0,0,19,0,0,0,1,0,1,1.45,0.128,1.77,0.09%,1.46,1b start tie,5b 3 out tie,,SDP,2.0,L,1,2
4,5,21,2006-04-26,NYN,SFG,GS-5,,4,5.0,7,3,3,2,1,0,0,2.89,24,86,53,13,4,10,11,2,2,0,40.0,,,0,0,0,20,2,0,0,0,2,0,1.25,-0.03,1.54,-0.02%,-0.3,1b start tie,5b 3 out tie,,SFG,1.8,W,9,7
5,6,127,2006-08-25,NYN,PHI,GS-6,L(2-1),99,6.0,6,4,4,3,4,1,0,3.44,27,91,57,18,6,8,12,3,3,0,45.0,,,0,0,0,23,0,1,1,0,1,0,0.79,-0.11,0.0,0.00%,-0.83,1t start tie,6t 3 out d1,,NYM,1.5,L,3,4
6,7,142,2006-09-10,NYN,LAD,4-6,,15,3.0,6,5,5,2,1,1,0,4.38,17,72,42,5,8,4,10,2,0,0,,0.0,0.0,2,0,0,13,0,1,0,0,1,0,0.27,-0.071,0.0,0.00%,-3.41,4t --- 0 out d4,6t 3 out d9,,NYM,2.6666666666666665,L,1,9
7,8,158,2006-09-27,NYN,ATL,8-GF(8),,16,1.0,0,0,0,0,0,0,0,4.26,3,7,4,0,0,2,1,0,1,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.54,8b --- 0 out d12,8b end d12,,ATL,0.0,L,1,13
8,9,20,2007-04-24,KCA,CHW,GS-5,,99,4.1,5,4,3,2,4,0,0,6.23,21,82,50,20,6,6,8,2,0,0,41.0,,,0,0,0,17,4,0,0,0,1,0,1.13,-0.21100000000000002,0.72,-0.08%,-1.82,1t start tie,5t 1-- 1 out tie,,KCR,1.707317073170732,L,7,9
9,10,25,2007-04-29,KCA,SEA,GS-7,L(0-1),4,6.2,4,4,3,2,1,0,0,4.91,27,99,58,17,1,8,16,6,6,0,51.0,,,2,0,0,25,3,0,0,0,0,1,1.13,-0.102,0.61,-0.03%,0.36,1b start tie,7b -2- 2 out d2,,SEA,0.9677419354838708,L,1,5
10,11,30,2007-05-04,KCA,DET,GS-5,L(0-2),4,4.2,8,4,2,2,2,0,0,4.6,25,100,61,17,6,8,13,5,2,0,36.0,,,0,0,0,23,3,1,0,0,0,1,0.96,-0.08800000000000001,0.46,-0.03%,-0.59,1t start tie,5t -2- 2 out d3,,KCR,2.380952380952381,L,3,6
11,12,40,2007-05-15,KCA,OAK,GS-6,,10,6.0,5,2,2,3,3,0,1,4.15,24,99,59,18,7,12,5,4,0,0,54.0,,,1,0,0,20,1,0,0,4,0,1,1.03,0.03,0.25,0.00%,1.1,1b start tie,6b 3 out d2,,OAK,1.3333333333333333,L,4,5
12,13,45,2007-05-20,KCA,COL,GS-5,,4,5.0,5,3,3,1,4,0,0,4.39,21,83,51,18,4,6,10,5,2,0,48.0,,,0,0,0,20,3,0,0,0,0,0,0.96,-0.022000000000000002,0.23,0.00%,-0.19,1b start tie,5b 3 out a1,,COL,1.2,W,10,5
13,14,50,2007-05-26,KCA,SEA,GS-8,L(0-3),5,7.0,8,4,4,2,0,1,0,4.54,30,106,73,21,1,11,17,5,4,0,43.0,,,0,0,0,28,2,0,0,1,0,0,0.78,-0.168,0.19,-0.03%,-0.78,1t start tie,8t -2- 0 out d3,,KCR,1.4285714285714286,L,1,9
