Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,97,2000-07-22,CHW,BOS,5-7,,99,2.2,4,2,2,1,1,0,0,6.75,13,38,25,6,3,6,5,4,1,0,,1,0,0,0,0,12,1,1,1,0,0,0,.14,-0.028,.02,0.00%,0.26,5b --3 1 out d6,7b 3 out d5,,BOS,2.2727272727272725,L,6,8
2,100,2000-07-25,CHW,KCR,8-8,,2,1.0,1,0,0,0,0,0,0,4.91,4,12,6,1,0,1,3,1,1,0,,2,2,0,0,0,3,0,0,0,0,1,0,.35,-0.027,.07,0.00%,-0.36,8t 12- 0 out d3,8t 3 out d5,,CHW,1.0,L,1,6
3,103,2000-07-28,CHW,ANA,8-GF(8),,2,1.0,0,0,0,0,0,0,0,3.86,3,11,7,0,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.12,0.010,.03,0.00%,0.61,8b --- 0 out d3,8b end d 3,,ANA,0.0,L,7,10
4,104,2000-07-29,CHW,ANA,4-7,L(0-1),0,3.1,1,1,1,0,3,1,0,3.38,11,40,27,8,5,2,6,0,1,0,,1,0,0,0,0,11,0,0,0,0,0,0,.79,0.082,.19,0.01%,1.20,4b -2- 2 out tie,7b 3 out d1,,ANA,0.3225806451612903,L,5,6
5,112,2000-08-08,CHW,SEA,GS-5,,9,4.0,7,5,5,2,3,1,0,6.00,19,87,52,18,4,7,7,3,0,0,29,,,0,1,0,17,0,1,0,1,0,0,1.11,-0.101,.36,-0.02%,-1.41,1t start tie,5t 123 0 out a3,2,CHW,2.25,L,5,7
6,115,2000-08-11,CHW,TBD,4-6,,2,2.0,2,0,0,0,1,0,0,5.14,8,30,19,5,2,1,6,4,0,0,,3,0,0,0,0,8,1,0,0,0,0,0,1.47,0.166,.49,0.03%,1.74,4b 123 2 out d2,6b 1-- 2 out tie,,TBD,1.0,W,6,5
7,119,2000-08-15,CHW,BAL,9-GF,,3,1.0,0,0,0,0,2,0,0,4.80,3,13,8,3,2,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.57,9b --- 0 out a10,9b end a10,,BAL,0.0,W,14,4
8,121,2000-08-17,CHW,BAL,6-7,,1,1.2,1,0,0,0,0,0,0,4.32,5,14,11,4,0,1,4,1,0,0,,2,0,0,1,0,5,0,0,0,0,0,0,.21,0.028,.03,0.00%,1.55,6b 12- 1 out d4,7b 3 out d4,,BAL,0.8333333333333334,L,3,5
9,123,2000-08-19,CHW,TBD,9-GF,,1,1.0,0,0,0,0,1,0,0,4.08,3,13,8,4,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.002,.00,0.00%,0.61,9t --- 0 out a7,9t end a 7,,CHW,0.0,W,7,0
10,124,2000-08-20,CHW,TBD,6-6,,0,0.1,0,0,0,0,0,0,0,4.00,1,5,3,0,2,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.26,0.038,.16,0.00%,0.27,6t 1-- 2 out tie,6t 3 out tie,,CHW,0.0,L,11,12
