Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,3,2018-03-31,LAA,OAK,9-GF,,99,1.0,1,0,0,0,2,0,0,0.00,4,15,11,1,3,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.24,0.008,.25,0.01%,0.50,5.65,9.00,9b --- 0 out a5,9b end a 5,,OAK,1.0,W,8,3
2,5,2018-04-02,LAA,CLE,7-8,,1,1.1,1,1,1,2,1,0,0,3.86,7,34,17,3,2,1,3,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.09,0.004,.09,0.00%,0.33,1.20,4.00,7t --- 1 out d5,8t 12- 2 out d5,,LAA,2.727272727272727,L,0,6
3,7,2018-04-04,LAA,CLE,12-13,,1,1.2,0,0,0,2,2,0,0,2.25,7,28,16,4,1,1,2,0,1,0,,0,0,0,0,0,5,0,0,1,0,0,0,2.32,0.161,2.40,0.10%,0.57,6.55,11.00,12t --- 0 out tie,13t 12- 2 out tie,,LAA,1.6666666666666667,W,3,2
4,9,2018-04-07,LAA,OAK,5-7,,2,2.1,0,0,0,1,3,0,1,1.42,9,44,25,9,5,1,3,1,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.59,0.086,.74,0.06%,1.16,10.05,16.00,5t --- 1 out d2,7t --- 2 out d2,,LAA,0.47619047619047616,L,3,7
5,12,2018-04-10,LAA,TEX,6-7,,2,2.0,2,0,0,0,1,0,0,1.08,8,27,16,3,2,1,6,2,2,0,,0,0,0,0,0,8,0,0,0,0,0,0,.03,0.005,.03,0.00%,1.13,5.30,9.00,6b --- 0 out a9,7b 3 out a10,,TEX,1.0,W,11,1
6,17,2018-04-17,LAA,BOS,3-4,,6,1.2,6,6,6,0,1,4,1,6.30,12,39,26,5,3,4,6,1,0,0,,0,0,0,0,0,11,0,0,0,0,0,0,.28,-0.185,.34,-0.14%,-5.23,-10.45,-10.00,3t --- 0 out d3,4t 1-- 2 out d8,,LAA,5.0,L,1,10
7,19,2018-04-19,LAA,BOS,9-GF,,1,0.2,0,0,0,0,1,0,0,5.91,2,5,4,0,1,0,1,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.03,0.002,.03,0.00%,1.19,3.50,5.00,9t 1-3 1 out d6,9t end d 6,,LAA,0.0,L,2,8
8,20,2018-04-20,LAA,SFG,9-GF,,0,1.0,0,0,0,0,2,0,1,5.40,4,21,14,1,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.50,5.65,9.00,9t --- 0 out d7,9t end d 7,,LAA,0.0,L,1,8
9,1,2019-03-28,LAA,OAK,8-GF(8),,99,1.0,1,0,0,0,1,0,0,0.00,4,10,8,1,2,0,3,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.06,0.003,.06,0.00%,0.53,3.65,6.00,8b --- 0 out d4,8b end d 4,,OAK,1.0,L,0,4
10,7,2019-04-04,LAA,TEX,5-6,,6,2.0,2,1,1,1,0,0,0,3.00,8,35,23,7,4,1,6,1,1,0,,2,2,0,0,0,7,1,0,0,1,0,0,.43,-0.045,.36,-0.02%,-0.91,0.70,3.00,5t 12- 0 out d4,6t 3 out d7,,LAA,1.5,L,4,11
11,9,2019-04-06,LAA,TEX,9-GF,,1,1.0,0,0,0,0,3,0,0,2.25,3,19,12,2,5,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.20,0.016,.17,0.01%,0.54,8.25,12.00,9t --- 0 out a4,9t end a 4,,LAA,0.0,W,5,1
12,12,2019-04-09,LAA,MIL,5-6,,2,1.2,3,2,2,0,1,2,1,4.76,8,24,15,4,3,2,4,2,1,0,,1,1,0,0,0,7,0,0,0,1,0,0,1.31,-0.241,1.11,-0.12%,-1.90,-0.65,2.00,5t 1-- 1 out a2,6t 3 out tie,,LAA,2.5,W,11,8
13,21,2019-04-20,LAA,SEA,7-7,,10,1.0,2,1,1,1,1,1,0,5.40,6,27,14,4,1,1,3,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.81,-0.084,.63,-0.04%,-0.46,0.45,3.00,7t --- 0 out d1,7t 3 out d2,,LAA,3.0,L,5,6
14,23,2019-04-22,LAA,NYY,13-GF(14),L(0-1),1,2.0,1,1,0,1,4,0,0,4.15,9,36,24,8,6,2,2,1,0,0,,0,0,2,0,0,8,0,0,1,0,0,0,2.83,-0.141,1.96,-0.06%,0.08,11.30,18.00,13t --- 0 out tie,14t end d 1,,LAA,1.0,L,3,4
15,27,2019-04-26,LAA,KCR,6-7,,3,2.0,0,0,0,0,2,0,0,3.38,5,22,14,4,2,2,1,0,0,0,,1,0,0,0,0,5,0,0,0,1,0,0,.79,0.118,.47,0.04%,1.51,8.50,12.00,6b 1-- 0 out a4,7b 3 out a4,,KCR,0.0,W,5,1
16,31,2019-05-01,LAA,TOR,GS-1,,4,1.0,0,0,0,0,2,0,0,3.09,3,19,11,4,2,1,0,0,0,0,55,,,0,0,0,3,0,0,0,0,0,0,.64,0.049,.47,0.02%,0.54,6.25,9.00,1t start tie,1t 3 out tie,,LAA,0.0,W,6,3
17,32,2019-05-02,LAA,TOR,7-7,,0,1.0,0,0,0,0,2,0,0,2.84,3,13,9,2,5,0,1,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,.81,0.070,.66,0.03%,1.17,6.25,9.00,7t -2- 0 out a4,7t 3 out a4,,LAA,0.0,W,6,2
18,34,2019-05-05,LAA,HOU,6-6,,2,1.0,1,0,0,2,1,0,0,2.63,6,24,15,4,2,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.84,0.028,.84,0.02%,0.54,2.45,6.00,6t --- 0 out d3,6t 3 out d3,,LAA,3.0,L,4,10
19,35,2019-05-07,LAA,DET,6-7,H(1),1,1.2,0,0,0,0,2,0,0,2.35,5,26,16,5,6,0,3,1,1,0,,1,0,0,0,0,5,0,0,0,0,0,0,1.30,0.173,.99,0.08%,1.14,7.75,11.00,6b 1-- 1 out a2,7b 3 out a2,,DET,0.0,W,5,2
20,37,2019-05-09,LAA,DET,GS-1,,1,1.0,2,0,0,0,0,0,0,2.20,5,14,9,3,1,2,3,1,0,0,49,,,0,0,0,5,1,0,0,0,0,0,.94,0.052,.72,0.02%,0.56,1.05,3.00,1b start a 2,1b 3 out a2,,DET,2.0,W,13,0
