,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,28,2018-04-30,KCA,BOS,6-GF(8),,99,3.0,5,2,1,0,1,0,0,3.0,15,45,33,9,4,8,6,3,1,0,,0,0,0,0,0,15,1,0,0,0,0,1,0.16,-0.021,0.07,-0.01%,-0.41,3.75,9.0,6b --- 0 out d3,8b end d 5,,BOS,1.6666666666666667,L,6,10
1,2,31,2018-05-03,KCA,DET,5-6,,2,0.2,4,1,1,0,0,0,0,4.91,6,23,15,5,2,2,4,2,0,0,,2,1,0,0,0,6,0,0,0,0,0,0,2.1,-0.263,0.89,-0.07%,-1.97,-2.9,-1.0,5t 12- 2 out a1,6t 12- 1 out a1,,KCR,20.0,W,10,6
2,3,55,2018-05-29,KCA,MIN,11-GF(14),W(1-0),25,4.0,0,0,0,1,5,0,0,2.35,13,47,32,9,7,3,4,1,0,0,,0,0,0,0,0,12,0,0,0,0,0,0,1.87,0.5579999999999999,0.5,0.09%,2.05,22.4,39.0,11t --- 0 out tie,14t end tie,,KCR,0.25,W,2,1
3,4,57,2018-06-01,KCA,OAK,4-6,,2,3.0,3,1,1,0,5,0,0,2.53,12,55,40,8,8,2,5,4,1,0,,0,0,0,0,0,12,0,0,0,0,0,0,0.04,0.003,0.01,0.00%,0.53,12.95,21.0,4t --- 0 out d8,6t 3 out d9,,KCR,1.0,L,0,16
4,5,62,2018-06-06,KCA,LAA,6-GF(8),L(1-1),4,3.0,3,3,3,1,3,2,0,3.95,13,43,27,10,4,3,6,2,1,0,,0,0,0,0,0,12,1,0,0,0,0,0,0.63,-0.254,0.11,-0.03%,-1.5,4.35,9.0,6b --- 0 out tie,8b end d 1,,LAA,1.3333333333333333,L,3,4
5,6,66,2018-06-10,KCA,OAK,6-7,,3,1.1,1,0,0,1,1,0,0,3.6,6,24,14,3,1,1,3,1,1,0,,2,0,0,0,0,5,0,0,0,0,0,0,2.51,0.141,0.27,0.01%,1.04,3.8,7.0,6b 12- 1 out tie,7b --3 2 out tie,,OAK,1.818181818181818,L,2,3
6,7,5,2019-04-03,KCA,MIN,6-6,H(1),99,0.2,2,1,1,1,1,0,1,13.5,6,25,14,5,1,1,2,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.23,-0.121,1.28,-0.08%,-1.26,-0.9,2.0,6t --- 0 out a3,6t 123 2 out a2,,KCR,15.0,L,6,7
7,8,9,2019-04-08,KCA,SEA,6-8,,4,2.1,3,1,1,1,3,1,0,6.0,11,45,28,9,2,2,5,2,1,0,,1,0,0,0,0,10,0,0,0,0,0,0,0.01,0.001,0.01,0.00%,0.37,6.85,13.0,6t 1-- 2 out d8,8t 3 out d9,,KCR,1.9047619047619049,L,5,13
8,9,11,2019-04-10,KCA,SEA,4-5,,1,2.0,1,0,0,0,1,0,0,3.6,6,20,13,4,3,3,2,1,0,0,,3,2,0,0,0,6,0,0,0,1,0,0,1.13,0.053,0.69,0.02%,0.97,5.9,9.0,4t 123 0 out tie,5t 3 out d2,,KCR,0.5,L,5,6
9,10,16,2019-04-15,KCA,CHW,6-7,,4,2.0,2,0,0,1,4,0,1,2.57,10,36,24,9,5,1,3,2,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,1.84,0.18899999999999997,1.34,0.08%,1.07,10.1,18.0,6b --- 0 out tie,7b 3 out a1,,CHW,1.5,L,4,5
10,11,18,2019-04-17,KCA,CHW,10-GF(10),S(1),1,1.0,0,0,0,1,1,0,0,2.25,4,19,12,4,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.95,0.212,1.92,0.08%,0.54,3.65,6.0,10b --- 0 out a1,10b end a 1,,CHW,1.0,W,4,3
11,12,22,2019-04-21,KCA,NYY,9-9,,3,1.0,1,0,0,0,2,0,0,2.0,4,25,16,4,3,2,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.0,0.145,1.17,0.05%,0.54,5.65,9.0,9b --- 0 out tie,9b 3 out tie,,NYY,1.0,L,6,7
12,13,23,2019-04-22,KCA,TBR,8-GF(8),,0,1.0,1,1,1,0,1,1,0,2.7,4,22,14,5,3,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.14,-0.027000000000000003,0.08,-0.01%,-0.46,1.65,3.0,8b --- 0 out d2,8b end d 3,,TBR,1.0,L,3,6
13,14,27,2019-04-27,KCA,LAA,4-6,W(1-0),4,1.2,0,0,0,3,2,0,0,2.31,8,39,18,10,2,1,2,0,2,0,,3,1,0,0,0,5,0,0,0,0,0,0,1.06,0.038,0.45,0.01%,-0.04,9.95,23.0,4t 123 2 out a4,6t 12- 1 out a5,,KCR,2.5,W,9,4
14,15,29,2019-04-29,KCA,TBR,8-8,,1,0.2,1,1,1,0,1,0,0,2.92,3,15,8,1,3,0,2,2,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,1.01,0.018000000000000002,0.43,0.01%,0.21,0.9,2.0,8t --- 0 out d1,8t -2- 2 out d1,,KCR,5.0,L,5,8
15,16,32,2019-05-02,KCA,TBR,8-8,,2,0.2,0,0,0,0,1,0,0,2.77,2,7,6,2,1,0,1,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.23,0.064,0.55,0.02%,0.3,3.5,5.0,8t --- 1 out tie,8t 3 out tie,,KCR,0.0,L,1,3
16,17,35,2019-05-05,KCA,DET,6-7,,2,1.2,0,0,0,0,3,0,0,2.45,5,17,13,5,6,1,1,0,1,0,,3,0,0,0,0,5,0,0,0,0,0,0,1.34,0.18600000000000003,0.56,0.05%,2.21,9.75,14.0,6b 123 1 out d1,7b 3 out d1,,DET,0.0,L,2,5
17,18,36,2019-05-06,KCA,HOU,6-7,,0,1.2,1,0,0,0,2,0,0,2.2,6,26,18,7,5,0,4,3,0,0,,1,0,1,0,0,6,0,0,0,0,0,0,0.91,0.10300000000000001,0.34,0.02%,1.15,7.15,11.0,6b 1-- 1 out d1,7b 3 out d1,,HOU,0.8333333333333334,L,4,6
18,19,39,2019-05-10,KCA,PHI,6-7,H(2),3,2.0,0,0,0,1,6,0,0,1.96,7,30,20,7,8,0,0,0,0,0,,2,0,0,0,0,6,0,0,0,0,0,0,2.21,0.256,0.62,0.04%,2.13,15.9,24.0,6t 12- 0 out a2,7t 3 out a3,,KCR,0.5,W,5,1
19,20,42,2019-05-14,KCA,TEX,6-7,,3,2.0,0,0,0,0,2,0,0,1.77,6,30,20,7,0,1,3,2,1,0,,2,0,0,0,0,6,0,0,0,0,0,0,0.65,0.122,0.17,0.02%,2.62,8.5,12.0,6t -23 0 out a5,7t 3 out a5,,KCR,0.0,W,11,5
20,21,45,2019-05-17,KCA,LAA,7-7,,2,1.0,2,1,1,0,3,0,0,2.11,5,26,16,7,4,2,0,0,0,0,,0,0,1,0,0,5,0,0,0,0,0,0,0.5,-0.040999999999999995,0.09,-0.01%,-0.46,5.05,9.0,7b --- 0 out d2,7b 3 out d3,,LAA,2.0,L,2,5
21,22,47,2019-05-19,KCA,LAA,7-8,H(3),1,1.0,1,0,0,0,1,0,1,2.01,5,20,14,6,3,0,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.07,0.008,0.13,0.00%,0.15,3.05,6.0,7b --- 0 out a3,8b 1-- 0 out a3,,LAA,1.0,W,5,1
22,23,49,2019-05-22,KCA,STL,6-7,,2,1.2,4,4,4,0,4,1,0,3.38,9,37,27,6,7,2,3,2,0,0,,1,0,1,0,0,9,2,0,0,0,0,0,0.29,-0.025,0.06,0.00%,-2.68,1.35,5.0,6b 1-- 0 out d3,7b --- 2 out d7,2.0,STL,3.333333333333333,L,3,10
23,24,50,2019-05-25,KCA,NYY,7-8,L(1-1),2,1.1,4,4,4,1,1,1,0,4.62,9,28,17,2,3,2,5,2,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,1.0,-0.374,0.13,-0.03%,-3.61,-6.0,-5.0,7t --- 0 out tie,8t -2- 1 out d4,1.0,KCR,4.545454545454545,L,3,7
24,25,53,2019-05-27,KCA,CHW,5-7,,1,2.1,0,0,0,2,2,0,0,4.23,9,41,25,5,4,4,1,1,0,0,,1,0,0,0,0,7,0,0,0,0,0,0,1.32,0.214,0.16,0.02%,1.41,8.05,13.0,5b -2- 2 out tie,7b 3 out tie,,CHW,0.9523809523809524,L,1,2
25,26,59,2019-06-02,KCA,TEX,8-8,,5,0.2,1,1,1,0,2,0,0,4.45,3,14,9,3,3,1,0,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,0.34,0.006,0.02,0.00%,0.25,2.9,5.0,8b --- 0 out d2,8b -2- 2 out d2,,TEX,5.0,L,1,5
26,27,60,2019-06-04,KCA,BOS,6-6,BL(1-2),1,0.2,2,2,2,1,0,0,0,4.97,5,19,11,4,1,0,4,2,0,0,,1,1,0,0,0,3,1,1,0,0,1,0,1.83,-0.33799999999999997,0.05,-0.01%,-2.27,-4.3,-4.0,6t -2- 1 out a2,6t 3 out d1,,KCR,15.0,L,3,8
27,28,62,2019-06-06,KCA,BOS,6-7,,1,1.1,1,3,3,2,3,0,0,5.64,7,30,20,4,6,0,2,1,0,0,,2,0,1,0,0,5,0,1,1,0,0,0,1.15,-0.187,0.02,0.00%,-1.97,1.2,4.0,6t 12- 2 out d1,7t 3 out d4,,KCR,2.727272727272727,L,5,7
28,29,65,2019-06-09,KCA,CHW,7-8,,2,1.1,2,1,1,0,1,0,0,5.68,6,25,18,3,5,2,3,1,0,0,,1,0,0,0,0,6,2,0,0,0,0,0,0.63,-0.031,0.01,0.00%,-0.19,1.8,4.0,7t 1-- 2 out d2,8t 3 out d3,,KCR,1.818181818181818,L,2,5
29,30,66,2019-06-11,KCA,DET,8-8,W(2-2),1,1.0,0,0,0,1,0,0,0,5.51,4,12,7,2,1,0,3,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.1,0.059000000000000004,0.01,0.00%,0.56,5.65,15.0,8t --- 0 out d1,8t 3 out d1,,KCR,1.0,W,3,2
30,31,70,2019-06-15,KCA,MIN,6-6,,3,1.0,2,0,0,1,0,0,0,5.35,6,12,8,2,1,1,4,3,0,0,,1,1,0,0,0,5,1,0,1,0,0,0,2.11,-0.055,0.01,0.00%,-0.05,0.45,3.0,6b 1-- 0 out tie,6b 3 out d1,,MIN,3.0,L,4,5
31,32,71,2019-06-16,KCA,MIN,4-4,,0,0.1,0,0,0,0,1,0,0,5.29,1,4,3,1,2,0,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,3.72,0.09699999999999999,0.01,0.00%,0.81,2.75,4.0,4b 123 2 out a1,4b 3 out a1,,MIN,0.0,W,8,6
32,33,76,2019-06-21,KCA,MIN,7-7,,4,0.0,3,2,2,0,0,0,0,5.82,3,15,10,0,2,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.9,-0.271,0.02,0.00%,-2.4,-5.8,-6.0,7t --- 0 out a3,7t 1-- 0 out a1,,KCR,inf,L,7,8
33,34,78,2019-06-23,KCA,MIN,6-6,,1,0.2,1,0,0,0,1,0,0,5.71,3,16,10,2,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.4,0.018000000000000002,0.0,0.00%,0.3,2.9,5.0,6t --- 1 out a4,6t 3 out a4,,KCR,5.0,W,6,1
34,35,80,2019-06-25,KCA,CLE,6-7,,1,1.1,3,1,1,0,2,1,0,5.75,6,29,19,5,2,1,3,0,0,0,,1,0,0,1,0,6,0,0,0,0,0,0,0.44,-0.025,0.0,0.00%,-0.17,3.2,7.0,6b 1-- 2 out d2,7b 3 out d3,,CLE,2.727272727272727,W,8,6
