Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,110,2015-08-07,MIA,ATL,8-GF(8),,99,1.0,0,0,0,0,1,0,0,0.00,3,11,9,1,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,0.005,.00,0.00%,0.45,8b --- 0 out d3,8b end d 3,,ATL,0.0,L,3,6,,
2,113,2015-08-11,MIA,BOS,6-6,,3,0.1,0,0,0,0,0,0,0,0.00,1,5,3,1,0,0,1,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.38,0.010,.00,0.00%,0.34,6t --3 2 out d4,6t 3 out d4,,MIA,0.0,W,5,4,,
3,114,2015-08-12,MIA,BOS,5-6,W(1-0),0,1.1,1,0,0,2,4,0,0,0.00,7,37,19,5,4,0,1,1,0,0,,1,1,0,0,0,5,1,0,1,0,0,0,1.67,-0.052,.01,0.00%,-0.35,5t 1-- 2 out a1,6t 3 out tie,,MIA,2.727272727272727,W,14,6,,
4,116,2015-08-15,MIA,STL,7-7,,2,1.0,0,0,0,1,0,0,0,0.00,3,18,10,1,3,1,1,1,0,0,,0,0,0,1,0,2,0,0,0,0,0,0,.11,0.006,.00,0.00%,0.47,7b --- 0 out d4,7b 3 out d4,,STL,1.0,L,2,6,,
5,119,2015-08-18,MIA,MIL,5-6,,2,2.0,1,0,0,0,2,0,0,0.00,7,31,21,4,6,0,5,2,2,0,,0,0,0,0,0,7,1,0,0,0,0,0,.32,0.045,.00,0.00%,0.93,5b --- 0 out a5,6b 3 out a5,,MIL,0.5,W,9,6,,
6,122,2015-08-21,MIA,PHI,8-GF,,2,2.0,1,1,1,1,2,0,0,1.17,8,30,19,7,6,3,2,2,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.03,0.000,.00,0.00%,-0.11,8t --- 0 out d5,9t end d 6,,MIA,1.0,L,1,7,,
7,124,2015-08-23,MIA,PHI,9-GF,,1,1.0,1,0,0,0,1,0,0,1.04,4,20,11,4,3,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.19,0.014,.00,0.00%,0.45,9t --- 0 out d2,9t end d 2,,MIA,1.0,L,0,2,,
8,128,2015-08-27,MIA,PIT,7-7,,3,1.0,0,0,0,1,2,0,0,0.93,4,19,11,3,1,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.54,0.029,.00,0.00%,0.45,7t --- 0 out d2,7t 3 out d2,,MIA,1.0,L,1,2,,
9,129,2015-08-28,MIA,WSN,6-6,H(1),0,1.0,0,0,0,1,1,0,0,0.84,4,18,10,2,3,1,1,0,0,0,,3,1,0,0,0,2,0,0,0,0,1,0,3.88,0.225,.00,0.00%,1.30,6b 123 0 out a2,6b 3 out a1,,WSN,1.0,W,4,3,,
10,131,2015-08-30,MIA,WSN,8-GF(8),,1,0.2,0,0,0,0,1,0,0,0.79,1,5,3,1,2,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.16,0.010,.00,0.00%,0.88,8b 12- 1 out d3,8b end d 3,,WSN,0.0,L,4,7,,
11,132,2015-08-31,MIA,ATL,6-6,H(2),0,0.2,0,0,0,2,0,0,0,0.75,3,15,6,4,0,0,1,0,1,0,,1,0,0,1,0,1,0,0,0,0,0,0,1.92,0.090,.00,0.00%,0.48,6b 1-- 1 out a1,6b 3 out a1,,ATL,10.0,W,4,0,,
12,134,2015-09-02,MIA,ATL,6-6,H(3),1,1.0,0,0,0,1,1,0,0,0.69,3,17,10,3,3,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.39,0.049,.00,0.00%,0.45,6b --- 0 out a3,6b 3 out a3,,ATL,1.0,W,7,3,,
13,135,2015-09-04,MIA,NYM,10-10,,1,1.0,0,0,0,0,3,0,0,0.64,3,14,11,3,5,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.72,0.126,.00,0.00%,0.45,10t --- 0 out tie,10t 3 out tie,,MIA,0.0,W,6,5,,
14,137,2015-09-06,MIA,NYM,7-7,,1,0.1,0,0,0,1,1,0,0,0.63,2,12,5,2,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.20,-0.002,.00,0.00%,-0.03,7t --- 0 out d1,7t 1-- 1 out d1,,MIA,10.0,W,4,3,,
15,139,2015-09-08,MIA,MIL,5-6,W(2-0),1,1.2,0,0,0,0,4,0,0,0.56,5,25,18,5,7,0,1,0,0,0,,3,0,0,0,0,5,0,0,0,0,0,0,1.17,0.144,.00,0.00%,1.95,5t 123 1 out a4,6t 3 out a4,,MIA,0.0,W,6,4,,
16,141,2015-09-11,MIA,WSN,6-6,BS(1),2,1.0,1,1,0,0,1,0,0,0.53,4,19,12,0,5,0,3,2,0,0,,0,0,0,0,0,3,0,0,0,0,1,0,1.84,-0.104,.00,0.00%,-0.56,6t --- 0 out a1,6t 3 out tie,,MIA,1.0,W,2,1,,
17,142,2015-09-12,MIA,WSN,6-6,H(4),0,0.2,0,0,0,1,0,0,0,0.51,3,19,10,1,0,1,1,1,0,0,,0,0,1,0,0,2,0,0,0,0,0,0,1.67,0.018,.00,0.00%,0.11,6t --- 0 out a2,6t --3 2 out a2,,MIA,5.0,W,2,0,,
18,144,2015-09-14,MIA,NYM,7-7,L(2-1),1,1.0,1,1,1,3,2,0,0,0.96,7,37,17,4,6,0,2,0,1,0,,0,0,1,0,0,4,1,0,1,0,0,0,2.09,-0.179,.00,0.00%,-0.55,7b --- 0 out tie,7b 3 out d1,,NYM,4.0,L,3,4,,
19,146,2015-09-16,MIA,NYM,9-GF,,1,1.0,0,0,0,0,1,0,0,0.92,3,14,8,2,0,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.002,.00,0.00%,0.45,9b --- 0 out a6,9b end a 6,,NYM,0.0,W,6,0,,
20,147,2015-09-17,MIA,WSN,7-7,,0,1.0,0,0,0,0,1,0,0,0.87,3,10,7,4,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.42,0.031,.00,0.00%,0.47,7b --- 0 out a4,7b 3 out a4,,WSN,0.0,W,6,4,,
21,149,2015-09-19,MIA,WSN,7-7,,1,1.0,1,2,2,2,0,1,0,1.66,6,24,12,5,1,1,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.48,-0.139,.00,0.00%,-1.53,7b --- 0 out d1,7b 3 out d3,,WSN,3.0,L,2,5,,
22,152,2015-09-23,MIA,PHI,10-10,,3,1.0,1,1,1,1,1,0,0,1.99,4,19,11,4,2,1,1,1,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,2.54,-0.319,.00,0.00%,-0.56,10t --- 0 out tie,10t 3 out d1,,MIA,2.0,W,4,3,,
23,154,2015-09-25,MIA,ATL,8-8,H(5),1,0.2,0,0,0,0,1,0,0,1.93,2,7,5,1,3,1,0,0,0,0,,3,0,0,0,0,2,0,0,0,0,0,0,6.69,0.351,.00,0.00%,1.50,8t 123 1 out a1,8t 3 out a1,,MIA,0.0,W,12,11,,
24,155,2015-09-26,MIA,ATL,8-8,H(6),0,0.2,1,0,0,1,0,0,0,1.88,4,23,17,3,4,1,2,2,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.88,0.011,.00,0.00%,0.04,8t --- 0 out a1,8t 12- 2 out a1,,MIA,10.0,W,6,2,,
25,159,2015-10-01,MIA,TBR,7-7,,4,0.1,3,2,2,0,0,0,0,2.59,4,15,10,2,1,1,3,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.71,-0.151,.00,0.00%,-2.03,7b --- 0 out d1,7b 1-- 1 out d3,,TBR,30.0,L,1,4,,
26,10,2016-04-17,MIA,ATL,7-7,,99,1.0,1,0,0,1,3,0,0,0.00,5,27,18,3,7,0,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.73,0.031,.64,0.02%,0.46,7t --- 0 out d2,7t 3 out d2,,MIA,2.0,L,5,6,,
27,11,2016-04-18,MIA,WSN,9-GF,,0,1.0,1,0,0,1,1,0,0,0.00,5,21,11,2,1,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.18,0.005,.16,0.00%,0.46,9t --- 0 out a5,9t end a 5,,MIA,2.0,W,6,1,,
28,13,2016-04-20,MIA,WSN,9-GF,,1,0.1,0,0,0,0,0,0,0,0.00,1,2,1,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.26,0.007,.24,0.00%,0.21,9t 1-- 2 out d2,9t end d 2,,MIA,0.0,L,1,3,,
29,14,2016-04-21,MIA,WSN,7-7,,0,1.0,0,0,0,0,1,0,0,0.00,3,10,6,4,0,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.34,0.025,.28,0.01%,0.46,7t --- 0 out a4,7t 3 out a4,,MIA,0.0,W,5,1,,
30,17,2016-04-24,MIA,SFG,7-7,W(1-0),2,1.0,1,0,0,0,1,0,0,0.00,4,17,9,1,3,1,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.77,0.086,1.11,0.03%,0.48,7b --- 0 out tie,7b 3 out tie,,SFG,1.0,W,5,4,,
31,18,2016-04-25,MIA,LAD,7-7,H(1),0,0.1,0,0,0,0,1,0,0,0.00,1,6,3,2,1,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,3.68,0.093,2.38,0.04%,0.43,7b 12- 2 out a1,7b 3 out a1,,LAD,0.0,W,3,2,,
32,19,2016-04-26,MIA,LAD,8-8,H(2),0,1.0,0,0,0,0,3,0,0,0.00,3,18,11,0,7,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.64,0.049,.45,0.02%,0.48,8b --- 0 out a3,8b 3 out a3,,LAD,0.0,W,6,3,,
33,21,2016-04-28,MIA,LAD,7-7,H(3),1,1.0,0,0,0,0,1,0,1,0.00,4,17,9,2,2,2,0,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,1,2.80,0.146,2.31,0.07%,0.86,7b 1-- 0 out a2,7b 3 out a2,,LAD,0.0,W,5,3,,
34,23,2016-04-30,MIA,MIL,8-8,H(4),1,1.0,1,0,0,0,1,0,0,0.00,4,17,11,3,0,2,1,0,0,0,,0,0,0,0,0,4,0,1,0,0,0,0,1.39,0.090,1.29,0.05%,0.51,8b --- 0 out a2,8b 3 out a2,,MIL,1.0,W,7,5,,
35,25,2016-05-03,MIA,ARI,7-7,H(5),2,1.0,2,0,0,0,2,0,0,0.00,5,23,14,3,3,3,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,2.55,0.093,2.11,0.05%,0.46,7t --- 0 out a1,7t 3 out a1,,MIA,2.0,W,7,4,,
36,26,2016-05-04,MIA,ARI,8-8,H(6),0,1.0,1,0,0,1,2,0,0,0.00,5,27,17,7,2,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.95,0.116,2.79,0.07%,0.46,8t --- 0 out a1,8t 3 out a1,,MIA,2.0,W,4,3,,
37,28,2016-05-06,MIA,PHI,8-8,W(2-0),1,1.0,0,0,0,1,1,0,0,0.00,3,14,7,2,3,0,1,1,0,0,,0,0,0,1,0,2,0,0,0,0,0,0,1.48,0.102,1.66,0.07%,0.46,8t --- 0 out tie,8t 3 out tie,,MIA,1.0,W,6,4,,
