Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,1,2014-03-31,WSN,NYM,9-9,W(1-0),99,1.0,0,0,0,0,2,0,0,0.00,3,11,7,1,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.67,0.119,1.79,0.08%,0.42,9b --- 0 out tie,9b 3 out tie,,NYM,0.0,W,9,7,,
2,4,2014-04-04,WSN,ATL,9-GF,,3,1.0,0,0,0,0,2,0,0,0.00,3,12,7,5,1,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.45,0.034,.57,0.03%,0.46,9t --- 0 out d1,9t end d 1,,WSN,0.0,L,1,2,,
3,5,2014-04-05,WSN,ATL,5-5,,0,0.2,0,0,0,0,0,0,0,0.00,2,3,3,1,0,1,1,0,0,0,,2,1,0,0,0,1,0,0,0,0,1,0,.62,-0.008,.73,-0.01%,0.14,5t 1-3 1 out d3,5t 3 out d4,,WSN,0.0,L,2,6,,
4,7,2014-04-08,WSN,MIA,9-GF,,2,1.0,0,0,0,1,1,0,0,0.00,4,18,10,3,1,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,0.005,.08,0.00%,0.46,9t --- 0 out a5,9t end a 5,,WSN,1.0,W,5,0,,
5,9,2014-04-10,WSN,MIA,8-8,H(1),1,0.1,0,0,0,0,1,0,0,0.00,1,6,4,2,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.00,0.025,1.22,0.02%,0.10,8t --- 2 out a1,8t 3 out a1,,WSN,0.0,W,7,1,,
6,10,2014-04-11,WSN,ATL,5-5,,0,0.1,1,0,0,1,0,0,0,0.00,3,23,14,4,2,2,0,0,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,1.47,-0.133,1.94,-0.11%,-0.71,5b -2- 2 out tie,5b 3 out d1,,ATL,20.0,L,6,7,,
7,21,2014-04-22,WSN,LAA,9-GF,,10,1.0,0,0,0,0,2,0,0,0.00,3,15,8,3,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.001,.02,0.00%,0.46,9t --- 0 out d5,9t end d 5,,WSN,0.0,L,2,7,,
8,22,2014-04-23,WSN,LAA,6-7,,0,2.0,2,1,1,1,2,0,0,1.23,8,28,17,4,3,2,3,2,1,0,,1,1,0,1,0,7,1,0,0,0,0,0,1.30,-0.119,1.24,-0.07%,-0.47,6t -2- 0 out tie,7t 3 out d2,,WSN,1.5,W,5,4,,
9,26,2014-04-27,WSN,SDP,6-6,,3,0.1,1,0,0,2,1,0,0,1.17,4,18,9,4,2,0,1,1,0,0,,2,2,0,0,0,2,0,0,0,0,0,0,2.41,-0.175,2.38,-0.10%,-1.87,6t 12- 1 out d1,6t 123 2 out d3,,WSN,30.0,L,2,4,,
10,28,2014-04-30,WSN,HOU,7-7,,2,0.2,0,0,0,0,1,0,0,1.08,2,7,5,1,1,1,0,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,0,.24,0.011,.26,0.01%,0.87,7b 12- 1 out a7,7b 3 out a7,,HOU,0.0,W,7,0,,
