Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,13,2018-04-11,LAA,TEX,GS-5,W(1-0),99,5.0,1,1,1,3,3,1,1,1.80,20,71,44,14,6,3,10,3,4,0,61,,,0,0,0,16,0,0,0,0,0,0,.95,0.199,1.16,0.15%,1.81,16.25,33.00,1b start tie,5b 3 out a2,,TEX,0.8,W,7,2
2,22,2018-04-22,LAA,SFG,GS-3,L(1-1),10,2.0,5,2,2,1,1,0,0,3.86,12,77,57,9,7,3,7,4,2,0,38,,,0,0,0,11,0,0,0,0,0,0,1.46,-0.083,1.62,-0.06%,-0.84,-1.10,3.00,1t start tie,3t 123 0 out tie,,LAA,3.0,L,2,4
3,31,2018-05-03,LAA,BAL,GS-6,W(2-1),10,6.0,4,2,2,2,2,0,0,3.46,24,85,58,10,9,13,7,5,1,0,56,,,0,0,0,22,0,0,0,1,0,1,.19,0.091,.22,0.07%,1.01,13.90,30.00,1t start tie,6t 3 out a10,,LAA,1.0,W,12,3
4,36,2018-05-09,LAA,COL,GS-6,W(3-1),5,5.1,5,0,0,1,7,0,1,2.45,22,89,61,11,14,4,9,5,0,0,64,,,0,0,0,20,2,0,0,0,0,0,1.14,0.241,1.34,0.17%,2.82,25.80,49.00,1b start a 1,6b 1-- 1 out a4,,COL,1.1764705882352942,W,8,0
5,42,2018-05-15,LAA,HOU,GS-7,,5,7.0,4,1,1,0,7,0,1,2.13,25,96,65,18,13,7,10,4,1,0,72,,,0,0,0,24,0,0,0,1,0,0,.98,0.309,1.54,0.29%,2.51,24.75,39.00,1t start tie,7t 3 out a2,,LAA,0.5714285714285714,L,3,5
6,52,2018-05-26,LAA,NYY,GS-5,W(4-1),10,5.0,6,4,4,1,4,3,0,2.97,21,89,61,13,12,5,11,2,2,0,42,,,1,1,0,20,0,0,0,0,0,0,.91,-0.109,.98,-0.07%,-1.44,11.05,27.00,1b start a 1,5b 3 out a1,,NYY,1.4,W,11,4
7,58,2018-06-01,LAA,TEX,GS-6,W(5-1),5,6.0,4,0,0,1,6,0,0,2.48,23,89,57,14,14,7,9,2,2,0,69,,,0,0,0,22,3,0,0,0,0,0,.59,0.176,.54,0.10%,3.01,26.50,48.00,1t start tie,6t 3 out a6,,LAA,0.8333333333333334,W,6,0
8,68,2018-06-12,LAA,SEA,GS-5,L(5-2),10,5.0,8,3,2,0,2,2,0,2.61,22,82,54,14,6,7,12,5,2,0,43,,,0,0,0,21,1,0,0,2,0,0,1.01,-0.153,1.27,-0.12%,-0.60,6.45,15.00,1b start tie,5b 3 out d2,,SEA,1.6,L,3,6
9,73,2018-06-18,LAA,ARI,GS-4,L(5-3),5,4.0,6,6,6,1,5,2,0,3.57,19,77,45,13,11,5,8,5,0,0,30,,,0,0,0,18,1,0,0,0,0,0,.54,-0.300,.34,-0.11%,-4.00,2.80,9.00,1t start tie,4t 3 out d6,,LAA,1.75,L,4,7
10,77,2018-06-23,LAA,TOR,GS-5,,4,5.0,4,1,1,4,5,1,0,3.40,21,93,49,10,9,4,8,3,1,0,56,,,0,0,0,17,1,0,0,2,0,0,1.18,0.136,.91,0.06%,1.51,14.45,27.00,1t start tie,5t 3 out d1,,LAA,1.6,L,1,4
