Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,2,2004-04-06,MIL,STL,7-8,H(1),99,1.1,2,0,0,0,0,0,0,0.00,6,19,12,4,1,2,4,1,1,0,,2,0,0,0,0,6,0,0,0,0,0,0,1.43,0.116,1.54,0.08%,1.00,7b 12- 1 out a3,8b 12- 2 out a3,,STL,1.8181818181818181,W,7,5
2,6,2004-04-10,MIL,HOU,7-8,,3,2.0,1,1,1,0,0,0,0,2.70,7,32,23,4,2,1,6,2,0,0,,0,0,0,0,0,6,0,1,0,0,1,0,.14,0.013,.15,0.01%,0.04,7t --- 0 out a6,8t 3 out a5,,MIL,0.5,W,6,1
3,8,2004-04-12,MIL,SFG,7-8,,1,1.2,2,1,1,1,1,0,0,3.60,8,34,19,3,1,1,5,3,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,.48,-0.065,.50,-0.04%,-0.19,7b --- 0 out d1,8b 1-- 2 out d2,,SFG,2.5,L,5,7
4,10,2004-04-14,MIL,SFG,7-8,H(2),1,1.1,1,0,0,1,0,0,0,2.84,6,16,8,2,0,3,2,0,0,0,,2,0,0,0,0,5,1,0,1,0,0,0,1.49,0.107,1.40,0.06%,0.98,7b 12- 2 out a3,8b 3 out a3,,SFG,1.8181818181818181,W,3,0
5,12,2004-04-16,MIL,HOU,7-GF(8),,1,2.0,3,1,1,1,0,0,0,3.24,8,24,14,3,1,4,3,0,0,0,,0,0,0,0,0,6,0,1,0,2,1,0,.81,-0.012,.93,-0.01%,0.05,7b --- 0 out d1,8b end d 2,,HOU,2.0,L,0,2
6,14,2004-04-18,MIL,HOU,7-7,,1,1.0,2,0,0,0,0,0,0,2.89,5,17,11,3,0,2,3,1,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.13,0.004,.12,0.00%,0.53,7b --- 0 out d5,7b 3 out d5,,HOU,2.0,L,1,6
7,16,2004-04-21,MIL,ARI,8-8,,2,0.1,1,2,2,2,0,0,0,4.66,4,18,7,4,0,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.37,-0.029,.32,-0.02%,-2.02,8t --- 0 out a6,8t 1-- 1 out a4,,MIL,30.0,W,10,6
8,19,2004-04-24,MIL,STL,7-7,H(3),2,1.0,1,0,0,0,0,0,0,4.22,3,12,8,1,0,2,1,1,0,0,,1,0,0,0,0,3,0,0,0,1,0,0,2.36,0.132,2.35,0.08%,0.91,7t 1-- 0 out a2,7t 3 out a2,,MIL,1.0,W,3,1
9,21,2004-04-27,MIL,CIN,9-GF,W(1-0),2,0.1,0,0,0,0,0,0,0,4.09,1,2,2,0,1,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.69,0.021,.68,0.01%,0.62,9t -23 2 out d2,9t end d 2,,MIL,0.0,W,9,8
10,25,2004-05-02,MIL,PIT,10-GF(11),L(1-1),4,2.0,2,1,1,0,3,1,0,4.15,8,28,19,6,5,1,4,1,0,0,,0,0,0,0,0,8,1,0,0,0,0,0,1.38,-0.153,1.32,-0.09%,0.04,10t --- 0 out tie,11t end d 1,,MIL,1.0,L,3,4
11,27,2004-05-05,MIL,CIN,10-GF(10),L(1-2),2,0.1,1,1,1,0,0,1,0,4.73,2,5,4,0,0,0,2,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,2.04,-0.362,1.99,-0.21%,-0.76,10b --- 0 out tie,10b end d 1,,CIN,10.0,L,4,5
12,28,2004-05-06,MIL,CIN,7-7,BL(1-3),0,0.2,2,3,0,0,2,0,0,4.50,7,27,20,2,3,3,2,1,0,0,,2,2,0,0,0,6,0,0,0,0,1,3,2.75,-0.555,2.48,-0.30%,-4.11,7b 12- 0 out a2,7b -23 2 out d3,,CIN,10.0,L,6,9
13,31,2004-05-09,MIL,NYM,7-7,,2,1.0,0,0,0,1,1,0,0,4.20,4,12,7,3,2,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.02,0.044,.96,0.03%,0.51,7b --- 0 out d1,7b 3 out d1,,NYM,1.0,L,5,6
14,32,2004-05-11,MIL,MON,9-9,,1,1.0,1,2,2,1,1,1,0,5.06,5,18,10,3,1,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.12,-0.026,.10,-0.01%,-1.48,9t --- 0 out d3,9t 3 out d5,,MIL,2.0,W,8,5
15,35,2004-05-14,MIL,ATL,9-GF,,2,1.0,1,0,0,0,1,0,0,4.76,4,14,9,2,4,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.32,0.019,.34,0.01%,0.52,9t --- 0 out d2,9t end d 2,,MIL,1.0,L,0,2
16,36,2004-05-15,MIL,ATL,8-8,,0,1.0,1,0,0,0,1,0,0,4.50,4,9,7,2,0,2,1,1,0,0,,3,2,0,0,0,4,1,0,0,0,0,0,.25,-0.008,.25,-0.01%,0.36,8t 123 0 out d3,8t 3 out d5,,MIL,1.0,L,6,11
17,39,2004-05-19,MIL,MON,7-7,H(4),3,0.2,0,0,0,0,0,0,0,4.34,1,5,3,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,1,0,0,3.57,0.160,3.09,0.08%,0.95,7b 12- 1 out a2,7b 3 out a2,,MON,0.0,W,6,3
18,40,2004-05-20,MIL,MON,4-5,,0,1.1,0,0,0,0,2,0,0,4.05,4,24,19,3,4,2,0,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,1.12,0.121,1.06,0.07%,0.88,4b -2- 2 out a1,5b 3 out a1,,MON,0.0,W,3,2
19,42,2004-05-23,MIL,PIT,7-7,H(5),2,1.0,2,0,0,0,1,0,0,3.86,5,18,13,2,2,0,4,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,2.33,0.109,2.49,0.07%,0.51,7b --- 0 out a1,7b 3 out a1,,PIT,2.0,W,2,1
20,44,2004-05-26,MIL,LAD,7-8,,2,2.0,2,0,0,1,1,0,0,3.52,7,27,15,4,2,4,1,1,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,2.04,0.198,1.96,0.11%,1.04,7t --- 0 out tie,8t 3 out tie,,MIL,1.5,W,2,1
21,46,2004-05-28,MIL,SDP,8-8,,1,1.0,0,0,0,0,2,0,0,3.38,3,15,12,0,5,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.70,0.054,.78,0.04%,0.52,8t --- 0 out d1,8t 3 out d1,,MIL,0.0,L,3,5
22,48,2004-05-30,MIL,SDP,9-GF,,1,1.0,0,0,0,0,1,0,0,3.24,3,9,7,2,2,1,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.11,0.009,.12,0.01%,0.52,9t --- 0 out d3,9t end d 3,,MIL,0.0,L,2,5
