Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,130,2005-08-28,WSN,STL,8-GF,,99,1.1,1,0,0,0,3,0,0,0.00,5,18,12,1,6,1,1,0,0,0,,3,2,0,0,0,5,0,0,0,0,0,0,.09,-0.021,.12,-0.02%,-0.76,8t 123 2 out d4,9t end d 6,,WSN,0.9090909090909091,L,0,6
2,131,2005-08-30,WSN,ATL,3-5,W(1-0),1,2.0,3,0,0,2,2,0,0,0.00,11,49,26,7,4,4,3,2,0,0,,3,0,0,0,0,9,0,0,0,0,0,0,1.34,0.107,2.00,0.10%,1.36,3b 123 2 out d2,5b 12- 2 out a1,,ATL,2.5,W,3,2
3,134,2005-09-01,WSN,ATL,5-6,,1,2.0,0,0,0,2,1,0,0,0.00,8,35,20,2,4,1,4,0,2,0,,0,0,1,0,0,6,0,0,0,0,0,0,.21,0.024,.38,0.03%,1.03,5b --- 0 out d4,6b 3 out d4,,ATL,1.0,L,7,8
4,137,2005-09-04,WSN,PHI,9-GF,,2,0.2,0,0,0,1,0,0,0,0.00,3,9,4,2,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.11,0.002,.15,0.00%,0.25,9t --- 1 out a5,9t end a 5,,WSN,5.0,W,6,1
5,139,2005-09-06,WSN,FLA,3-4,,1,1.1,1,0,0,0,1,0,0,0.00,4,15,9,4,0,1,2,1,0,0,,2,0,0,1,0,4,0,0,0,0,0,0,.98,0.083,2.05,0.10%,1.07,3t -23 2 out d3,4t 3 out d1,,WSN,0.9090909090909091,L,2,4
6,140,2005-09-07,WSN,FLA,3-4,,0,1.1,2,2,2,0,0,0,1,2.08,7,19,12,2,1,4,2,0,0,0,,1,0,1,0,0,5,1,0,0,0,0,0,.71,-0.040,1.22,-0.04%,-0.83,3t 1-- 0 out d3,4t 1-3 1 out d4,,WSN,1.8181818181818181,L,1,12
7,142,2005-09-09,WSN,ATL,7-7,,1,1.0,0,0,0,0,1,0,0,1.86,4,13,8,2,2,0,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,.25,0.019,.16,0.01%,0.48,7t --- 0 out d3,7t 3 out d3,,WSN,0.0,W,8,6
8,144,2005-09-11,WSN,ATL,GS-2,,1,2.0,1,2,2,3,3,0,1,3.09,11,49,25,6,4,0,4,1,0,0,46,,,1,0,0,6,1,0,1,0,1,0,1.09,-0.121,.58,-0.04%,-1.04,1t start tie,2t 3 out d2,,WSN,2.0,L,7,9
9,147,2005-09-15,WSN,NYM,9-9,W(2-0),3,1.0,1,0,0,0,2,0,0,2.84,4,15,12,7,0,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.31,0.136,1.97,0.07%,0.49,9b --- 0 out tie,9b 3 out tie,,NYM,1.0,W,6,5
10,149,2005-09-17,WSN,SDP,9-9,,1,0.1,0,1,1,1,1,0,0,3.46,2,11,7,2,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.33,0.000,.49,0.00%,-0.03,9b --- 0 out a5,9b 1-- 1 out a5,,SDP,10.0,L,5,8
11,152,2005-09-21,WSN,SFG,8-GF,,3,2.0,1,0,0,0,4,0,0,3.00,7,27,22,7,5,1,2,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.06,0.010,.02,0.00%,0.96,8t --- 0 out d4,9t end d 4,,WSN,0.5,L,1,5
12,154,2005-09-23,WSN,NYM,8-8,,1,0.2,1,0,0,0,0,0,0,2.87,3,10,7,2,1,2,1,0,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,.36,0.007,.02,0.00%,0.17,8t --- 0 out d2,8t -2- 2 out d2,,WSN,5.0,L,2,5
13,155,2005-09-24,WSN,NYM,9-GF,,0,1.0,0,0,0,0,1,0,0,2.70,3,10,7,3,1,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.09,0.007,.00,0.00%,0.48,9t --- 0 out d3,9t end d 3,,WSN,0.0,L,2,5
14,157,2005-09-26,WSN,FLA,7-8,H(1),1,1.2,1,0,0,1,2,0,0,2.45,7,25,14,6,3,0,4,1,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.81,0.107,.00,0.00%,0.47,7b --- 0 out a1,8b 1-3 2 out a4,,FLA,1.6666666666666667,W,4,0
15,159,2005-09-28,WSN,FLA,7-8,,1,1.1,2,1,1,1,0,1,0,2.75,6,25,14,5,3,2,3,0,0,0,,0,0,0,0,0,5,1,0,0,1,0,0,.60,0.016,.00,0.00%,-0.30,7b --- 0 out a5,8b --- 1 out a4,,FLA,2.727272727272727,W,11,7
16,3,2006-04-06,WSN,NYM,6-6,,99,0.2,1,0,0,0,1,0,0,0.00,3,11,7,1,2,1,1,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,1.02,0.010,1.12,0.01%,0.15,6b --- 0 out d1,6b --3 2 out d1,,NYM,5.0,L,5,10
17,4,2006-04-07,WSN,HOU,6-6,,0,0.0,3,4,4,2,0,2,1,54.00,6,26,13,2,0,0,3,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.55,-0.244,.51,-0.14%,-5.01,6b --- 0 out d1,6b 12- 0 out d5,,HOU,inf,L,1,6
