Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,114,2000-08-10,CHW,SEA,GS-6,L(0-1),99,5.1,8,6,6,1,1,2,0,10.13,25,100,58,21,3,8,15,6,1,0,28,,,2,0,0,24,1,1,0,0,0,0,.74,-0.214,.22,-0.04%,-2.67,1t start tie,6t --- 1 out d5,,CHW,1.7647058823529413,L,3,6
2,119,2000-08-15,CHW,BAL,GS-7,W(1-1),4,7.0,6,4,4,2,2,1,0,7.30,27,93,56,21,3,6,17,5,4,0,49,,,0,1,0,25,2,0,0,1,0,0,.44,0.017,.13,0.00%,-0.02,1b start a 2,7b 3 out a10,,BAL,1.1428571428571428,W,14,4
3,124,2000-08-20,CHW,TBD,GS-6,,4,5.0,8,8,4,2,2,1,0,7.27,26,95,58,12,5,8,14,6,0,0,27,,,0,0,0,23,2,0,0,0,1,1,1.12,-0.369,.14,-0.03%,-4.36,1t start tie,6t 1-- 0 out a3,,CHW,2.0,L,11,12
4,129,2000-08-26,CHW,SEA,GS-6,L(1-2),5,5.1,9,7,7,3,2,1,0,8.34,27,105,63,17,6,7,15,6,0,0,21,,,0,0,1,23,1,0,0,0,1,0,.74,-0.186,.11,-0.02%,-3.60,1b start tie,6b 12- 1 out d6,,SEA,2.3529411764705883,L,5,11
5,2,2001-04-04,CHW,CLE,6-6,,99,1.0,1,0,0,0,0,0,0,0.00,4,15,9,1,2,1,3,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.13,0.006,.14,0.00%,0.55,6b --- 0 out d5,6b 3 out d5,,CLE,1.0,L,4,8
6,4,2001-04-07,CHW,DET,7-7,,2,1.0,0,0,0,0,1,0,0,0.00,3,13,8,4,1,2,0,0,0,0,,0,0,0,1,0,3,0,0,0,0,0,1,.45,0.026,.47,0.02%,0.57,7t --- 0 out d3,7t 3 out d3,,CHW,0.0,L,3,5
7,6,2001-04-09,CHW,CLE,GS-5,W(1-0),1,5.0,10,2,2,0,4,0,0,2.57,22,76,51,11,10,10,8,6,0,0,43,,,0,0,0,22,2,0,0,2,0,0,.83,0.116,.78,0.07%,0.85,1t start tie,5t 3 out a5,,CHW,2.0,W,9,2
8,12,2001-04-17,CHW,DET,GS-6,,7,6.0,8,3,0,0,4,1,0,1.38,24,97,59,23,9,9,11,7,0,0,54,,,1,2,0,24,1,0,0,0,0,1,.99,-0.067,.92,-0.04%,0.05,1b start tie,6b 3 out d1,,DET,1.3333333333333333,L,4,7
9,17,2001-04-22,CHW,MIN,GS-5,,4,5.0,3,2,2,6,3,0,0,2.00,24,109,62,19,7,7,8,3,1,0,50,,,1,0,0,18,1,0,1,0,0,0,1.39,0.054,1.20,0.03%,0.85,1t start tie,5t 3 out tie,,CHW,1.8,L,2,4
10,22,2001-04-28,CHW,SEA,GS-6,L(1-1),5,5.1,8,6,6,5,4,1,0,3.86,29,116,65,22,7,7,13,6,0,0,27,,,0,0,0,24,3,0,1,0,0,0,1.43,-0.329,.79,-0.11%,-2.16,1t start tie,6t 1-- 1 out tie,,CHW,2.5490196078431375,L,5,8
