,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,55,2018-05-31,CLE,MIN,GS-6,,99,5.2,8,4,4,1,6,2,0,6.35,24,88,54,19,7,9,8,5,0,0,42.0,,,0,0,0,23,1,0,0,1,0,0,0.44,0.096,0.71,0.09%,-1.14,11.35,23.0,1b start a 3,6b 1-- 2 out a4,,MIN,1.7307692307692306,W,9,8
1,2,70,2018-06-17,CLE,MIN,GS-6,W(1-0),16,5.2,10,1,1,1,7,0,0,3.97,27,89,61,20,8,8,11,3,2,0,51.0,,,0,0,0,26,4,0,0,0,0,0,1.18,0.138,2.1,0.15%,1.54,22.15,47.0,1t start tie,6t -23 2 out a3,,CLE,2.1153846153846154,W,4,1
2,3,74,2018-06-22,CLE,DET,GS-7,W(2-0),4,7.0,4,0,0,1,9,0,0,2.45,25,97,63,21,18,9,6,2,0,0,77.0,,,0,0,0,24,0,0,0,2,0,1,0.94,0.33399999999999996,1.72,0.37%,3.69,34.75,60.0,1t start tie,7t 3 out a4,,CLE,0.7142857142857143,W,10,0
3,4,79,2018-06-27,CLE,STL,GS-6,W(3-0),4,6.0,6,1,1,1,5,0,2,2.22,27,99,69,23,13,10,9,5,1,0,60.0,,,0,0,0,24,1,0,0,0,0,0,1.0,0.205,1.01,0.12%,1.81,20.1,42.0,1b start tie,6b 3 out a4,,STL,1.1666666666666667,W,5,1
4,5,84,2018-07-03,CLE,KCR,GS-6,W(4-0),5,6.0,9,4,4,1,2,1,0,2.97,26,95,65,15,12,7,16,7,0,0,39.0,,,1,1,0,25,3,0,0,0,0,0,0.8,-0.133,0.57,-0.06%,-0.93,7.5,24.0,1b start a 2,6b 3 out a2,,KCR,1.6666666666666667,W,6,4
5,6,88,2018-07-08,CLE,OAK,GS-6,L(4-1),4,6.0,8,4,4,1,7,1,0,3.47,27,98,71,21,7,8,11,6,1,0,46.0,,,0,0,0,26,2,0,0,0,0,0,0.72,-0.105,0.43,-0.04%,-0.84,14.1,27.0,1t start tie,6t 3 out d4,,CLE,1.5,L,0,6
6,7,93,2018-07-13,CLE,NYY,GS-8,W(5-1),4,7.0,5,4,3,2,6,0,0,3.53,27,99,64,21,11,12,7,2,0,0,57.0,,,0,0,0,24,3,0,0,1,1,0,0.91,0.032,0.71,0.02%,0.06,21.55,42.0,1t start tie,8t -2- 0 out a3,,CLE,1.0,W,6,5
7,8,100,2018-07-24,CLE,PIT,GS-2,L(5-2),10,1.2,7,7,7,0,2,2,0,4.8,12,54,36,6,5,2,8,3,0,0,15.0,,,0,0,0,12,1,1,0,0,0,0,0.92,-0.45899999999999996,0.57,-0.17%,-6.06,-10.45,-10.0,1t start tie,2t --- 2 out d6,,CLE,5.833333333333334,L,4,9
8,9,105,2018-07-30,CLE,MIN,GS-7,,5,6.1,7,4,4,2,7,0,0,4.91,27,95,67,22,10,6,11,6,3,1,48.0,,,0,0,0,24,1,0,0,0,1,0,1.39,-0.17800000000000002,1.32,-0.10%,-0.92,14.85,28.0,1b start a 1,7b 1-- 1 out tie,,MIN,1.475409836065574,L,4,5
9,10,110,2018-08-05,CLE,LAA,GS-6,W(6-2),5,5.2,7,2,2,1,7,0,0,4.74,25,94,62,19,6,5,12,6,0,0,53.0,,,0,0,0,24,2,1,0,0,0,0,0.98,0.10300000000000001,0.44,0.03%,0.92,21.95,44.0,1t start tie,6t 1-- 2 out a1,,CLE,1.5384615384615383,W,4,3
10,11,115,2018-08-10,CLE,CHW,GS-7,,4,6.2,3,0,0,2,8,0,0,4.24,25,106,74,20,20,10,5,1,0,0,74.0,,,0,0,0,23,2,0,0,0,0,0,0.99,0.42200000000000004,0.25,0.06%,3.4,28.0,44.0,1b start tie,7b --- 2 out tie,,CHW,0.8064516129032258,L,0,1
