Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,66,2006-06-15,LAD,SDP,GS-6,,99,5.1,6,2,2,2,3,0,0,3.38,23,98,60,20,3,11,7,3,1,0,49,,,1,0,0,21,0,0,0,1,0,0,1.49,-0.009,2.31,-0.01%,0.43,1b start tie,6b 1-- 1 out tie,,SDP,1.5686274509803924,W,7,3
2,71,2006-06-21,LAD,SEA,GS-5,,5,5.0,5,2,2,4,1,1,0,3.48,23,97,58,12,2,10,8,2,1,0,46,,,1,1,0,17,1,0,0,0,0,0,1.21,0.043,1.54,0.03%,0.73,1t start tie,5t 3 out d1,,LAD,1.8,L,5,8
3,76,2006-06-26,LAD,MIN,GS-6,L(0-1),4,5.2,7,6,6,7,2,0,1,5.63,29,103,55,16,4,12,7,1,0,0,26,,,0,0,0,21,0,1,0,1,0,0,.97,-0.171,1.48,-0.16%,-1.21,1b start tie,6b 12- 2 out d2,,MIN,2.692307692307692,L,2,8
4,81,2006-07-02,LAD,LAA,GS-6,L(0-2),5,6.0,4,4,2,4,3,1,0,4.91,26,91,54,13,6,11,8,2,1,0,51,,,1,0,0,22,2,0,0,1,0,1,.77,-0.083,1.08,-0.07%,-0.68,1b start tie,6b 3 out d4,,LAA,1.3333333333333333,L,0,4
5,86,2006-07-07,LAD,SFG,GS-6,,4,5.1,6,5,4,4,5,2,0,5.27,25,96,50,12,9,8,8,3,2,0,39,,,0,1,0,20,1,0,1,0,0,0,1.12,-0.373,1.96,-0.39%,-3.35,1t start tie,6t 123 1 out tie,,LAD,1.9607843137254903,W,9,7
6,89,2006-07-13,LAD,STL,GS-5,,5,5.0,6,0,0,5,4,0,1,4.45,25,97,50,13,6,9,6,2,0,0,54,,,0,0,0,19,1,0,0,1,0,0,1.75,0.293,2.91,0.29%,2.67,1b start tie,5b 3 out a2,,STL,2.2,L,2,3
7,94,2006-07-18,LAD,ARI,GS-7,W(1-2),4,7.0,6,0,0,2,4,0,0,3.66,27,103,63,17,9,9,12,6,2,0,67,,,0,1,0,25,0,0,0,1,0,0,1.23,0.392,1.84,0.35%,3.97,1b start tie,7b 3 out a4,,ARI,1.1428571428571428,W,4,1
8,99,2006-07-23,LAD,STL,GS-6,L(1-3),4,5.0,6,6,5,5,1,2,0,4.26,25,99,54,17,4,11,9,2,0,0,29,,,0,0,0,20,1,0,1,1,0,1,1.02,-0.209,.98,-0.12%,-3.67,1t start tie,6t 1-- 0 out d6,,LAD,2.2,L,1,6
9,103,2006-07-28,LAD,WSN,GS-6,W(2-3),4,6.0,4,1,1,5,5,0,0,3.93,25,111,59,21,8,8,7,4,1,0,60,,,1,1,0,20,0,0,0,1,0,0,.67,0.076,.33,0.02%,2.28,1t start tie,6t 3 out a11,,LAD,1.5,W,13,1
10,110,2006-08-05,LAD,FLA,GS-6,W(3-3),7,6.0,3,1,1,3,7,0,0,3.67,25,107,65,21,18,8,7,2,0,0,66,,,0,0,0,22,0,0,0,0,0,0,.61,0.110,.99,0.11%,2.08,1b start a 1,6b 3 out a9,,FLA,1.0,W,10,2
11,115,2006-08-10,LAD,COL,GS-5,,4,5.0,3,1,1,6,3,1,0,3.52,22,96,49,11,6,4,9,2,1,0,54,,,0,0,0,15,0,0,0,2,0,0,1.46,0.191,3.23,0.25%,1.73,1t start tie,5t 3 out tie,,LAD,1.8,W,4,3
12,120,2006-08-15,LAD,FLA,GS-7,W(4-3),4,7.0,3,0,0,1,9,0,0,3.16,24,106,68,21,10,7,8,0,2,0,79,,,0,1,0,23,0,0,0,0,0,0,1.16,0.460,2.42,0.58%,3.82,1t start tie,7t 3 out tie,,LAD,0.5714285714285714,W,4,0
13,125,2006-08-21,LAD,SDP,GS-5,,5,5.0,6,2,1,1,5,0,0,3.07,22,95,56,22,7,5,11,5,0,0,53,,,1,0,0,21,2,0,0,0,0,0,1.38,0.008,3.05,0.01%,0.46,1b start tie,5b 3 out tie,,SDP,1.4,L,2,4
14,130,2006-08-27,LAD,ARI,GS-7,W(5-3),5,7.0,9,2,2,1,1,0,0,3.02,29,92,56,15,0,13,14,6,4,0,51,,,0,0,0,28,2,0,0,2,0,0,1.16,0.158,3.18,0.26%,1.97,1b start tie,7b 3 out a4,,ARI,1.4285714285714286,W,6,3
15,148,2006-09-16,LAD,SDP,GS-1,L(5-4),19,1.0,3,3,3,2,1,0,0,3.32,8,40,18,9,0,1,4,2,0,0,34,,,0,0,0,6,1,0,0,0,0,0,1.08,-0.223,2.75,-0.34%,-2.45,1t start tie,1t 3 out d3,,LAD,5.0,L,2,11
16,153,2006-09-21,LAD,PIT,GS-5,W(6-4),4,5.0,6,2,2,3,4,0,1,3.34,23,96,60,17,6,10,5,3,0,0,48,,,0,0,0,19,2,0,1,1,0,0,1.47,0.062,5.96,0.15%,0.73,1t start tie,5t 3 out tie,,LAD,1.8,W,5,2
17,159,2006-09-28,LAD,COL,2-4,,6,2.2,8,6,6,3,1,0,0,3.84,18,58,31,6,5,5,9,4,1,0,,0,0,0,0,1,15,1,0,0,0,0,0,1.35,-0.226,6.02,-0.61%,-2.72,2b --- 0 out a1,4b 12- 2 out a1,,COL,5.0,W,19,11
18,162,2006-10-01,LAD,SFG,6-6,W(7-4),2,1.0,1,0,0,0,0,0,0,3.80,4,13,9,1,0,1,3,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.65,0.078,.00,0.00%,0.54,6b --- 0 out tie,6b 3 out tie,,SFG,1.0,W,4,3
19,2,2007-04-03,LAD,MIL,7-7,,99,1.0,1,0,0,0,1,0,0,0.00,4,11,8,4,0,1,2,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.78,0.046,.73,0.03%,0.53,7b --- 0 out d1,7b 3 out d1,,MIL,1.0,L,3,4
20,6,2007-04-08,LAD,SFG,7-8,,4,2.0,5,3,3,1,0,1,0,9.00,11,36,20,8,1,4,6,4,0,0,,0,0,0,0,0,10,1,0,0,1,0,0,.20,0.001,.22,0.00%,-1.94,7b --- 0 out a8,8b 3 out a5,,SFG,3.0,W,10,4
21,8,2007-04-10,LAD,COL,7-8,BS(1),1,1.1,3,1,1,1,2,0,0,8.31,8,34,17,5,4,3,2,1,0,0,,0,0,0,0,0,7,2,0,0,0,0,0,1.86,-0.166,2.10,-0.11%,-0.88,7t --- 0 out a1,8t 12- 1 out tie,,LAD,3.6363636363636362,W,2,1
22,13,2007-04-16,LAD,ARI,9-GF,,5,1.0,0,0,0,0,0,0,0,6.75,3,12,7,4,0,1,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.27,0.022,.36,0.02%,0.56,9b --- 0 out a4,9b end a 4,,ARI,0.0,W,5,1
23,14,2007-04-17,LAD,ARI,6-7,W(1-0),0,2.0,1,0,0,1,2,0,0,4.91,7,38,21,4,3,1,3,0,0,0,,0,0,0,1,0,6,0,0,0,0,0,0,1.19,0.168,1.61,0.14%,1.13,6b --- 0 out tie,7b 3 out a2,,ARI,1.0,W,6,4
24,17,2007-04-20,LAD,PIT,7-8,,2,2.0,1,1,1,1,1,0,0,4.82,7,26,15,5,1,3,2,0,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,.04,0.002,.05,0.00%,0.06,7t --- 0 out a9,8t 3 out a8,,LAD,1.0,W,10,2
25,19,2007-04-22,LAD,PIT,7-7,,1,0.1,2,2,2,1,0,0,0,6.52,4,21,12,2,1,1,2,2,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,.93,-0.132,1.14,-0.10%,-2.17,7t --- 0 out d2,7t -2- 1 out d4,,LAD,30.0,L,5,7
26,23,2007-04-27,LAD,SDP,6-7,,4,2.0,4,3,2,1,4,0,0,6.94,11,53,34,9,7,2,4,2,0,0,,0,0,0,0,0,9,1,0,0,0,1,0,1.09,-0.308,1.47,-0.25%,-2.05,6b --- 0 out tie,7b 3 out d2,,SDP,2.5,W,6,5
27,25,2007-04-29,LAD,SDP,16-GF(17),W(2-0),1,2.0,0,0,0,1,4,0,0,5.93,8,37,24,7,7,2,1,1,0,0,,0,0,1,0,0,7,0,0,0,0,0,1,3.82,0.323,5.10,0.26%,0.95,16b --- 0 out tie,17b end a 1,,SDP,0.5,W,5,4
28,29,2007-05-04,LAD,ATL,6-7,,4,2.0,1,0,0,2,1,0,0,5.17,9,36,20,4,5,3,3,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.21,0.017,.27,0.01%,1.03,6b --- 0 out d4,7b 3 out d4,,ATL,1.5,L,0,4
29,31,2007-05-06,LAD,ATL,7-GF(8),,1,1.1,2,0,0,1,3,0,0,4.76,8,31,20,4,7,3,1,1,0,0,,2,2,0,0,0,7,0,0,0,0,0,1,.85,-0.259,1.10,-0.20%,-0.98,7b 1-3 2 out tie,8b end d 2,,ATL,2.727272727272727,L,4,6
30,33,2007-05-08,LAD,FLA,7-7,,1,1.0,0,0,0,0,3,0,0,4.50,3,10,9,4,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.58,0.044,.72,0.03%,0.51,7b --- 0 out d1,7b 3 out d1,,FLA,0.0,L,5,6
