Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
363,3,2000-04-05,DET,OAK,8-8,,99,0.1,2,2,2,1,0,0,0,54.00,3,18,9,3,2,0,2,2,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.15,-0.021,.16,-0.01%,-1.42,8b --- 0 out d3,8b --3 1 out d4,,OAK,30.0,L,2,8
364,6,2000-04-09,DET,BAL,4-6,,3,2.2,2,0,0,0,0,0,0,6.00,10,40,24,8,1,4,6,3,0,0,,1,1,0,0,0,9,0,0,0,0,1,0,.05,0.002,.04,0.00%,0.87,4b -2- 1 out d7,6b 3 out d6,,BAL,0.9090909090909091,L,6,11
365,10,2000-04-14,DET,TBD,9-GF,,4,1.0,4,1,1,0,0,0,0,6.75,7,26,17,4,2,2,5,3,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.16,0.003,.13,0.00%,-0.44,9t --- 0 out a6,9t end a 5,,DET,4.0,W,10,5
366,13,2000-04-18,DET,BOS,9-GF,,3,0.1,1,0,0,0,0,0,0,6.23,2,7,4,1,1,1,1,1,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.01,0.000,.01,0.00%,0.25,9t 1-- 2 out d7,9t end d 7,,DET,10.0,L,0,7
367,14,2000-04-19,DET,BOS,6-6,,0,0.1,1,0,0,0,0,0,0,5.79,2,5,4,1,0,0,2,1,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.03,0.001,.02,0.00%,0.25,6t 1-- 2 out d9,6t 3 out d9,,DET,10.0,L,0,10
368,15,2000-04-21,DET,CHW,8-GF(8),,1,1.0,1,0,0,0,1,0,0,4.76,4,11,8,3,1,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.03,0.002,.02,0.00%,0.61,8b --- 0 out d5,8b end d 5,,CHW,1.0,L,2,7
369,16,2000-04-22,DET,CHW,8-GF(8),,0,0.1,1,1,1,0,0,1,0,6.00,2,5,3,0,0,0,2,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.00,0.000,.00,0.00%,-0.87,8b --- 2 out d10,8b end d11,,CHW,10.0,L,6,14
370,18,2000-04-24,DET,ANA,6-7,,1,2.0,2,2,2,2,1,0,0,6.75,9,33,17,6,2,2,4,2,0,0,,1,0,0,0,0,7,1,0,0,1,0,0,.10,-0.015,.05,-0.01%,-0.37,6b 1-- 0 out d5,7b 3 out d7,,ANA,2.0,L,4,10
371,24,2000-05-01,DET,BOS,8-GF(8),,6,1.0,0,0,0,0,0,0,0,6.00,3,11,8,0,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.00,0.00%,0.62,8b --- 0 out d6,8b end d 6,,BOS,0.0,L,6,10
372,25,2000-05-02,DET,BOS,10-11,W(1-0),0,2.0,1,0,0,0,0,0,0,4.91,6,16,11,2,3,4,2,1,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,2.17,0.320,.78,0.07%,1.23,10b --- 0 out tie,11b 3 out tie,,BOS,0.5,W,7,6
