,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,63,2008-06-06,SLN,HOU,7-GF(8),,99,2.0,3,1,1,0,0,1,0,4.5,7,27,18,2,1,5,2,0,1,0,,0.0,0.0,0,0,0,7,0,0,0,2,0,0,0.06,-0.002,0.09,0.00%,-0.01,7b --- 0 out d5,8b end d 5,,HOU,1.5,L,1,6
1,2,66,2008-06-10,SLN,CIN,GS-5,W(1-0),3,5.0,4,2,2,3,0,1,0,3.86,22,72,39,8,3,13,6,2,0,0,48.0,,,0,0,0,19,1,0,0,0,0,0,1.01,0.125,1.66,0.12%,0.6,1b start tie,5b 3 out a3,,CIN,1.4,W,7,2
2,3,71,2008-06-15,SLN,PHI,GS-5,,4,4.1,6,4,4,2,3,0,1,5.56,22,81,47,17,4,8,9,5,0,0,36.0,,,1,0,0,19,1,0,0,0,0,0,1.23,-0.139,1.97,-0.13%,-1.69,1t start tie,5t 1-3 1 out a2,,STL,1.951219512195122,W,7,6
3,4,76,2008-06-21,SLN,BOS,GS-6,W(2-0),5,5.1,5,3,3,2,1,1,1,5.4,23,81,45,14,1,7,12,5,0,0,45.0,,,0,0,0,20,3,0,0,0,0,0,0.5,0.057999999999999996,0.73,0.05%,-0.16,1b start a 4,6b 1-- 1 out a5,,BOS,1.3725490196078431,W,9,3
4,5,82,2008-06-28,SLN,KCR,GS-7,W(3-0),6,6.0,4,1,1,4,6,0,0,4.37,25,96,55,15,7,7,8,2,3,0,62.0,,,0,0,0,21,1,0,0,1,0,0,0.98,0.27399999999999997,1.5,0.25%,2.13,1b start tie,7b 12- 0 out a5,,KCR,1.3333333333333333,W,5,1
5,6,87,2008-07-03,SLN,NYM,GS-6,L(3-1),4,6.0,10,11,10,6,2,1,0,6.59,35,108,58,17,5,16,11,6,0,0,6.0,,,0,0,0,27,2,1,0,0,1,1,0.58,-0.39299999999999996,0.93,-0.38%,-8.0,1t start tie,6t 3 out d11,,STL,2.6666666666666665,L,1,11
6,7,105,2008-07-25,SLN,NYM,GS-5,L(3-2),21,4.1,8,6,6,4,1,1,0,7.36,24,95,54,18,6,10,9,3,0,0,20.0,,,1,0,0,20,1,1,0,1,0,0,0.97,-0.2,1.64,-0.20%,-3.02,1b start tie,5b 1-- 1 out d5,,NYM,2.9268292682926838,L,2,7
7,8,107,2008-07-27,SLN,NYM,7-7,,1,1.0,2,1,1,1,0,0,0,7.41,6,17,9,1,0,3,2,1,0,0,,0.0,0.0,0,0,0,5,1,0,0,0,0,0,0.01,-0.001,0.02,0.00%,-0.5,7b --- 0 out d7,7b 3 out d8,,NYM,3.0,L,1,9
8,9,12,2009-04-17,SLN,CHC,6-7,H(1),99,2.0,2,1,1,1,3,0,0,4.5,9,33,21,5,6,2,3,1,0,0,,0.0,0.0,0,0,0,8,1,0,0,0,0,0,1.86,0.057,2.45,0.05%,0.07,6b --- 0 out a1,7b 3 out a1,,CHC,1.5,L,7,8
9,10,18,2009-04-25,SLN,CHC,GS-6,W(1-0),7,5.2,6,1,0,1,3,0,0,1.17,25,99,59,13,11,10,11,4,2,0,57.0,,,0,0,0,24,0,0,0,0,0,1,1.06,0.192,1.43,0.16%,1.5,1t start tie,6t 12- 2 out a2,,STL,1.346153846153846,W,8,2
10,11,23,2009-04-30,SLN,WSN,GS-6,,4,6.0,6,4,4,2,9,1,2,3.29,27,100,60,16,12,7,7,1,1,0,51.0,,,0,1,1,23,1,1,0,0,0,0,1.13,-0.222,1.45,-0.17%,-1.04,1b start a 2,6b 3 out d1,,WSN,1.3333333333333333,W,9,4
