,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,3,2016-04-06,SLN,PIT,7-GF(8),,99,2.0,1,0,0,1,2,0,0,0.0,8,28,18,9,3,4,1,1,0,0,,0,0,0,0,0,7,0,0,0,1,0,1,0.11,0.009000000000000001,0.1,0.01%,0.98,7b --- 0 out d4,8b end d 4,,PIT,1.0,L,1,5,,
1,2,7,2016-04-11,SLN,MIL,7-8,,4,2.0,2,1,1,1,1,1,1,2.25,10,34,20,8,4,3,4,1,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,0.03,0.001,0.03,0.00%,-0.03,7t --- 0 out a9,8t 3 out a9,,STL,1.5,W,10,1,,
2,3,10,2016-04-15,SLN,CIN,9-GF,,3,1.0,0,0,0,0,0,0,0,1.8,3,10,7,1,2,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.49,9t --- 0 out a11,9t end a11,,STL,0.0,W,14,3,,
3,4,12,2016-04-17,SLN,CIN,7-7,,1,0.2,1,0,0,0,0,0,0,1.59,3,11,9,2,1,2,1,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,1.15,0.025,1.24,0.02%,0.17,7t --- 0 out tie,7t -2- 2 out tie,,STL,5.0,W,4,3,,
4,5,14,2016-04-19,SLN,CHC,9-GF,,1,1.0,0,0,0,0,2,0,0,1.35,3,10,9,3,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.49,0.036000000000000004,0.56,0.03%,0.49,9t --- 0 out d1,9t end d 1,,STL,0.0,L,1,2,,
5,6,17,2016-04-23,SLN,SDP,9-GF,,3,1.0,1,0,0,0,0,0,0,1.17,4,7,6,1,0,2,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.47,9b --- 0 out a9,9b end a 9,,SDP,1.0,W,11,2,,
6,7,19,2016-04-25,SLN,ARI,6-6,HL(0-1),1,0.1,2,2,2,0,1,0,0,3.38,3,12,7,3,1,2,0,0,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,2.48,-0.071,2.46,-0.04%,-0.49,6b --3 0 out a2,6b 12- 1 out a1,,ARI,20.0,L,7,12,,
7,8,21,2016-04-27,SLN,ARI,9-GF,,1,1.0,2,0,0,0,2,0,0,3.0,5,13,11,4,3,2,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.05,0.002,0.05,0.00%,0.53,9b --- 0 out a7,9b end a 7,,ARI,2.0,W,11,4,,
8,9,23,2016-04-29,SLN,WSN,8-8,,1,1.0,0,0,0,1,0,0,0,2.7,3,17,5,2,1,2,0,0,0,0,,0,0,0,1,0,2,0,0,0,0,0,0,0.19,0.013999999999999999,0.19,0.01%,0.49,8t --- 0 out d3,8t 3 out d3,,STL,1.0,L,4,5,,
9,10,28,2016-05-04,SLN,PHI,6-7,,4,2.0,0,0,0,0,2,0,0,2.25,6,21,15,1,4,3,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0.71,0.107,0.6,0.05%,0.97,6t --- 0 out d1,7t 3 out d1,,STL,0.0,W,5,4,,
10,11,32,2016-05-08,SLN,PIT,7-7,,3,0.0,3,4,4,1,0,1,0,5.25,4,20,12,3,2,0,3,3,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,0.68,-0.162,0.65,-0.09%,-4.0,7t --- 0 out d2,7t --- 0 out d6,,STL,inf,L,5,10,,
11,12,36,2016-05-13,SLN,LAD,5-5,,4,1.0,2,1,0,0,2,0,0,4.85,6,20,14,5,2,4,0,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,1,0.47,-0.034,0.46,-0.02%,-0.52,5b --- 0 out d3,5b 3 out d4,,LAD,2.0,L,4,8,,
12,13,39,2016-05-17,SLN,COL,6-7,,3,2.0,1,0,0,0,2,0,0,4.2,7,29,19,6,3,3,2,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,0.35,0.043,0.33,0.03%,0.97,6t --- 0 out d3,7t 3 out d3,,STL,0.5,L,1,3,,
13,14,42,2016-05-20,SLN,ARI,6-7,,2,2.0,1,0,0,0,2,0,0,3.71,7,35,22,5,3,5,0,0,0,0,,0,0,1,0,0,7,0,0,0,0,0,0,0.38,0.043,0.37,0.03%,0.97,6t --- 0 out d3,7t 3 out d3,,STL,0.5,L,7,11,,
14,15,44,2016-05-22,SLN,ARI,3-6,,1,3.2,3,2,2,1,0,0,0,3.92,15,50,36,10,3,9,5,3,1,0,,1,1,0,0,0,13,0,0,0,0,1,0,0.28,-0.027999999999999997,0.28,-0.02%,-0.61,3t --3 1 out d4,6t 3 out d6,,STL,1.25,L,2,7,,
15,16,49,2016-05-27,SLN,WSN,9-GF,,4,1.0,1,0,0,0,1,0,0,3.74,4,20,13,4,2,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.54,0.019,0.42,0.01%,0.51,9b --- 0 out a4,9b end a 4,,WSN,1.0,W,6,2,,
16,17,54,2016-06-01,SLN,MIL,6-7,,4,2.0,1,1,1,0,1,1,0,3.8,7,21,15,3,3,2,4,1,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,0.26,-0.036000000000000004,0.25,-0.02%,0.01,6b --- 0 out d2,7b 3 out d3,,MIL,0.5,L,1,3,,
17,18,59,2016-06-08,SLN,CIN,5-5,W(1-1),6,0.1,0,0,0,0,1,0,0,3.75,1,4,3,2,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.77,0.05,1.49,0.03%,0.32,5b -2- 2 out a1,5b 3 out a1,,CIN,0.0,W,12,7,,
18,19,61,2016-06-10,SLN,PIT,12-GF(12),,1,1.0,1,0,0,0,0,0,0,3.6,3,13,8,4,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,0.12,0.003,0.12,0.00%,0.49,12b --- 0 out a6,12b end a 6,,PIT,1.0,W,9,3,,
19,20,64,2016-06-14,SLN,HOU,8-8,,3,1.0,0,0,0,0,1,0,0,3.46,3,7,6,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.19,0.013999999999999999,0.2,0.01%,0.49,8t --- 0 out d3,8t 3 out d3,,STL,0.0,L,2,5,,
20,21,68,2016-06-19,SLN,TEX,7-8,BL(1-2),4,1.2,2,2,2,1,1,0,0,3.9,9,37,19,5,3,5,2,2,0,0,,0,0,0,0,0,8,1,0,1,0,0,0,2.5,-0.41100000000000003,2.1,-0.21%,-1.52,7t --- 0 out a1,8t 1-3 2 out d1,,STL,2.5,L,4,5,,
21,22,74,2016-06-26,SLN,SEA,9-GF,,6,1.0,0,0,0,1,0,0,0,3.77,4,21,11,2,1,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.15,0.006999999999999999,0.15,0.00%,0.49,9b --- 0 out a5,9b end a 5,,SEA,1.0,W,11,6,,
22,23,77,2016-06-29,SLN,KCR,9-9,,2,1.0,0,0,0,0,1,0,0,3.64,3,11,6,3,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.49,0.036000000000000004,0.47,0.02%,0.49,9t --- 0 out d1,9t 3 out d1,,STL,0.0,L,2,3,,
23,24,79,2016-07-01,SLN,MIL,9-GF,,1,1.0,0,0,0,0,0,0,0,3.52,3,8,5,2,0,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.03,0.002,0.03,0.00%,0.49,9t --- 0 out a6,9t end a 6,,STL,0.0,W,7,1,,
24,25,81,2016-07-03,SLN,MIL,7-7,H(2),1,1.0,0,0,0,0,0,0,0,3.41,3,19,11,3,0,2,1,1,0,0,,3,1,0,0,0,3,0,0,0,0,0,0,1.59,0.10099999999999999,1.65,0.06%,1.32,7t 123 0 out a5,7t 3 out a4,,STL,0.0,W,9,8,,
25,26,84,2016-07-06,SLN,PIT,6-6,H(3),2,1.0,2,0,0,0,1,0,0,3.31,5,17,13,6,0,1,3,2,1,0,,2,2,0,0,0,5,0,0,0,0,0,0,2.63,-0.016,2.85,-0.01%,-0.53,6t 12- 0 out a3,6t 3 out a1,,STL,2.0,L,5,7,,
26,27,86,2016-07-08,SLN,MIL,7-8,,1,1.1,0,0,0,0,0,0,0,3.18,4,12,7,2,1,2,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.16,0.11800000000000001,1.2,0.07%,0.61,7b --- 2 out d1,8b 3 out tie,,MIL,0.0,L,3,4,,
27,28,87,2016-07-09,SLN,MIL,8-8,H(4),0,0.2,0,0,0,0,0,0,0,3.12,1,7,5,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,1,0,0,4.11,0.17800000000000002,3.95,0.10%,0.92,8b 12- 1 out a2,8b 3 out a2,,MIL,0.0,W,8,1,,
28,29,91,2016-07-17,SLN,MIA,5-6,,7,2.0,2,0,0,0,2,0,0,2.95,8,22,15,6,1,3,4,2,0,0,,1,0,0,0,0,8,1,0,0,0,0,0,1.08,0.11800000000000001,1.2,0.08%,1.35,5t 1-- 0 out d2,6t 3 out d1,,STL,1.0,L,3,6,,
29,30,92,2016-07-18,SLN,SDP,7-7,,0,1.0,1,1,1,1,2,0,0,3.11,5,18,11,3,1,1,0,0,0,1,,0,0,0,0,0,4,1,0,0,0,0,0,0.68,0.002,0.65,0.00%,-0.52,7t --- 0 out a5,7t 3 out a4,,STL,2.0,W,10,2,,
30,31,95,2016-07-21,SLN,SDP,7-7,,2,0.1,2,2,1,1,0,0,0,3.32,5,19,11,3,0,1,3,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,1,1.03,-0.214,1.15,-0.14%,-2.41,7t --- 0 out d1,7t 12- 1 out d3,,STL,30.0,W,6,5,,
31,32,96,2016-07-22,SLN,LAD,10-11,,0,1.1,0,0,0,0,2,0,0,3.2,4,17,9,1,1,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.92,0.192,2.57,0.16%,0.72,10t --- 0 out tie,11t --- 1 out tie,,STL,0.0,W,4,3,,
32,33,98,2016-07-24,SLN,LAD,7-8,,1,2.0,0,0,0,1,0,0,0,3.05,6,25,13,2,2,4,1,0,0,0,,3,0,0,0,0,5,0,0,0,1,0,0,0.18,0.026000000000000002,0.23,0.02%,2.81,7t 123 0 out d6,8t 3 out d3,,STL,0.5,L,6,9,,
33,34,100,2016-07-26,SLN,NYM,6-6,,1,1.0,1,0,0,2,2,0,0,2.98,6,30,15,5,6,0,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.94,0.027000000000000003,1.25,0.02%,0.48,6b --- 0 out d2,6b 3 out d2,2.0,NYM,3.0,L,1,3,,
