Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,130,2015-08-30,ARI,OAK,9-9,,99,1.0,1,0,0,1,1,0,0,0.00,5,21,12,3,0,2,1,0,0,0,,0,0,0,0,0,4,0,0,1,0,0,0,.91,0.037,.12,0.00%,0.49,9t --- 0 out d1,9t 3 out d1,,ARI,2.0,L,4,7,,
2,132,2015-09-01,ARI,COL,7-7,,1,0.1,0,0,0,1,1,0,0,0.00,2,11,6,1,4,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.41,0.007,.09,0.00%,0.10,7b 1-- 1 out a4,7b 12- 2 out a4,1,COL,10.0,W,6,4,,
3,134,2015-09-02,ARI,COL,7-7,,0,1.0,2,0,0,0,0,0,0,0.00,5,18,12,0,1,1,4,4,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.25,0.015,.03,0.00%,0.55,7b --- 0 out d3,7b 3 out d3,,COL,2.0,L,4,9,,
4,135,2015-09-04,ARI,CHC,5-6,,1,1.1,1,1,1,0,3,1,0,2.45,5,27,19,3,8,0,2,0,0,0,,1,1,0,0,0,5,0,0,0,0,0,0,.00,-0.001,.00,0.00%,-1.33,5b 1-- 2 out d10,6b 3 out d12,,CHC,0.9090909090909091,L,5,14,,
5,137,2015-09-06,ARI,CHC,6-6,,1,1.0,1,1,1,0,2,1,0,3.86,4,15,9,2,2,0,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.09,-0.016,.00,0.00%,-0.55,6b --- 0 out d4,6b 3 out d5,,CHC,1.0,L,4,6,,
6,139,2015-09-08,ARI,SFG,3-3,,1,0.2,1,0,0,0,1,0,0,3.38,3,14,10,2,2,1,1,1,0,0,,1,1,0,0,0,3,1,0,0,0,0,0,.47,-0.028,.00,0.00%,-0.45,3t 1-- 0 out d4,3t -2- 2 out d5,,ARI,5.0,L,2,6,,
7,143,2015-09-13,ARI,LAD,9-GF,,4,1.0,1,0,0,2,1,0,0,2.84,6,26,16,6,2,1,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.06,0.003,.00,0.00%,0.49,9t --- 0 out d4,9t end d 4,,ARI,3.0,L,3,4,,
8,149,2015-09-20,ARI,SFG,6-7,,6,1.0,1,0,0,0,2,0,0,2.45,4,14,10,4,2,0,2,1,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,.07,0.003,.00,0.00%,0.25,6b --- 2 out d4,7b -2- 2 out d4,,SFG,1.0,L,1,5,,
9,153,2015-09-24,ARI,LAD,6-7,,3,1.1,1,0,0,0,2,0,1,2.08,6,25,18,2,5,0,3,1,1,0,,1,0,0,0,0,5,0,0,0,0,0,0,.30,0.022,.00,0.00%,0.78,6b --3 2 out d3,7b 3 out d3,,LAD,0.9090909090909091,L,3,6,,
10,155,2015-09-26,ARI,SDP,8-GF(8),,1,0.2,0,0,0,0,1,0,0,1.93,2,11,6,2,2,1,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.23,0.012,.00,0.00%,0.90,8b --3 1 out d3,8b end d 3,,SDP,0.0,L,0,3,,
