Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,84,2016-07-05,PIT,STL,GS-4,,99,4.0,4,2,1,2,5,0,0,2.25,18,82,51,15,11,3,8,4,2,0,51,,,1,0,0,16,0,0,0,0,0,1,.82,-0.051,.72,-0.03%,-0.06,1b start tie,4b 3 out d2,,STL,1.5,W,5,2,,
2,101,2016-07-29,PIT,MIL,GS-6,L(0-1),23,6.0,7,3,3,3,3,1,0,3.60,27,106,58,19,6,9,12,6,1,0,46,,,1,0,0,22,3,0,0,1,0,0,.78,-0.063,.73,-0.04%,0.03,1b start tie,6b 3 out d3,,MIL,1.6666666666666667,L,1,3,,
3,129,2016-08-29,PIT,CHC,GS-4,,30,4.0,5,3,2,2,4,0,1,3.86,21,92,56,14,6,7,7,4,0,0,44,,,0,0,0,18,1,0,0,0,0,1,1.09,-0.127,1.20,-0.08%,-1.00,1b start tie,4b 3 out d2,,CHC,1.75,L,7,8,,
4,134,2016-09-04,PIT,MIL,GS-5,L(0-2),5,5.0,4,1,1,3,5,1,0,3.32,21,84,47,10,11,3,10,7,0,0,57,,,1,1,0,18,2,0,0,0,0,1,.87,0.136,.70,0.07%,1.46,1t start tie,5t 3 out d1,,PIT,1.4,L,0,10,,
5,139,2016-09-09,PIT,CIN,GS-5,,4,5.0,5,2,2,2,2,0,1,3.38,22,76,45,8,8,6,11,3,1,0,49,,,0,0,0,18,2,0,1,1,0,0,1.09,0.005,.53,0.00%,0.46,1t start tie,5t 3 out d1,,PIT,1.4,L,3,4,,
6,144,2016-09-14,PIT,PHI,GS-4,L(0-3),4,3.2,9,5,3,0,3,1,0,3.90,21,62,39,7,5,12,6,5,0,0,30,,,0,0,0,21,2,0,0,0,0,1,.88,-0.301,.07,-0.02%,-3.35,1b start tie,4b -2- 2 out d3,,PHI,2.8125,L,2,6,,
7,150,2016-09-20,PIT,MIL,GS-5,,5,4.0,5,3,3,2,4,1,0,4.26,20,88,53,14,11,9,5,4,0,0,42,,,1,0,0,18,1,0,0,0,0,1,.94,-0.152,.18,-0.02%,-1.33,1b start a 2,5b 1-3 0 out a3,,MIL,1.75,W,6,3,,
8,156,2016-09-26,PIT,CHC,6-7,,5,1.2,6,7,3,3,3,1,0,4.86,16,72,40,10,9,7,3,2,0,0,,0,0,0,0,0,13,1,0,0,0,0,1,.06,-0.043,.00,0.00%,-6.78,6t --- 0 out d5,7t 123 2 out d12,,PIT,7.5,L,2,12,,
9,98,2017-07-22,PIT,COL,8-GF(8),,99,1.0,2,2,2,1,0,0,0,18.00,6,28,17,1,1,2,3,2,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.16,-0.024,.20,-0.02%,-1.40,8b --- 0 out d3,8b end d 5,,COL,3.0,L,3,7,,
10,101,2017-07-25,PIT,SFG,5-7,,2,3.0,2,0,0,1,2,0,0,4.50,12,60,32,6,5,5,4,3,1,0,,0,0,0,0,0,11,1,0,0,1,0,1,.01,0.001,.01,0.00%,1.52,5b --- 0 out d9,7b 3 out d9,,SFG,1.0,L,3,11,,
