,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,147,2002-09-13,TBA,TOR,GS-6,L(0-1),99,6.0,5,5,5,3,3,2,2,7.5,23,70,44,10,9,3,12,6,0,0,42.0,,,0,0,0,18,1,0,0,1,0,0,0.68,-0.184,0.0,0.00%,-1.61,1b start tie,6b 3 out d4,,TOR,1.3333333333333333,L,2,5
1,2,152,2002-09-19,TBA,NYY,GS-7,,5,7.0,7,2,2,3,2,1,0,4.85,28,99,60,11,6,11,12,4,2,0,54.0,,,0,0,0,25,1,0,0,3,0,0,1.02,0.14400000000000002,0.0,0.00%,1.69,1t start tie,7t 3 out d1,,TBD,1.4285714285714286,W,3,2
2,3,30,2003-05-03,TBA,DET,GS-6,,99,5.2,6,3,3,1,4,2,0,4.76,24,95,60,15,6,10,9,3,1,0,48.0,,,0,0,0,23,0,0,0,0,0,0,0.91,0.024,0.37,0.01%,-0.19,1b start tie,6b 1-- 2 out a2,,DET,1.346153846153846,W,8,6
3,4,34,2003-05-08,TBA,MIN,GS-7,L(0-1),4,7.0,7,4,3,2,3,0,0,4.26,28,101,60,13,13,12,11,2,2,0,50.0,,,0,0,0,26,2,0,0,2,0,1,0.73,-0.11599999999999999,0.24,-0.02%,-0.38,1t start tie,7t 3 out d4,,TBD,1.2857142857142858,L,0,5
4,5,39,2003-05-14,TBA,TOR,GS-5,L(0-2),5,5.0,7,5,5,1,3,2,1,5.6,24,91,55,12,11,5,14,3,1,0,35.0,,,0,0,0,22,2,1,0,0,0,0,0.87,-0.217,0.33,-0.05%,-2.17,1b start tie,5b 3 out d4,,TOR,1.6,L,6,7
5,6,44,2003-05-20,TBA,TEX,GS-7,L(0-3),5,6.2,6,5,5,3,1,2,0,5.92,27,112,72,17,3,14,9,3,1,0,40.0,,,0,0,0,23,1,0,0,2,1,0,0.59,-0.179,0.25,-0.05%,-0.9,1b start tie,7b --- 2 out d3,,TEX,1.4516129032258065,L,2,5
6,7,49,2003-05-25,TBA,ANA,GS-5,L(0-4),4,5.0,5,5,3,2,7,0,1,5.83,23,91,54,15,11,8,5,1,0,0,46.0,,,2,0,0,19,2,1,1,1,0,1,0.96,-0.172,0.29,-0.03%,-2.33,1b start tie,5b 3 out d5,,ANA,1.4,L,1,6
7,8,53,2003-05-30,TBA,ANA,GS-6,W(1-4),4,6.0,3,4,4,3,2,1,1,5.86,25,89,50,13,6,12,7,1,0,0,49.0,,,0,0,0,21,1,0,0,0,0,0,0.97,-0.14300000000000002,0.19,-0.02%,-0.89,1t start tie,6t 3 out d2,,TBD,1.0,W,8,6
8,9,58,2003-06-05,TBA,CHC,GS-3,L(1-5),5,2.1,8,8,3,0,1,0,0,6.21,16,42,31,7,2,7,8,5,1,0,20.0,,,0,0,0,16,3,1,0,1,0,2,0.75,-0.316,0.11,-0.03%,-6.13,1b start tie,3b -2- 1 out d7,,CHC,3.809523809523809,L,1,8
9,10,63,2003-06-11,TBA,CIN,GS-6,,5,5.0,6,6,6,5,1,1,0,6.75,26,88,50,9,3,10,10,2,1,0,27.0,,,0,0,0,20,2,0,0,0,1,0,0.95,-0.27,0.05,-0.01%,-3.8,1t start tie,6t 1-- 0 out tie,,TBD,2.2,L,6,7
10,11,69,2003-06-17,TBA,NYY,GS-5,L(1-6),5,4.2,7,6,2,2,1,0,0,6.46,23,69,41,6,7,9,11,7,2,0,33.0,,,1,0,0,21,2,0,0,1,0,1,0.97,-0.272,0.02,0.00%,-3.67,1b start tie,5b -2- 2 out d5,2.0,NYY,2.142857142857143,L,2,10
11,12,75,2003-06-24,TBA,NYY,GS-2,,6,1.0,2,3,3,4,1,1,0,6.89,9,44,21,8,1,2,2,0,0,0,34.0,,,0,0,0,4,0,0,0,0,0,0,1.46,-0.19,0.0,0.00%,-1.87,1t start tie,2t 1-- 0 out d1,,TBD,6.0,L,9,10
12,13,55,2004-06-08,TBA,SFG,3-7,,99,4.2,2,1,0,3,2,0,0,0.0,19,67,37,9,4,4,10,2,5,0,,0.0,0.0,0,1,0,16,0,0,0,0,0,1,0.3,0.079,0.05,0.01%,1.9,3t --- 0 out d4,7t 123 2 out d4,,TBD,1.1904761904761905,L,3,7
13,14,60,2004-06-13,TBA,COL,GS-7,,4,7.0,7,2,2,2,4,0,0,1.54,29,108,70,13,11,7,16,6,3,0,57.0,,,0,0,0,27,2,0,0,0,0,0,1.25,0.217,0.26,0.03%,1.77,1t start tie,7t 3 out tie,,TBD,1.2857142857142858,W,3,2
14,15,65,2004-06-19,TBA,ARI,GS-3,,5,2.0,7,4,4,2,0,0,0,3.95,15,59,41,3,3,3,10,5,2,0,24.0,,,0,0,0,13,2,0,0,0,0,0,0.96,-0.353,0.45,-0.10%,-3.92,1b start tie,3b 12- 0 out a3,,ARI,4.5,W,11,4
15,16,70,2004-06-25,TBA,FLA,GS-8,W(1-0),5,7.2,1,0,0,6,5,0,1,2.53,31,125,76,25,7,11,8,1,3,0,76.0,,,0,0,0,24,1,0,0,0,0,0,1.03,0.475,0.74,0.20%,3.98,1t start tie,8t -2- 2 out a2,,TBD,0.9722222222222222,W,2,0
16,17,75,2004-06-30,TBA,TOR,GS-5,W(2-0),4,5.0,5,0,0,2,2,0,0,2.05,22,91,56,14,4,8,10,3,3,0,57.0,,,0,0,0,20,1,0,0,0,0,0,0.96,0.24600000000000002,0.69,0.11%,2.7,1t start tie,5t 3 out a5,,TBD,1.4,W,6,2
17,18,80,2004-07-05,TBA,BAL,GS-7,L(2-1),4,6.2,8,4,4,0,5,0,1,2.73,27,116,72,14,14,13,8,5,0,0,47.0,,,1,0,0,26,5,0,0,2,0,0,1.17,-0.182,1.21,-0.11%,-0.49,1b start tie,7b -2- 2 out d2,1.0,BAL,1.2903225806451613,L,2,4
18,19,86,2004-07-10,TBA,NYY,GS-7,L(2-2),4,6.1,4,4,4,5,3,1,0,3.2,26,102,55,16,11,11,7,1,1,0,47.0,,,1,0,0,21,0,0,0,2,0,0,1.12,0.023,0.87,0.01%,0.62,1b start a 2,7b 1-3 1 out tie,,NYY,1.475409836065574,L,3,6
19,20,90,2004-07-17,TBA,BAL,GS-5,L(2-3),6,4.2,5,3,2,4,2,0,0,3.27,22,86,47,12,4,6,10,3,1,0,42.0,,,0,1,0,17,4,0,0,0,1,0,1.17,-0.126,0.52,-0.03%,-0.83,1t start tie,5t 1-3 2 out d2,,TBD,2.142857142857143,L,2,3
