,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,130,2005-08-26,ARI,PHI,8-8,,99,0.2,4,3,3,0,1,0,0,40.5,6,34,23,8,1,0,5,2,1,0,,0,0,0,0,0,6,0,2,0,0,0,0,0.06,-0.016,0.03,-0.01%,-2.85,8t --- 0 out d5,8t --3 2 out d8,,ARI,20.0,L,3,11
1,2,135,2005-08-31,ARI,SDP,8-GF(8),,4,1.0,1,0,0,1,1,0,0,16.2,5,23,9,2,1,0,3,0,1,0,,0,0,0,0,0,4,1,0,1,0,0,0,0.07,0.002,0.09,0.00%,0.46,8b --- 0 out d4,8b end d 4,,SDP,2.0,L,5,9
2,3,137,2005-09-03,ARI,SFG,9-GF,,2,1.0,1,0,0,1,1,0,0,10.13,5,18,10,3,1,0,3,1,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.01,0.001,0.0,0.00%,0.52,9t --- 0 out d6,9t end d 6,,ARI,2.0,L,4,9
3,4,142,2005-09-09,ARI,COL,9-GF,,5,0.1,0,0,0,1,1,0,0,9.0,2,8,4,1,2,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.05,0.001,0.01,0.00%,0.26,9b 1-- 2 out a6,9b end a 6,,COL,10.0,W,7,1
4,5,144,2005-09-11,ARI,COL,8-GF(8),,1,1.0,2,0,0,0,0,0,0,6.75,5,12,9,2,0,2,3,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.01,0.001,0.0,0.00%,0.57,8b --- 0 out d6,8b end d 6,,COL,2.0,L,2,7
5,6,147,2005-09-15,ARI,MIL,6-7,,3,2.0,3,2,2,0,3,1,0,7.5,9,33,25,9,5,3,3,2,0,0,,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,-0.96,6t --- 0 out d12,7t 3 out d12,,ARI,1.5,L,2,14
6,7,150,2005-09-18,ARI,COL,8-9,,2,1.0,1,1,1,1,1,0,0,7.71,5,19,8,2,1,0,3,0,1,0,,2,0,0,0,0,4,1,0,0,0,0,0,0.06,0.0,0.01,0.00%,-0.36,8t 12- 2 out d5,9t -2- 2 out d6,,ARI,2.0,L,1,7
7,8,153,2005-09-22,ARI,LAD,12-GF(12),W(1-0),3,1.0,0,0,0,0,1,0,0,6.75,3,10,6,2,1,0,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.84,0.142,0.03,0.00%,0.52,12t --- 0 out tie,12t end tie,,ARI,0.0,W,7,4
8,9,155,2005-09-24,ARI,SDP,5-6,,1,2.0,2,0,0,1,0,0,0,5.4,8,30,16,4,1,6,1,1,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,0.97,0.081,0.0,0.00%,1.05,5t --- 0 out d2,6t 3 out d2,,ARI,1.5,W,8,5
9,10,43,2006-05-20,ANA,LAD,8-8,,99,0.2,1,3,3,3,1,0,0,40.5,6,28,13,7,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.7,-0.107,0.45,-0.04%,-1.92,8b --- 0 out d1,8b 12- 2 out d3,,LAD,20.0,L,4,8
