Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,99,2017-07-27,CHW,CHC,8-8,,99,1.0,1,1,1,0,1,1,0,9.00,4,11,7,2,1,1,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.21,-0.027,.01,0.00%,-0.49,8t --- 0 out d3,8t 3 out d4,,CHW,1.0,L,3,6,,
2,101,2017-07-29,CHW,CLE,8-9,L(0-1),1,1.0,1,1,1,1,1,0,0,9.00,5,21,13,5,2,1,2,1,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,2.34,0.132,.02,0.00%,0.58,8t 1-3 2 out tie,9t 12- 2 out tie,,CHW,2.0,L,4,5,,
3,106,2017-08-03,CHW,BOS,7-7,,4,1.0,1,0,0,1,1,0,0,6.00,4,13,6,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,0.008,.00,0.00%,0.56,7b --- 0 out d4,7b 3 out d4,,BOS,2.0,L,5,9,,
4,107,2017-08-04,CHW,BOS,11-GF(11),L(0-2),0,0.2,1,1,1,0,0,1,0,7.36,3,13,9,2,2,0,3,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.89,-0.352,.00,0.00%,-0.56,11b --- 0 out tie,11b end d 1,,BOS,5.0,L,2,3,,
5,109,2017-08-06,CHW,BOS,8-GF(8),,1,1.0,0,0,0,0,2,0,0,5.79,3,13,7,4,1,0,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.10,0.008,.00,0.00%,0.56,8b --- 0 out d3,8b end d 3,,BOS,0.0,L,3,6,,
6,110,2017-08-08,CHW,HOU,7-8,H(1),1,1.0,0,0,0,1,0,0,1,4.76,4,16,8,3,2,0,2,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.10,0.020,.00,0.00%,0.25,7t --- 1 out a3,8t 1-- 1 out a3,,CHW,1.0,W,8,5,,
7,113,2017-08-11,CHW,KCR,7-8,W(1-2),2,2.0,1,0,0,0,2,0,0,3.52,7,25,16,3,4,3,2,1,1,0,,0,0,0,0,0,7,1,0,0,0,0,0,.68,0.113,.00,0.00%,1.03,7t --- 0 out tie,8t 3 out a4,,CHW,0.5,W,6,3,,
8,114,2017-08-12,CHW,KCR,8-8,BL(1-3),0,1.0,1,1,1,0,0,1,0,4.15,4,20,11,3,1,2,2,1,0,0,,1,1,0,0,0,4,0,0,0,0,0,0,1.92,-0.350,.01,0.00%,-1.10,8t 1-- 0 out a1,8t 3 out d1,,CHW,1.0,L,4,5,,
9,116,2017-08-15,CHW,LAD,8-8,,2,0.1,0,2,2,2,0,0,0,6.00,3,13,4,2,0,1,0,0,0,0,,1,0,1,0,0,1,0,0,0,0,0,0,2.80,-0.105,.00,0.00%,-0.69,8b 1-- 0 out tie,8b 123 1 out tie,,LAD,20.0,L,1,6,,
10,117,2017-08-16,CHW,LAD,9-9,,0,0.0,1,1,1,0,0,0,0,7.00,1,5,3,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.18,-0.061,.00,0.00%,-0.26,9b --- 1 out a2,9b 1-- 1 out a2,,LAD,inf,L,4,5,,
