Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,18,2005-04-23,KCR,CHW,9-9,,99,1.0,1,0,0,0,1,0,0,0.00,4,13,9,1,2,2,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.97,0.142,1.40,0.06%,0.52,9t --- 0 out tie,9t 3 out tie,,KCR,1.0,L,2,3
2,20,2005-04-26,KCR,MIN,9-GF,L(0-1),2,0.2,2,1,1,2,0,0,0,5.40,6,25,14,7,1,2,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,2.98,-0.353,1.56,-0.11%,-0.72,9t --- 1 out tie,9t end d 1,,KCR,20.0,L,1,2
3,22,2005-04-28,KCR,MIN,9-9,,1,1.0,0,0,0,0,0,0,0,3.38,3,15,9,1,1,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.53,0.040,.20,0.01%,0.52,9t --- 0 out d1,9t 3 out d1,,KCR,0.0,L,5,6
4,25,2005-05-01,KCR,CLE,9-GF,S(1),2,1.0,0,0,0,0,1,0,0,2.45,3,14,8,2,0,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.66,0.202,.87,0.04%,0.51,9b --- 0 out a1,9b end a 1,,CLE,0.0,W,6,5
5,28,2005-05-05,KCR,CHW,8-GF(8),,3,0.1,0,0,0,1,1,0,0,2.25,2,7,3,1,2,0,0,0,0,0,,3,1,0,0,0,1,0,0,0,0,0,0,3.50,-0.192,1.07,-0.04%,-0.20,8b 123 2 out tie,8b end d 1,,CHW,10.0,L,1,2
6,31,2005-05-08,KCR,BAL,7-GF,W(1-1),2,2.2,0,0,0,0,4,0,0,1.35,8,33,22,6,5,2,2,0,0,0,,3,0,0,0,0,8,0,0,0,0,0,0,2.23,0.476,.35,0.05%,2.64,7b 123 1 out tie,9b end a 2,,BAL,0.0,W,10,8
7,34,2005-05-11,KCR,TOR,8-8,BL(1-2),2,0.1,5,5,4,0,0,1,0,6.43,8,21,15,4,1,6,2,0,0,0,,0,0,0,0,0,7,2,0,0,0,0,1,2.37,-0.808,.27,-0.06%,-5.91,8b --- 0 out a2,8b -23 1 out d3,,TOR,50.0,L,9,12
8,36,2005-05-13,KCR,TBD,9-GF,L(1-3),1,1.0,2,1,1,0,2,1,0,6.75,4,12,10,2,3,1,1,0,0,0,,0,0,0,1,0,4,0,0,0,0,0,0,1.31,-0.293,.13,-0.02%,-0.48,9t --- 0 out tie,9t end d 1,,KCR,2.0,L,2,3
9,38,2005-05-15,KCR,TBD,9-9,H(1),1,0.2,0,2,2,2,2,0,0,8.31,5,28,15,3,5,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.60,-0.045,.06,0.00%,-0.27,9t --- 0 out a3,9t 123 2 out a3,,KCR,10.0,W,4,3
10,40,2005-05-18,KCR,BAL,9-GF,,2,1.0,0,0,0,1,1,0,0,7.45,4,17,9,0,1,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.15,0.009,.02,0.00%,0.52,9t --- 0 out d3,9t end d 3,,KCR,1.0,L,4,7
11,42,2005-05-20,KCR,STL,6-7,,1,2.0,2,0,0,1,1,0,0,6.17,8,30,17,4,1,5,1,0,0,0,,0,0,0,0,0,7,0,0,0,1,0,0,.74,0.076,.07,0.00%,1.05,6t --- 0 out d2,7t 3 out d2,,KCR,1.5,L,6,7
12,45,2005-05-24,KCR,TEX,8-GF(8),,3,1.0,0,0,0,0,2,0,0,5.68,3,14,8,1,4,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.21,0.017,.02,0.00%,0.56,8b --- 0 out d2,8b end d 2,,TEX,0.0,L,3,4
13,48,2005-05-27,KCR,LAA,7-8,H(2),2,1.0,3,2,2,0,0,0,0,6.59,6,14,10,3,0,3,3,1,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,1.03,-0.131,.03,0.00%,-1.11,7b --- 0 out a3,8b -2- 0 out a2,,LAA,3.0,L,8,9
14,49,2005-05-28,KCR,LAA,8-GF(8),,0,1.0,1,1,1,1,0,1,0,6.75,5,17,11,2,2,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,.00,0.00%,-0.48,8b --- 0 out d12,8b end d13,,LAA,2.0,L,1,14
15,53,2005-06-02,KCR,NYY,9-GF,S(2),4,1.0,1,0,0,1,2,0,1,6.32,6,24,13,3,2,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.35,0.035,.03,0.00%,0.52,9t --- 0 out a3,9t end a 3,,KCR,2.0,W,5,2
16,55,2005-06-04,KCR,TEX,8-GF,,1,1.2,2,1,1,1,2,1,0,6.23,8,37,22,3,5,2,3,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.07,-0.017,.00,0.00%,-0.20,8t --- 1 out d4,9t end d 5,,KCR,2.5,L,9,14
17,59,2005-06-09,KCR,SFG,8-GF(8),,4,1.0,2,0,0,0,1,0,0,5.89,5,13,10,3,2,1,3,2,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.35,0.015,.01,0.00%,0.51,8b --- 0 out d2,8b end d 2,,SFG,2.0,L,7,9
18,60,2005-06-10,KCR,ARI,8-9,,0,2.0,1,0,0,1,2,0,0,5.31,8,34,20,5,6,4,1,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.86,0.157,.01,0.00%,1.05,8b --- 0 out d2,9b 3 out tie,,ARI,1.0,L,11,12
19,62,2005-06-12,KCR,ARI,8-9,,1,2.0,2,0,0,0,3,0,0,4.84,8,28,17,6,4,3,2,1,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,2.27,0.251,.04,0.00%,1.05,8b --- 0 out tie,9b 3 out tie,,ARI,1.0,W,9,4
20,63,2005-06-14,KCR,LAD,8-8,H(3),1,1.0,0,0,0,0,3,0,1,4.63,4,18,14,2,6,0,0,0,0,0,,1,0,0,0,0,3,0,0,0,0,0,0,3.76,0.210,.08,0.00%,0.91,8t 1-- 0 out a1,8t 3 out a1,,KCR,0.0,W,3,2
21,65,2005-06-16,KCR,LAD,8-8,,1,1.0,1,0,0,0,0,0,0,4.44,3,9,6,3,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.17,0.006,.00,0.00%,0.52,8t --- 0 out a6,8t 3 out a6,,KCR,1.0,W,9,6
