,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,21,2015-04-29,ARI,COL,9-GF,,99,1.0,0,0,0,0,0,0,0,0.0,3,8,6,2,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.49,9t --- 0 out a8,9t end a 8,,ARI,0.0,W,9,1
1,2,22,2015-05-01,ARI,LAD,8-GF(8),,1,1.0,2,2,2,2,2,0,0,9.0,7,31,17,7,2,0,3,2,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.01,-0.001,0.01,0.00%,-1.56,8b --- 0 out d6,8b end d 8,,LAD,4.0,L,0,8
2,3,24,2015-05-03,ARI,LAD,10-11,,1,2.0,0,0,0,1,4,0,0,4.5,7,31,19,4,5,2,0,0,0,0,,1,0,0,0,0,6,0,0,0,0,0,0,2.8,0.426,2.68,0.25%,1.49,10b -2- 0 out tie,11b 3 out tie,,LAD,0.5,L,0,1
3,4,25,2015-05-06,ARI,COL,8-8,,2,1.0,1,1,1,1,2,0,0,5.4,5,25,14,7,2,1,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,0.08,0.003,0.06,0.00%,-0.45,8b --- 0 out a7,8b 3 out a6,1.0,COL,2.0,W,13,7
4,5,28,2015-05-08,ARI,SDP,7-7,L(0-1),1,1.0,1,1,1,2,1,0,0,6.0,5,18,7,2,1,0,2,1,1,0,,0,0,1,1,0,3,0,0,0,0,0,0,1.95,-0.145,1.99,-0.09%,-0.51,7t --- 0 out tie,7t 3 out d1,,ARI,3.0,L,5,6
5,6,31,2015-05-11,ARI,WSN,9-GF,,2,1.0,0,0,0,0,2,0,0,5.14,3,15,10,4,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.49,9t --- 0 out d10,9t end d10,,ARI,0.0,L,1,11
6,7,34,2015-05-15,ARI,PHI,7-GF(8),,3,1.2,1,0,0,0,2,0,0,4.15,5,18,14,4,4,2,1,1,0,0,,1,1,0,0,0,5,0,0,0,0,0,0,0.87,-0.044000000000000004,0.67,-0.02%,0.35,7b --3 1 out tie,8b end d 1,,PHI,0.8333333333333334,L,3,4
7,8,35,2015-05-16,ARI,PHI,5-5,,0,1.0,2,1,1,0,3,0,0,4.66,5,15,11,1,4,1,1,1,0,0,,1,1,0,0,0,5,2,0,0,0,0,0,0.51,-0.043,0.35,-0.02%,-0.64,5b --3 0 out d2,5b 3 out d4,,PHI,2.0,L,5,7
8,9,37,2015-05-18,ARI,MIA,13-GF(13),S(1),1,1.0,0,0,0,1,2,0,0,4.22,3,15,8,3,3,0,0,0,0,0,,0,0,0,1,0,2,0,0,0,0,0,0,2.98,0.18100000000000002,1.76,0.06%,0.45,13b --- 0 out a1,13b end a 1,,MIA,1.0,W,3,2
9,10,38,2015-05-19,ARI,MIA,9-GF,S(2),0,1.0,1,0,0,1,2,0,0,3.86,5,26,16,6,4,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.9,0.079,1.28,0.03%,0.45,9b --- 0 out a2,9b end a 2,,MIA,2.0,W,4,2
