,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,109,2012-08-04,SDN,NYM,5-6,,99,1.2,2,0,0,3,2,0,0,0.0,10,39,19,6,3,3,2,2,0,0,,0,0,0,0,0,7,0,0,1,0,0,0,0.67,0.024,0.0,0.00%,0.47,5t --- 0 out d3,6t 12- 2 out d3,,SDP,4.166666666666667,L,2,6
1,2,116,2012-08-12,SDN,PIT,4-5,,7,1.1,5,3,3,2,1,0,0,9.0,11,36,21,7,5,1,7,5,0,0,,1,1,0,0,0,9,2,1,0,0,0,0,0.62,-0.23199999999999998,0.02,-0.01%,-4.07,4b 1-- 0 out d1,5b -23 1 out d5,,PIT,6.363636363636362,L,5,11
2,3,119,2012-08-15,SDN,ATL,7-7,,2,1.0,1,0,0,0,2,0,0,6.75,4,16,10,2,4,1,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,0.06,0.003,0.0,0.00%,0.49,7b --- 0 out d5,7b 3 out d5,,ATL,1.0,L,1,6
3,4,120,2012-08-16,SDN,ATL,8-GF(8),,0,1.0,0,0,0,0,1,0,0,5.4,4,19,13,4,2,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,0.01,0.0,0.0,0.00%,0.49,8b --- 0 out d6,8b end d 6,,ATL,0.0,L,0,6
4,5,123,2012-08-19,SDN,SFG,9-GF,,2,1.0,2,0,0,0,2,0,0,4.5,5,18,12,2,7,0,3,1,1,0,,0,0,0,0,0,5,1,0,0,0,0,0,0.09,0.002,0.0,0.00%,0.43,9t --- 0 out a6,9t end a 6,,SDP,2.0,W,7,1
5,6,128,2012-08-25,SDN,ARI,9-GF,,5,1.0,0,0,0,0,0,0,0,3.86,3,8,6,3,0,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.04,0.003,0.0,0.00%,0.49,9b --- 0 out a6,9b end a 6,,ARI,0.0,W,9,3
6,7,131,2012-08-28,SDN,ATL,9-GF,,2,1.0,1,0,0,1,1,0,0,3.38,5,18,11,1,6,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.39,0.013000000000000001,0.01,0.00%,0.43,9t --- 0 out d2,9t end d 2,,SDP,2.0,L,0,2
7,8,134,2012-09-01,SDN,COL,7-7,,3,0.2,1,0,0,0,1,0,0,3.12,3,9,7,1,3,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.13,0.002,0.0,0.00%,0.21,7b --- 0 out d4,7b -2- 2 out d4,,COL,5.0,L,1,9
8,9,135,2012-09-02,SDN,COL,8-GF(8),,0,0.1,0,0,0,0,0,0,0,3.0,1,3,2,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,0.57,0.017,0.0,0.00%,0.54,8b 1-3 2 out d2,8b end d 2,,COL,0.0,L,10,11
9,10,136,2012-09-03,SDN,LAD,11-GF(11),L(0-1),0,0.2,3,1,1,0,0,0,0,3.72,5,15,9,3,1,2,3,2,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,2.82,-0.37200000000000005,0.01,0.00%,-1.01,11b --- 0 out tie,11b end d 1,,LAD,15.0,L,3,4
