Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,2,2007-04-04,CIN,CHC,9-9,,99,0.1,0,0,0,3,0,0,0,0.00,3,16,4,0,3,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,.19,-0.006,.20,0.00%,-0.41,9t --- 0 out d3,9t 12- 1 out d3,,CIN,30.0,L,1,4
2,37,2007-05-12,CIN,LAD,8-GF(8),,37,1.0,0,0,0,1,0,0,0,0.00,4,12,8,3,0,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.01,0.00%,0.53,8b --- 0 out d6,8b end d 6,,LAD,1.0,L,3,7
3,39,2007-05-14,CIN,SDP,6-6,,1,1.0,0,0,0,1,1,0,0,0.00,3,15,8,1,2,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.03,0.001,.01,0.00%,0.47,6b --- 0 out d7,6b 3 out d7,,SDP,1.0,L,1,7
4,42,2007-05-18,CIN,CLE,7-7,,3,1.0,1,0,0,0,1,0,1,0.00,4,15,10,3,4,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.12,0.004,.05,0.00%,0.56,7b --- 0 out d5,7b 3 out d5,,CLE,1.0,L,4,9
5,44,2007-05-20,CIN,CLE,8-GF(8),,1,1.0,0,0,0,0,1,0,0,0.00,3,14,9,2,1,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.21,0.017,.09,0.00%,0.56,8b --- 0 out d2,8b end d 2,,CLE,0.0,L,3,5
6,46,2007-05-22,CIN,WSN,9-GF,,1,1.0,0,0,0,0,1,0,0,0.00,3,11,9,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.06,0.004,.03,0.00%,0.55,9t --- 0 out d4,9t end d 4,,CIN,0.0,L,4,8
7,47,2007-05-23,CIN,WSN,8-8,,0,0.2,1,3,0,0,1,0,1,0.00,5,20,12,3,2,3,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,.20,-0.003,.08,0.00%,-0.26,8t --- 0 out d4,8t 123 2 out d4,,CIN,5.0,L,7,12
8,50,2007-05-26,CIN,PIT,9-GF,,2,1.0,3,2,2,0,1,1,0,2.57,6,16,11,2,3,0,5,2,0,0,,0,0,0,0,0,6,1,0,0,0,0,0,.05,-0.013,.02,0.00%,-1.45,9t --- 0 out d4,9t end d 6,,CIN,3.0,L,5,9
9,51,2007-05-27,CIN,PIT,9-GF,,0,1.0,0,0,0,0,2,0,0,2.25,3,13,9,3,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.06,0.004,.01,0.00%,0.55,9t --- 0 out d4,9t end d 4,,CIN,0.0,L,10,14
10,55,2007-05-31,CIN,HOU,7-7,,3,0.2,1,2,2,1,1,0,0,4.15,4,18,9,3,1,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.000,.02,0.00%,-0.09,7b --- 0 out d6,7b -23 2 out d6,,HOU,10.0,L,2,10
11,59,2007-06-05,CIN,STL,9-9,L(0-1),4,0.0,0,1,1,1,0,0,0,5.19,1,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2.28,-0.074,.78,-0.02%,-0.39,9b --- 0 out tie,9b 1-- 0 out tie,,STL,inf,L,3,4
12,89,2007-07-12,CIN,NYM,8-GF(8),,36,0.2,0,0,0,1,0,0,0,4.82,3,11,4,0,0,2,0,0,0,0,,2,0,0,0,0,2,0,0,1,0,0,0,1.25,0.083,.11,0.00%,1.42,8b -23 1 out d1,8b end d 1,,NYM,5.0,L,2,3
13,92,2007-07-15,CIN,NYM,7-8,,2,1.1,2,0,0,2,1,0,0,4.22,8,34,18,2,1,3,2,1,0,0,,0,0,0,0,0,6,0,0,1,0,0,0,.23,0.002,.01,0.00%,-0.56,7b --- 0 out d3,8b 123 1 out d3,,NYM,3.6363636363636362,L,2,5
14,96,2007-07-19,CIN,FLA,5-6,,3,1.1,0,0,0,0,3,0,0,3.75,4,18,14,2,6,0,1,1,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.59,0.063,.05,0.00%,1.02,5b 1-3 2 out d2,6b 3 out d2,,FLA,0.0,W,7,5
15,97,2007-07-20,CIN,FLA,7-7,,0,0.1,1,0,0,0,0,0,0,3.65,2,5,3,0,1,0,2,1,0,0,,1,1,0,0,0,2,0,0,0,0,0,0,.22,-0.014,.02,0.00%,-0.67,7b -2- 2 out d4,7b 3 out d5,,FLA,10.0,L,2,10
16,99,2007-07-22,CIN,FLA,7-7,,1,0.1,0,0,0,0,0,0,0,3.55,1,3,3,0,0,0,1,0,1,0,,1,0,0,0,0,1,0,0,0,0,0,0,.22,0.006,.01,0.00%,0.23,7b 1-- 2 out d3,7b 3 out d3,,FLA,0.0,L,3,9
17,100,2007-07-23,CIN,MIL,12-GF(12),W(1-1),0,0.2,0,0,0,1,0,0,0,3.38,2,6,2,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,1,0,0,2.49,0.084,.14,0.00%,0.29,12t --- 1 out tie,12t end tie,,CIN,5.0,W,2,1
18,102,2007-07-25,CIN,MIL,6-8,H(1),1,1.1,1,1,1,1,0,0,0,3.68,6,29,19,4,1,1,4,1,1,0,,3,0,0,0,0,5,0,0,0,0,0,0,1.30,0.016,.06,0.00%,0.34,6t 123 2 out a3,8t 12- 0 out a3,,CIN,1.8181818181818181,W,7,3
19,103,2007-07-26,CIN,MIL,10-GF(10),W(2-1),0,1.0,0,0,0,0,0,0,0,3.45,3,12,7,1,1,0,3,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.88,0.147,.11,0.01%,0.55,10t --- 0 out tie,10t end tie,,CIN,0.0,W,6,5
20,106,2007-07-29,CIN,CHC,9-GF,,2,1.0,2,2,2,2,2,0,0,4.32,7,26,15,3,4,2,1,0,1,0,,0,0,1,0,0,5,0,0,0,0,0,0,.11,-0.013,.01,0.00%,-1.45,9t --- 0 out d4,9t end d 6,,CIN,4.0,L,0,6
