,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,2,2003-04-02,SLN,MIL,8-8,,99,0.2,2,0,0,1,1,0,0,0.0,5,21,10,3,2,1,2,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.05,-0.002,0.05,0.00%,-0.27,8t --- 0 out a7,8t 123 2 out a7,,STL,15.0,W,7,0
1,2,4,2003-04-04,SLN,HOU,8-9,,1,2.0,0,0,0,0,1,0,0,0.0,6,23,12,2,2,2,3,1,1,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,1.61,0.245,1.89,0.17%,1.0,8t --- 0 out tie,9t 3 out tie,,STL,0.0,L,5,6
2,3,6,2003-04-08,SLN,COL,6-6,BS(1),3,1.0,3,3,3,0,1,1,0,7.36,6,28,15,4,3,0,5,2,0,0,,2.0,2.0,0,0,0,6,0,1,0,0,0,0,0.75,-0.312,0.72,-0.18%,-3.06,6b 1-3 0 out a1,6b 3 out d4,,COL,3.0,W,15,12
3,4,7,2003-04-09,SLN,COL,8-GF(8),,0,0.2,1,0,0,1,2,0,0,6.23,4,17,7,1,3,0,1,0,0,0,,0.0,0.0,1,0,0,3,1,0,0,0,0,0,0.05,0.001,0.05,0.00%,0.32,8b --- 1 out d5,8b end d 5,,COL,10.0,L,4,9
4,5,11,2003-04-13,SLN,HOU,5-6,W(1-0),3,2.0,0,0,0,0,2,0,0,4.26,6,15,13,5,2,1,3,0,2,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.43,0.066,0.45,0.04%,1.07,5b --- 0 out d2,6b 3 out d2,,HOU,0.0,W,11,8
5,6,13,2003-04-15,SLN,MIL,8-GF(8),,1,0.1,0,0,0,0,1,0,0,4.05,1,4,3,1,1,0,0,0,0,0,,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0.02,0.001,0.02,0.00%,0.23,8b 1-- 2 out d5,8b end d 5,,MIL,0.0,L,1,6
6,7,16,2003-04-19,SLN,ARI,6-6,,3,1.0,1,0,0,1,2,0,0,3.52,5,21,10,5,2,2,1,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,1.65,0.055,1.81,0.04%,0.5,6t --- 0 out d1,6t 3 out d1,,STL,2.0,L,3,4
7,8,18,2003-04-22,SLN,ATL,5-7,,2,1.2,1,1,1,2,2,0,1,3.86,9,35,20,4,6,2,2,0,0,0,,2.0,0.0,1,0,0,4,1,0,0,0,1,0,0.49,-0.016,0.51,-0.01%,-0.2,5b 12- 2 out d3,7b -2- 1 out d3,,ATL,2.5,L,3,5
8,9,23,2003-04-27,SLN,FLA,10-11,,4,2.0,0,0,0,4,5,0,0,3.18,10,49,25,10,9,0,1,0,1,0,,0.0,0.0,0,0,0,6,0,0,1,0,0,0,3.1,0.278,2.95,0.16%,1.02,10b --- 0 out tie,11b 3 out tie,,FLA,2.0,W,7,6
9,10,24,2003-04-29,SLN,NYM,8-GF,,1,1.2,2,1,1,2,2,0,0,3.46,9,38,26,9,7,1,4,2,1,0,,1.0,0.0,0,0,0,6,2,0,0,0,1,0,0.31,0.024,0.32,0.02%,0.03,8t 1-- 1 out a4,9t end a10,,STL,3.333333333333333,W,13,3
10,11,28,2003-05-03,SLN,MON,9-GF,S(1),3,1.0,1,0,0,1,0,0,0,3.21,5,26,16,4,0,1,3,0,2,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,1.39,0.07400000000000001,1.61,0.05%,0.5,9t --- 0 out a2,9t end a 2,,STL,2.0,W,3,1
11,12,31,2003-05-06,SLN,CIN,9-GF,BL(1-1),2,0.1,2,2,2,0,0,1,0,4.4,3,12,9,3,0,0,3,3,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,3.57,-0.8029999999999999,4.64,-0.63%,-1.77,9b --- 0 out a1,9b end d 1,,CIN,20.0,L,5,6
12,13,36,2003-05-13,SLN,CIN,2-4,,6,2.1,3,0,0,0,2,0,0,3.78,9,34,21,4,2,3,5,2,1,0,,1.0,0.0,0,0,0,9,1,0,0,0,0,0,0.21,0.025,0.25,0.02%,1.33,2t -2- 2 out d7,4t 3 out d5,,STL,1.4285714285714286,L,2,7
13,14,43,2003-05-20,SLN,HOU,7-GF(8),,6,2.0,0,0,0,0,4,0,0,3.38,6,27,20,4,9,1,1,0,1,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.52,0.08,0.66,0.06%,1.07,7b --- 0 out d1,8b end d 1,,HOU,0.0,L,2,3
14,15,46,2003-05-23,SLN,PIT,5-6,,2,2.0,1,0,0,1,1,0,0,3.05,7,24,15,5,3,1,4,0,1,0,,0.0,0.0,0,1,1,6,0,0,0,0,0,0,0.22,0.025,0.23,0.02%,1.06,5b --- 0 out d4,6b 3 out d4,,PIT,1.0,W,10,8
15,16,50,2003-05-27,SLN,HOU,8-8,,3,1.0,1,1,1,0,1,1,0,3.32,4,16,10,2,3,2,1,0,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.51,-0.09,0.69,-0.07%,-0.5,8t --- 0 out d1,8t 3 out d2,,STL,1.0,L,4,7
16,17,57,2003-06-04,SLN,TOR,6-6,H(1),7,1.0,0,0,0,0,0,0,0,3.18,3,15,10,4,1,1,2,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,1.05,0.08,1.13,0.05%,0.5,6t --- 0 out a1,6t 3 out a1,,STL,0.0,W,8,5
17,18,59,2003-06-06,SLN,BAL,7-7,,1,0.2,0,0,0,2,1,0,0,3.09,4,21,11,4,2,0,1,0,0,0,,0.0,0.0,1,0,0,2,0,0,0,0,0,0,1.83,-0.001,2.18,0.00%,0.0,7t --- 0 out tie,7t 1-3 2 out tie,,STL,10.0,W,8,6
18,19,60,2003-06-07,SLN,BAL,6-7,,0,1.1,0,0,0,0,1,0,0,2.92,4,16,13,3,3,1,2,0,0,0,,1.0,0.0,0,0,0,4,0,0,0,0,0,0,0.18,0.019,0.22,0.01%,0.73,6t 1-- 2 out d4,7t 3 out d4,,STL,0.0,L,1,8
19,20,62,2003-06-10,SLN,BOS,8-8,BS(3),2,0.0,1,1,1,0,0,1,0,3.28,1,3,2,1,0,0,1,0,0,0,,1.0,1.0,0,0,0,1,0,0,0,0,0,0,2.46,-0.374,2.93,-0.27%,-1.72,8b 1-- 1 out a2,8b --- 1 out tie,,BOS,inf,W,9,7
20,21,63,2003-06-11,SLN,BOS,3-6,,0,4.0,4,1,1,1,4,1,0,3.14,16,58,37,9,5,4,7,1,1,0,,2.0,2.0,0,0,0,14,0,0,0,1,1,0,0.04,-0.001,0.05,0.00%,0.64,3b 1-3 0 out d7,6b 3 out d9,,BOS,1.25,L,1,13
21,22,68,2003-06-16,SLN,MIL,GS-5,,4,5.0,3,1,1,2,9,0,0,2.94,20,86,53,21,12,4,5,4,0,0,64.0,,,0,0,0,18,1,0,0,0,0,0,1.13,0.182,1.29,0.13%,1.54,1b start a 1,5b 3 out a3,,MIL,1.0,L,4,9
22,23,72,2003-06-20,SLN,KCR,7-8,,3,1.2,2,1,1,1,3,0,0,3.06,8,38,22,11,2,2,2,2,0,0,,0.0,0.0,1,0,0,7,0,0,1,0,0,0,0.09,-0.005,0.12,0.00%,-0.23,7t --- 1 out d6,8t 3 out d6,,STL,2.5,L,4,10
23,24,75,2003-06-24,SLN,CIN,11-12,,3,2.0,0,0,0,1,4,0,0,2.89,7,29,16,5,6,0,2,1,1,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,2.13,0.275,2.95,0.23%,1.0,11t --- 0 out tie,12t 3 out tie,,STL,0.5,L,4,7
24,25,77,2003-06-26,SLN,CIN,9-GF,,1,1.0,0,0,0,0,2,0,0,2.82,3,9,7,3,3,0,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.19,0.015,0.27,0.01%,0.5,9t --- 0 out a4,9t end a 4,,STL,0.0,W,11,7
25,26,79,2003-06-28,SLN,KCR,5-5,,1,0.0,1,0,0,0,0,0,0,2.82,1,7,4,1,1,1,0,0,0,0,,1.0,0.0,0,0,0,1,0,0,0,0,0,0,1.11,-0.037000000000000005,1.49,-0.03%,-0.29,5b 1-- 2 out a2,5b 1-3 2 out a2,,KCR,inf,W,13,9
26,27,30,2004-05-07,SLN,MON,8-GF(8),,99,1.0,0,0,0,0,0,0,0,0.0,3,13,8,2,1,2,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.1,0.008,0.1,0.00%,0.54,8b --- 0 out d3,8b end d 3,,MON,0.0,L,2,4
27,28,35,2004-05-13,SLN,ATL,4-5,,5,1.2,2,1,1,2,1,0,0,3.38,8,34,19,6,3,2,3,2,0,0,,2.0,1.0,0,0,0,5,1,0,1,0,0,0,1.11,-0.055999999999999994,1.11,-0.03%,-0.29,4t 1-3 1 out d1,5t 3 out d3,,STL,3.333333333333333,L,5,6
28,29,41,2004-05-20,SLN,NYM,6-6,H(1),6,1.0,0,0,0,0,0,0,0,2.45,3,15,9,3,3,3,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,1.16,0.08800000000000001,1.17,0.05%,0.51,6b --- 0 out a1,6b 3 out a1,,NYM,0.0,W,11,4
29,30,43,2004-05-22,SLN,CHC,6-6,,1,1.0,0,0,0,0,1,0,0,1.93,3,10,10,3,2,1,1,0,1,0,,1.0,0.0,0,0,0,3,0,0,0,0,0,0,0.09,0.006999999999999999,0.12,0.01%,1.16,6b -2- 0 out d6,6b 3 out d6,,CHC,0.0,L,1,7
30,31,44,2004-05-23,SLN,CHC,8-8,,0,0.1,0,0,0,0,0,0,0,1.8,1,6,4,0,2,0,1,0,0,0,,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.56,0.013999999999999999,0.69,0.01%,0.25,8b --- 0 out d1,8b --- 1 out d1,,CHC,0.0,L,3,4
31,32,45,2004-05-26,SLN,PIT,5-6,,2,2.0,5,4,4,0,3,1,0,6.43,11,34,24,7,5,6,2,0,0,0,,0.0,0.0,0,0,0,10,1,0,0,0,0,0,0.24,-0.087,0.25,-0.05%,-2.97,5t --- 0 out d4,6t 3 out d8,,STL,2.5,L,8,11
32,33,48,2004-05-29,SLN,HOU,7-7,H(2),2,1.0,0,0,0,0,2,0,0,5.63,3,9,7,2,3,1,0,0,0,0,,1.0,0.0,0,0,0,2,0,0,0,0,0,0,2.77,0.18600000000000003,3.32,0.13%,0.91,7b 1-- 0 out a1,7b 3 out a1,,HOU,0.0,W,10,3
33,34,54,2004-06-04,SLN,HOU,7-7,H(3),5,0.2,0,0,0,0,0,0,0,5.19,1,1,1,0,0,1,0,0,0,0,,2.0,0.0,0,0,0,1,0,0,0,1,0,0,3.16,0.13699999999999998,4.81,0.13%,0.93,7t 12- 1 out a2,7t 3 out a2,,STL,0.0,W,5,3
34,35,55,2004-06-05,SLN,HOU,6-8,H(4),0,3.0,0,0,0,0,1,0,0,3.86,9,43,29,9,2,4,4,1,0,0,,0.0,0.0,0,0,0,9,0,0,0,0,0,0,0.31,0.07200000000000001,0.49,0.07%,1.54,6t --- 0 out a3,8t 3 out a6,,STL,0.0,W,10,4
35,36,59,2004-06-09,SLN,CHC,6-6,H(5),3,1.0,1,0,0,0,2,0,0,3.55,4,20,13,3,4,1,1,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,1.05,0.076,1.65,0.07%,0.53,6b --- 0 out a2,6b 3 out a2,,CHC,1.0,W,12,4
36,37,61,2004-06-11,SLN,TEX,7-7,,1,1.0,0,0,0,0,2,0,0,3.29,3,16,10,3,3,0,1,0,1,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.21,0.017,0.3,0.01%,0.61,7b --- 0 out a6,7b 3 out a6,,TEX,0.0,W,12,7
37,38,63,2004-06-13,SLN,TEX,8-8,,1,1.0,0,0,0,0,0,0,0,3.07,3,9,6,2,0,3,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.61,8b --- 0 out a11,8b 3 out a11,,TEX,0.0,W,13,2
38,39,65,2004-06-16,SLN,OAK,8-GF,S(1),2,2.0,1,0,0,0,2,0,0,2.7,6,21,15,6,2,2,2,1,0,0,,0.0,0.0,0,0,0,6,0,0,0,1,0,0,0.99,0.13699999999999998,1.42,0.12%,1.03,8t --- 0 out a1,9t end a 4,,STL,0.5,W,6,2
39,40,69,2004-06-20,SLN,CIN,7-7,,3,1.0,1,0,0,0,3,0,0,2.55,4,22,13,5,5,0,1,1,0,0,,0.0,0.0,0,0,0,4,1,0,0,0,0,0,0.1,0.004,0.16,0.00%,0.51,7t --- 0 out d6,7t 3 out d6,,STL,1.0,L,0,6
40,41,71,2004-06-23,SLN,CHC,6-6,BS(1),2,0.1,3,4,4,0,1,1,1,4.5,5,21,13,3,4,0,3,2,0,0,,0.0,0.0,0,0,0,4,1,0,0,0,0,0,1.38,-0.441,2.49,-0.48%,-3.02,6t --- 0 out a2,6t 1-- 1 out d1,,STL,30.0,W,10,9
41,42,75,2004-06-27,SLN,KCR,9-GF,,3,1.0,0,0,0,0,2,0,0,4.26,3,13,9,4,2,0,1,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.02,0.002,0.03,0.00%,0.57,9b --- 0 out a7,9b end a 7,,KCR,0.0,W,10,3
42,43,77,2004-06-29,SLN,PIT,7-8,,1,1.1,1,0,0,0,1,0,0,3.98,5,15,11,5,1,1,3,1,0,0,,0.0,0.0,0,0,0,5,0,0,0,0,0,0,0.23,0.016,0.32,0.01%,0.76,7b --- 0 out d3,8b --- 1 out d3,,PIT,0.9090909090909092,L,0,3
43,44,79,2004-07-02,SLN,SEA,7-7,,2,1.0,1,0,0,2,1,0,0,3.8,6,19,9,4,2,2,1,0,1,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.04,0.002,0.05,0.00%,0.51,7t --- 0 out a9,7t 3 out a9,,STL,3.0,W,11,2
44,45,80,2004-07-03,SLN,SEA,7-7,,0,1.0,1,0,0,0,2,0,0,3.63,4,14,12,3,3,0,2,1,0,0,,0.0,0.0,0,0,0,4,1,0,0,0,0,0,0.44,0.018000000000000002,0.63,0.02%,0.51,7t --- 0 out a5,7t 3 out a5,,STL,1.0,W,8,1
45,46,86,2004-07-10,SLN,CHC,7-7,H(6),6,0.1,0,0,0,1,0,0,0,3.57,2,7,3,1,0,1,0,0,0,0,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.27,-0.035,2.71,-0.03%,-0.18,7t --- 0 out a1,7t -2- 1 out a1,,STL,10.0,W,5,2
46,47,87,2004-07-11,SLN,CHC,6-7,,0,2.0,0,0,0,1,3,0,0,3.28,6,29,15,5,4,2,0,0,0,0,,0.0,0.0,0,0,0,5,0,0,0,1,0,0,0.09,0.009000000000000001,0.09,0.01%,1.03,6t --- 0 out d6,7t 3 out d6,,STL,0.5,L,4,8
47,48,89,2004-07-16,SLN,CIN,7-7,W(1-0),4,1.0,0,0,0,0,0,0,0,3.16,3,9,6,3,0,1,2,1,1,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.16,0.013000000000000001,0.16,0.01%,0.5,7b --- 0 out d3,7b 3 out d3,,CIN,0.0,W,7,5
48,49,91,2004-07-18,SLN,CIN,7-7,,1,0.2,1,0,0,0,1,0,0,3.08,2,11,7,1,4,1,0,0,0,0,,2.0,0.0,0,0,0,2,0,0,0,0,0,0,0.87,0.042,0.9,0.03%,0.92,7b 12- 1 out a5,7b 3 out a5,,CIN,5.0,W,10,4
49,50,93,2004-07-20,SLN,CHC,6-7,,1,2.0,0,0,0,0,2,0,0,2.86,6,30,18,4,3,1,3,1,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.5,0.077,0.36,0.03%,1.06,6b --- 0 out d2,7b 3 out d1,,CHC,0.0,W,11,8
50,51,99,2004-07-26,SLN,CIN,7-7,,5,1.0,0,0,0,0,1,0,0,2.76,3,12,9,1,3,1,1,0,1,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.57,0.043,0.26,0.01%,0.5,7b --- 0 out d1,7b 3 out d1,,CIN,0.0,W,9,6
51,52,100,2004-07-27,SLN,CIN,8-8,,0,1.0,0,0,0,0,2,0,0,2.67,3,9,7,3,2,1,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.1,0.006999999999999999,0.03,0.00%,0.5,8b --- 0 out a6,8b 3 out a6,,CIN,0.0,W,6,0
52,53,101,2004-07-28,SLN,CIN,8-8,,0,0.1,0,1,1,1,1,0,0,2.93,2,10,5,3,1,0,0,0,0,0,,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.89,-0.002,0.24,0.00%,-0.02,8b --- 0 out a4,8b 1-- 1 out a4,,CIN,10.0,W,11,10
53,54,105,2004-08-03,SLN,MON,10-11,,5,2.0,2,0,0,1,1,0,0,2.76,9,37,22,9,3,2,5,2,0,0,,0.0,0.0,0,0,0,8,1,0,0,0,0,0,2.39,0.28,0.3,0.02%,1.03,10t --- 0 out tie,11t 3 out tie,,STL,1.5,L,6,10
54,55,108,2004-08-06,SLN,NYM,9-9,,2,0.0,2,2,2,0,0,2,0,3.31,2,7,4,1,0,0,2,0,0,0,,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0.24,-0.031,0.03,0.00%,-2.0,9t --- 1 out a4,9t --- 1 out a2,,STL,inf,W,6,4
55,56,136,2004-09-05,SLN,LAD,8-8,H(7),29,1.0,1,0,0,0,1,0,0,3.21,4,14,9,2,2,1,2,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.62,0.044000000000000004,0.0,0.00%,0.51,8t --- 0 out a3,8t 3 out a3,,STL,1.0,W,6,5
56,57,138,2004-09-07,SLN,SDP,7-7,H(8),1,0.2,0,0,0,0,1,0,0,3.15,2,9,6,3,1,1,0,0,0,0,,1.0,0.0,0,0,0,2,0,0,0,0,0,0,1.88,0.085,0.0,0.00%,0.5,7b 1-- 1 out a2,7b 3 out a2,,SDP,0.0,W,4,2
57,58,140,2004-09-10,SLN,LAD,7-7,L(1-1),2,1.0,2,2,2,0,1,1,0,3.57,5,22,16,5,2,2,2,0,0,0,,0.0,0.0,0,0,0,5,1,0,0,0,0,0,1.06,-0.281,0.0,0.00%,-1.51,7b --- 0 out tie,7b 3 out d2,,LAD,2.0,L,6,7
58,59,142,2004-09-12,SLN,LAD,7-7,H(9),1,0.1,0,0,0,0,0,0,0,3.53,1,2,1,0,0,0,1,0,0,0,,1.0,0.0,0,0,0,1,0,0,0,0,0,0,3.1,0.071,0.0,0.00%,0.36,7b 1-- 0 out a1,7b 1-- 1 out a1,,LAD,0.0,W,7,6
59,60,144,2004-09-15,SLN,HOU,8-8,W(2-1),2,1.0,0,0,0,0,2,0,0,3.44,3,15,11,3,3,1,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,1.41,0.10800000000000001,0.0,0.00%,0.51,8t --- 0 out tie,8t 3 out tie,,STL,0.0,W,4,2
60,61,146,2004-09-17,SLN,ARI,8-8,H(10),1,0.2,0,0,0,0,1,0,0,3.38,2,7,5,2,2,0,1,0,0,0,,0.0,0.0,0,0,0,2,0,0,0,0,0,0,1.87,0.095,0.0,0.00%,0.41,8t --- 0 out a1,8t --- 2 out a1,,STL,0.0,W,4,3
61,62,148,2004-09-19,SLN,ARI,7-8,,1,2.0,0,0,0,0,1,0,0,3.2,6,22,14,3,2,1,4,2,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.72,0.11,0.0,0.00%,1.03,7t --- 0 out d1,8t 3 out d1,,STL,0.0,L,2,3
62,63,151,2004-09-22,SLN,MIL,6-7,H(11),2,1.1,0,0,0,1,3,0,0,3.1,5,24,13,8,2,0,1,0,0,0,,2.0,0.0,0,0,0,4,0,0,0,0,0,0,1.8,0.184,0.0,0.00%,1.21,6b 12- 1 out a2,7b 1-- 2 out a2,,MIL,0.9090909090909092,W,3,2
63,64,153,2004-09-24,SLN,COL,9-GF,S(2),1,0.2,1,0,0,0,1,0,0,3.05,3,15,8,4,0,0,2,1,0,0,,1.0,1.0,0,0,0,3,0,0,0,0,0,0,2.78,0.135,0.0,0.00%,-0.25,9b -2- 1 out a2,9b end a 1,,COL,5.0,W,5,4
64,65,157,2004-09-28,SLN,HOU,6-7,,3,2.0,1,0,0,1,0,0,0,2.91,7,31,19,4,3,2,4,1,0,0,,0.0,0.0,0,0,1,6,0,0,0,0,0,0,0.74,0.095,0.0,0.00%,1.05,6b --- 0 out d1,7b 3 out d1,,HOU,1.0,L,1,2
