,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,120,2013-08-16,MIA,SFG,8-8,,99,1.0,0,0,0,0,1,0,1,0.0,4,11,10,4,2,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.04,0.003,0.0,0.00%,0.45,8t --- 0 out d5,8t 3 out d5,,MIA,0.0,L,10,14
1,2,124,2013-08-20,MIA,LAD,6-6,,3,1.0,2,0,0,0,0,0,0,0.0,4,17,11,4,1,3,1,0,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,1.45,0.05,0.0,0.00%,0.45,6t --- 0 out d1,6t 3 out d1,,MIA,2.0,L,4,6
2,3,125,2013-08-21,MIA,LAD,9-GF,,0,1.0,0,0,0,0,2,0,0,0.0,3,17,11,1,2,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.08,0.006,0.0,0.00%,0.45,9t --- 0 out d3,9t end d 3,,MIA,0.0,L,1,4
3,4,131,2013-08-28,MIA,WSN,6-6,BS(1),6,1.0,2,1,1,1,1,1,0,2.25,6,20,12,2,2,1,3,1,0,0,,0,0,1,0,0,5,0,0,0,0,0,0,1.91,-0.122,0.0,0.00%,-0.54,6b --- 0 out a1,6b 3 out tie,,WSN,3.0,L,3,4
4,5,138,2013-09-04,MIA,CHC,6-6,H(1),6,1.0,1,1,1,0,1,1,0,3.6,4,22,14,3,3,1,2,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.78,-0.026000000000000002,0.0,0.00%,-0.55,6b --- 0 out a3,6b 3 out a2,,CHC,1.0,L,7,9
5,6,140,2013-09-07,MIA,WSN,8-GF,,2,1.1,2,2,2,1,1,0,0,5.68,7,27,16,4,1,1,4,1,2,0,,1,0,0,0,0,6,0,0,0,0,0,0,0.03,-0.003,0.0,0.00%,-1.34,8t 1-- 2 out d5,9t end d 7,,MIA,2.727272727272727,L,2,9
6,7,145,2013-09-12,MIA,ATL,8-GF,,4,2.0,1,0,0,0,3,0,0,4.32,7,29,17,3,5,1,3,2,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,0.03,0.004,0.0,0.00%,0.9,8t --- 0 out d5,9t end d 5,,MIA,0.5,L,1,6
7,8,148,2013-09-14,MIA,NYM,8-GF(8),,1,0.1,0,0,0,0,1,0,0,4.15,1,5,3,0,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.3,0.008,0.0,0.00%,0.29,8b -2- 2 out d2,8b end d 2,2.0,NYM,0.0,L,1,3
8,9,150,2013-09-16,MIA,PHI,3-4,,1,1.1,1,0,0,0,0,0,0,3.6,5,13,9,3,0,1,4,1,2,0,,2,0,0,0,0,5,0,0,0,0,0,0,0.06,0.006,0.0,0.00%,0.9,3b 1-3 2 out d7,4b 3 out d7,,PHI,0.9090909090909092,L,2,12
9,10,151,2013-09-17,MIA,PHI,8-GF(8),,0,1.0,0,0,0,1,1,0,0,3.27,4,18,9,1,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.09,0.005,0.0,0.00%,0.44,8b --- 0 out d3,8b end d 3,,PHI,1.0,L,4,6
