Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,116,2016-08-12,COL,PHI,6-7,,99,2.0,4,2,1,1,2,0,0,4.50,11,32,20,4,3,3,5,4,0,0,,0,0,0,0,0,10,0,0,0,1,0,1,.15,-0.028,.06,-0.01%,-1.02,6b --- 0 out d4,7b 3 out d5,,PHI,2.5,L,6,10,,
2,120,2016-08-16,COL,WSN,7-7,H(1),3,0.1,0,0,0,1,0,0,1,3.86,3,18,9,2,2,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,2.23,-0.069,.34,-0.01%,-0.41,7t --- 0 out a1,7t 12- 1 out a1,,COL,10.0,W,6,2,,
3,121,2016-08-17,COL,WSN,7-7,,0,1.0,1,1,1,1,1,1,0,5.40,4,20,10,2,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.48,0.004,.09,0.00%,-0.43,7t --- 0 out a5,7t 3 out a4,,COL,2.0,W,12,10,,
4,122,2016-08-19,COL,CHC,11-GF(11),W(1-0),1,1.0,2,1,1,1,1,0,0,6.23,6,22,11,3,2,1,3,3,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,2.66,-0.275,.54,-0.03%,-0.43,11t --- 0 out tie,11t end d 1,,COL,3.0,W,7,6,,
5,124,2016-08-21,COL,CHC,9-GF,,1,1.0,3,2,2,0,0,0,0,8.44,5,16,11,3,0,1,4,3,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.01,0.000,.00,0.00%,-1.43,9t --- 0 out a9,9t end a 7,,COL,3.0,W,11,4,,
6,126,2016-08-23,COL,MIL,8-GF(8),,1,1.0,1,1,1,1,1,0,0,8.53,5,22,11,3,1,0,3,1,1,0,,0,0,0,0,0,3,1,0,0,0,1,0,.67,-0.058,.13,-0.01%,-0.49,8b --- 0 out d1,8b end d 2,,MIL,2.0,L,4,6,,
7,128,2016-08-26,COL,WSN,7-7,,2,1.0,4,4,4,1,1,0,0,12.27,8,27,17,3,5,2,4,2,0,0,,0,0,1,0,0,6,1,1,0,0,1,0,.23,-0.104,.03,-0.01%,-3.49,7b --- 0 out d2,7b 3 out d6,,WSN,5.0,L,5,8,,
8,129,2016-08-27,COL,WSN,11-GF(11),,0,1.0,2,0,0,0,3,0,0,10.80,5,17,14,7,4,1,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.26,0.008,.02,0.00%,0.51,11b --- 0 out a5,11b end a 5,,WSN,2.0,W,9,4,,
9,131,2016-08-29,COL,LAD,9-GF,,1,1.0,1,1,1,1,0,0,0,10.61,5,18,8,2,1,2,2,1,0,0,,0,0,0,0,0,4,0,1,0,0,0,0,.01,0.001,.00,0.00%,-0.43,9t --- 0 out a8,9t end a 7,,COL,2.0,W,8,1,,
10,133,2016-08-31,COL,LAD,8-8,,1,0.1,2,3,3,1,0,0,0,13.03,4,18,10,2,2,1,2,2,0,0,,0,0,0,0,0,3,2,0,0,0,0,0,.20,-0.026,.05,0.00%,-1.41,8t --- 0 out a6,8t 12- 1 out a5,2,COL,30.0,L,8,10,,
11,140,2016-09-08,COL,SDP,6-6,,7,0.1,3,2,2,1,1,0,1,14.40,6,23,13,2,2,0,3,2,0,0,,0,0,0,0,0,4,2,0,0,0,0,0,.00,0.000,.00,0.00%,-3.07,6b --- 0 out d10,6b 123 1 out d12,,SDP,40.0,L,1,14,,
12,145,2016-09-13,COL,ARI,5-5,,4,0.1,0,0,0,1,1,0,0,13.94,2,8,3,2,1,0,0,0,0,0,,2,1,0,0,0,1,0,0,0,0,0,0,.13,-0.007,.00,0.00%,-0.38,5b -23 2 out d6,5b 3 out d7,,ARI,10.0,L,4,11,,
13,146,2016-09-14,COL,ARI,8-GF(8),,0,0.1,0,0,0,0,0,0,0,13.50,1,1,1,0,0,0,1,1,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,.07,0.002,.00,0.00%,0.79,8b 123 2 out d5,8b end d 5,,ARI,0.0,L,6,11,,
14,151,2016-09-20,COL,STL,8-8,,5,1.0,0,0,0,0,1,0,0,12.34,3,10,8,1,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.04,0.003,.00,0.00%,0.58,8t --- 0 out d6,8t 3 out d6,,COL,0.0,L,5,10,,
15,152,2016-09-21,COL,STL,9-GF,,0,1.0,1,0,0,0,0,0,0,11.37,4,12,6,1,1,3,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.00,0.000,.00,0.00%,0.58,9t --- 0 out a10,9t end a10,,COL,1.0,W,11,1,,
16,155,2016-09-24,COL,LAD,5-5,,2,0.1,0,0,0,0,0,0,0,11.08,1,4,2,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.07,0.002,.00,0.00%,0.43,5b 12- 2 out d7,5b 3 out d7,,LAD,0.0,L,1,14,,
17,157,2016-09-27,COL,SFG,5-5,,2,0.2,0,0,0,0,1,0,1,10.54,3,11,7,2,2,0,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.21,0.007,.00,0.00%,0.50,5b 1-- 1 out d5,5b 3 out d5,,SFG,0.0,L,3,12,,
18,161,2016-10-01,COL,MIL,9-9,,3,1.0,1,0,0,0,2,0,0,9.82,4,14,12,3,2,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.77,0.047,.00,0.00%,0.58,9t --- 0 out d1,9t 3 out d1,,COL,1.0,L,3,4,,
19,162,2016-10-02,COL,MIL,7-7,H(2),0,1.0,0,0,0,1,2,0,0,9.19,3,14,7,0,5,0,0,0,0,0,,1,0,0,1,0,2,0,0,0,0,0,0,1.60,0.169,.00,0.00%,0.98,7t 1-- 0 out a1,7t 3 out a1,,COL,1.0,L,4,6,,
20,82,2019-06-23,SEA,BAL,7-7,,99,1.0,1,0,0,0,3,0,0,0.00,4,15,10,2,5,0,1,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.03,0.002,.00,0.00%,0.51,7t --- 0 out a9,7t 3 out a9,,SEA,1.0,W,13,3,7.65,12.00
21,84,2019-06-26,SEA,MIL,GS-1,,2,1.0,0,0,0,1,0,0,0,0.00,4,18,9,3,0,2,1,0,0,0,52,,,0,0,0,3,0,0,0,0,0,0,1.10,0.051,.10,0.00%,0.54,1b start a 2,1b 3 out a2,,MIL,1.0,W,4,2,1.65,3.00
22,86,2019-06-28,SEA,HOU,GS-1,,1,1.0,2,0,0,0,1,0,0,0.00,5,24,14,2,4,1,3,2,1,0,50,,,0,0,0,5,0,0,0,0,0,0,.85,0.051,.08,0.00%,0.57,1b start tie,1b 3 out tie,,HOU,2.0,L,1,2,3.05,6.00
23,89,2019-07-02,SEA,STL,GS-1,,3,1.0,2,1,1,0,1,1,0,2.25,4,14,9,3,0,1,2,1,0,0,46,,,0,1,0,4,0,0,0,0,0,0,.78,-0.053,.03,0.00%,-0.49,1t start tie,1t 3 out d1,,SEA,2.0,W,5,4,1.05,3.00
24,91,2019-07-04,SEA,STL,GS-1,,1,1.0,1,0,0,0,2,0,0,1.80,4,15,12,4,2,1,1,0,0,0,53,,,0,0,0,4,0,0,0,0,0,0,.86,0.048,.02,0.00%,0.51,1t start tie,1t 3 out tie,,SEA,1.0,L,4,5,5.65,9.00
25,94,2019-07-07,SEA,OAK,GS-1,L(0-1),2,0.1,4,5,4,1,1,1,0,8.44,6,28,15,5,2,3,1,0,0,0,25,,,0,0,0,5,1,0,0,0,0,0,1.06,-0.305,.02,0.00%,-3.69,1t start tie,1t 1-3 1 out d3,,SEA,50.0,L,4,7,-8.25,-8.00
26,96,2019-07-13,SEA,LAA,5-5,,5,1.0,0,0,0,1,0,0,0,7.11,3,14,8,2,3,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.14,0.005,.00,0.00%,0.54,5b --- 0 out d6,5b 3 out d6,,LAA,1.0,L,2,9,1.65,3.00
27,97,2019-07-14,SEA,LAA,5-5,,0,1.0,0,0,0,2,1,0,0,6.14,5,25,13,6,1,1,1,0,0,0,,2,2,0,0,0,2,0,0,0,0,1,0,2.69,-0.070,.00,0.00%,-0.45,5b 12- 0 out a2,5b 3 out tie,,LAA,2.0,L,3,6,3.05,6.00
28,101,2019-07-20,SEA,LAA,9-GF,,5,0.1,0,0,0,0,0,0,0,5.87,1,6,3,1,1,1,0,0,0,0,,1,0,1,0,0,1,0,0,0,0,0,0,.07,0.002,.00,0.00%,0.24,9t 1-- 2 out d4,9t end d 4,,SEA,0.0,L,2,6,0.75,1.00
29,104,2019-07-23,SEA,TEX,7-7,,2,1.0,0,0,0,0,0,0,0,5.19,3,11,6,2,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.16,0.012,.00,0.00%,0.51,7t --- 0 out d4,7t 3 out d4,,SEA,0.0,L,2,7,2.25,3.00
30,108,2019-07-27,SEA,DET,9-GF,,3,1.0,1,0,0,0,1,0,0,4.66,4,15,10,1,3,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.04,0.001,.00,0.00%,0.51,9t --- 0 out a7,9t end a 7,,SEA,1.0,W,8,1,3.65,6.00
