Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,66,2011-06-14,CHC,MIL,8-8,,99,0.2,1,0,0,0,1,0,0,0.00,3,13,10,1,2,1,1,1,0,0,,1,1,0,0,0,3,1,0,0,0,0,0,.44,-0.038,.07,0.00%,-0.35,8t -2- 1 out d2,8t 3 out d3,,CHC,5.0,W,5,4
2,67,2011-06-15,CHC,MIL,7-7,,0,0.2,1,0,0,1,1,0,0,0.00,4,16,11,1,1,0,2,1,0,0,,2,2,0,0,0,3,0,0,0,0,0,0,1.89,-0.145,.40,-0.02%,-1.13,7t 12- 1 out d1,7t 3 out d3,,CHC,10.0,L,5,9
3,70,2011-06-18,CHC,NYY,7-7,,2,1.0,0,0,0,1,0,0,0,0.00,4,14,5,0,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.74,0.051,.17,0.01%,0.46,7t --- 0 out d1,7t 3 out d1,,CHC,1.0,L,3,4
4,71,2011-06-19,CHC,NYY,8-8,,0,0.1,2,1,1,0,0,1,0,3.38,3,11,7,1,0,1,2,1,0,0,,2,2,0,0,0,3,0,0,0,0,0,0,.98,-0.181,.14,-0.02%,-1.69,8t 1-3 0 out tie,8t 1-- 1 out d3,,CHC,20.0,L,4,10
5,74,2011-06-22,CHC,CHW,6-6,,2,1.0,0,0,0,0,1,0,0,2.45,3,14,7,4,0,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.64,0.050,.09,0.00%,0.53,6b --- 0 out d1,6b 3 out d1,,CHW,0.0,L,3,4
6,75,2011-06-24,CHC,KCR,7-7,,1,0.1,0,0,0,2,0,0,0,2.25,3,12,4,0,2,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.73,0.021,.21,0.00%,0.10,7b --- 2 out tie,7b 3 out tie,,KCR,20.0,W,6,4
7,77,2011-06-26,CHC,KCR,8-GF(8),,1,1.0,3,0,0,1,1,0,0,1.80,6,25,17,2,4,1,3,2,0,0,,0,0,0,1,0,5,0,0,0,0,0,0,.16,0.006,.01,0.00%,0.50,8b --- 0 out d3,8b end d 3,,KCR,4.0,L,3,6
8,79,2011-06-28,CHC,SFG,5-6,,1,1.2,4,2,2,1,1,0,0,4.05,10,41,24,6,3,3,5,3,1,0,,3,3,1,0,0,8,1,0,0,1,1,1,.16,-0.065,.02,0.00%,-3.01,5t 123 1 out d4,6t 3 out d6,1,CHC,4.166666666666667,L,7,13
9,88,2011-07-06,CHC,WSN,5-6,,7,2.0,1,0,0,1,3,0,0,3.12,8,40,26,4,6,3,1,0,1,0,,2,0,0,0,0,7,1,0,1,0,0,0,1.17,0.153,.03,0.00%,1.89,5b 12- 0 out d2,6b 3 out tie,,WSN,1.0,L,4,5
10,92,2011-07-10,CHC,PIT,5-5,,3,1.0,0,0,0,0,0,0,0,2.79,3,8,6,1,2,2,1,0,0,0,,1,1,0,0,0,2,0,0,0,0,1,0,.04,0.002,.00,0.00%,0.34,5b --3 0 out d4,5b 3 out d5,,PIT,0.0,L,1,9
11,136,2012-09-03,BOS,SEA,8-GF(8),,99,0.1,0,0,0,1,0,0,0,0.00,2,7,3,0,2,1,0,0,0,0,,1,0,1,0,0,1,0,0,0,0,0,0,.09,0.003,.00,0.00%,0.21,8b 1-- 2 out d3,8b end d 3,,SEA,10.0,L,1,4
12,139,2012-09-07,BOS,TOR,7-7,,3,1.0,0,0,0,1,1,0,0,0.00,4,14,7,2,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.17,0.013,.00,0.00%,0.52,7t --- 0 out d4,7t 3 out d4,,BOS,1.0,L,5,7
13,143,2012-09-12,BOS,NYY,7-8,,4,1.1,0,0,0,1,0,0,0,0.00,5,20,10,3,0,4,0,0,0,0,,1,0,1,0,0,3,0,0,0,1,0,1,.69,0.039,.00,0.00%,0.84,7t -2- 2 out d4,8t 3 out d2,,BOS,0.9090909090909091,L,4,5
14,145,2012-09-14,BOS,TOR,8-8,W(1-0),1,0.2,0,0,0,1,0,0,0,0.00,3,15,8,2,1,1,1,0,0,0,,1,0,0,0,0,2,0,0,1,0,0,0,2.66,0.152,.00,0.00%,0.69,8b -2- 1 out tie,8b 3 out tie,,TOR,5.0,W,8,5
15,150,2012-09-19,BOS,TBR,8-GF(8),,4,1.0,2,1,1,2,1,0,0,2.08,7,26,13,0,3,0,4,2,0,0,,0,0,0,0,0,5,1,0,0,0,0,0,.00,0.000,.00,0.00%,-0.53,8b --- 0 out d9,8b end d10,,TBR,4.0,L,3,13
16,153,2012-09-22,BOS,BAL,12-GF(12),,2,0.1,1,0,0,1,0,0,0,1.93,3,16,7,3,1,1,1,0,1,0,,1,1,0,0,0,2,0,0,0,0,0,0,.26,-0.038,.00,0.00%,-0.67,12t -2- 2 out d2,12t end d 3,,BOS,20.0,L,6,9
