,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,131,2009-09-01,CLE,DET,GS-3,L(0-1),99,3.0,9,6,6,3,3,3,0,18.0,19,74,45,10,7,2,11,8,1,0,17.0,,,1,0,0,16,2,0,0,0,0,0,0.7,-0.369,0.02,-0.01%,-4.36,1b start a 1,3b 3 out d5,,DET,4.0,L,5,8,,
1,2,137,2009-09-08,CLE,TEX,GS-5,,6,5.0,8,5,5,3,4,2,0,12.38,24,91,54,14,10,9,8,6,0,0,32.0,,,1,2,2,21,3,0,1,0,0,0,0.71,-0.237,0.0,0.00%,-2.42,1t start tie,5t 3 out d4,1.0,CLE,2.2,L,9,11,,
2,3,142,2009-09-13,CLE,KCR,GS-6,L(0-2),4,6.0,8,5,4,1,3,1,0,9.64,26,79,51,13,7,14,8,4,0,0,40.0,,,0,0,1,25,3,0,0,0,0,1,0.65,-0.191,0.0,0.00%,-1.91,1t start tie,6t 3 out d5,,CLE,1.5,L,0,7,,
3,4,152,2009-09-24,CLE,DET,GS-5,L(0-3),10,5.0,6,4,4,3,0,0,0,9.0,24,93,54,14,2,11,10,7,0,0,36.0,,,0,1,0,21,0,0,0,0,0,1,1.17,-0.222,0.0,0.00%,-1.42,1t start tie,5t 3 out d2,,CLE,1.8,L,5,6,,
4,5,159,2009-10-01,CLE,BOS,GS-4,L(0-4),6,3.1,9,3,3,1,1,0,0,8.87,19,63,36,10,2,7,10,5,0,0,30.0,,,1,0,0,17,1,0,0,0,1,0,1.02,-0.152,0.0,0.00%,-1.7,1b start tie,4b 12- 1 out d3,,BOS,3.2258064516129035,L,0,3,,
5,6,133,2010-09-01,CLE,CHW,GS-8,,99,7.1,6,3,3,1,4,2,0,3.68,28,102,65,20,2,14,9,1,1,0,57.0,,,0,0,0,26,1,0,0,1,0,0,0.85,0.171,0.0,0.00%,1.24,1t start tie,8t 1-- 1 out a2,,CLE,0.9859154929577464,L,4,6,,
6,7,138,2010-09-06,CLE,LAA,GS-6,,4,6.0,6,2,2,2,6,1,0,3.38,25,96,61,15,13,12,5,0,1,0,56.0,,,1,1,0,23,2,1,0,0,0,0,1.1,0.005,0.0,0.00%,0.86,1b start tie,6b 3 out tie,,LAA,1.3333333333333333,W,3,2,,
7,8,142,2010-09-11,CLE,MIN,GS-8,,4,7.1,5,0,0,3,4,0,0,2.18,28,102,67,19,10,15,6,3,0,0,69.0,,,0,1,0,25,0,0,0,2,0,1,1.29,0.42700000000000005,0.0,0.00%,3.24,1t start tie,8t 1-- 1 out tie,,CLE,1.1267605633802815,L,0,1,,
8,9,147,2010-09-17,CLE,KCR,GS-6,W(1-0),5,6.0,8,3,3,1,6,2,0,2.7,25,90,59,15,9,11,7,4,0,0,49.0,,,0,1,0,24,3,0,0,0,0,0,0.63,0.21899999999999997,0.0,0.00%,-0.05,1b start tie,6b 3 out a6,,KCR,1.5,W,11,4,,
9,10,152,2010-09-22,CLE,MIN,GS-6,L(1-1),4,6.0,6,3,3,3,4,0,1,3.03,27,91,53,19,7,9,10,2,1,0,49.0,,,2,1,0,22,2,1,0,0,0,0,1.48,-0.133,0.0,0.00%,-0.08,1b start a 1,6b 3 out d2,,MIN,1.5,L,1,5,,
