Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,128,2011-08-23,TOR,KCR,6-GF,,99,3.1,4,0,0,0,2,0,0,0.00,14,45,29,9,5,6,6,1,0,0,,1,0,0,0,0,14,1,0,0,0,0,0,.31,0.050,.02,0.00%,1.80,6t 1-- 2 out d6,9t end d 3,,TOR,1.2903225806451613,L,4,6
2,131,2011-08-26,TOR,TBR,7-8,,2,2.0,2,1,1,0,2,1,0,1.69,8,31,19,8,1,4,2,1,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.22,-0.026,.00,0.00%,0.04,7t --- 0 out d3,8t 3 out d4,,TOR,1.0,L,1,6
3,133,2011-08-28,TOR,TBR,8-8,,1,1.0,1,0,0,2,1,0,0,1.42,6,24,11,4,3,1,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.05,0.002,.00,0.00%,0.52,8t --- 0 out d6,8t 3 out d6,,TOR,3.0,L,0,12
4,135,2011-08-30,TOR,BAL,7-7,,1,1.0,1,0,0,1,0,0,0,1.23,4,20,11,1,2,3,0,0,0,0,,0,0,0,0,0,3,1,0,0,1,0,0,1.08,0.044,.00,0.00%,0.51,7b --- 0 out d1,7b 3 out d1,,BAL,2.0,L,5,6
5,138,2011-09-02,TOR,NYY,8-GF(8),,2,0.2,0,0,0,0,0,0,0,1.13,2,10,7,2,1,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.37,0.019,.00,0.00%,0.28,8b --- 1 out d1,8b end d 1,,NYY,0.0,L,2,3
6,142,2011-09-06,TOR,BOS,9-GF,,3,1.0,0,0,0,0,2,0,0,1.00,3,10,7,4,2,0,1,1,0,0,,2,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,1.52,9t 12- 0 out d14,9t end d14,,TOR,0.0,L,0,14
7,147,2011-09-11,TOR,BAL,7-7,W(1-0),4,1.0,0,0,0,0,1,0,0,0.90,3,17,9,2,1,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.47,0.036,.00,0.00%,0.52,7t --- 0 out d2,7t 3 out d2,,TOR,0.0,W,6,5
8,148,2011-09-13,TOR,BOS,6-7,,1,1.2,2,1,1,0,1,0,0,1.54,6,18,11,3,0,3,2,1,0,0,,1,0,0,0,0,6,1,0,0,1,0,0,.09,0.000,.00,0.00%,0.07,6b 1-- 1 out d5,7b 3 out d6,,BOS,1.6666666666666667,L,6,18
9,154,2011-09-20,TOR,LAA,7-8,,6,2.0,1,0,0,0,3,0,0,1.32,7,20,15,7,3,1,3,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.05,0.005,.00,0.00%,1.04,7t --- 0 out d8,8t 3 out d5,,TOR,0.5,L,6,10
10,156,2011-09-22,TOR,LAA,10-10,,1,1.0,0,0,0,0,1,0,0,1.23,3,13,11,3,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.84,0.142,.00,0.00%,0.52,10t --- 0 out tie,10t 3 out tie,,TOR,0.0,W,4,3
