Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,60,2018-06-02,SDP,CIN,8-8,,99,1.0,0,0,0,0,3,0,0,0.00,3,16,9,3,5,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.002,.01,0.00%,0.45,8.25,12.00,8t --- 0 out a7,8t 3 out a7,,SDP,0.0,W,8,2
2,64,2018-06-06,SDP,ATL,3-4,W(1-0),3,1.2,1,0,0,0,2,0,1,0.00,7,25,17,1,7,2,2,2,0,0,,1,0,0,0,0,6,0,0,0,0,0,0,1.22,0.138,.58,0.04%,1.09,10.55,23.00,3t -2- 1 out a1,4t 3 out a1,,SDP,0.8333333333333334,W,3,1
3,70,2018-06-13,SDP,STL,6-7,H(1),6,1.1,0,0,0,0,4,0,0,0.00,4,19,12,4,6,0,0,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,1.19,0.111,.67,0.04%,0.69,11.00,16.00,6b 1-- 2 out a2,7b 3 out a2,,STL,0.0,W,4,2
4,72,2018-06-15,SDP,ATL,8-GF,,1,2.0,0,0,0,1,3,0,0,0.00,7,25,18,5,4,1,2,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.42,0.030,.23,0.01%,0.98,9.90,15.00,8b --- 0 out a4,9b end a 6,,ATL,0.5,W,9,3
5,74,2018-06-17,SDP,ATL,3-4,L(1-1),1,1.1,2,2,2,1,1,0,0,2.45,7,24,13,5,1,2,3,2,0,0,,1,0,0,0,0,6,1,0,0,0,0,0,1.19,-0.174,.68,-0.06%,-1.29,-0.80,1.00,3b 1-- 2 out tie,4b 3 out d2,,ATL,2.727272727272727,L,1,4
6,75,2018-06-19,SDP,OAK,7-7,,1,0.0,1,0,0,0,0,0,0,2.45,1,5,2,1,0,0,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.73,-0.072,.85,-0.02%,-0.37,-0.60,0.00,7t --- 0 out a1,7t 1-- 0 out a1,,SDP,inf,L,2,4
7,77,2018-06-21,SDP,SFG,8-GF(8),,1,1.0,0,0,0,0,1,0,0,2.16,3,18,11,3,4,0,2,0,1,0,,2,1,0,1,0,3,0,0,0,0,0,1,.34,-0.006,.16,0.00%,0.42,4.25,6.00,8b 12- 0 out d2,8b end d 3,,SFG,0.0,L,0,3
8,78,2018-06-22,SDP,SFG,7-7,H(2),0,0.1,0,0,0,0,0,0,0,2.08,1,1,1,0,0,0,1,0,1,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.02,0.047,.70,0.01%,0.27,0.75,1.00,7b 1-- 1 out a2,7b 1-- 2 out a2,,SFG,0.0,W,6,2
9,79,2018-06-23,SDP,SFG,4-4,,0,0.2,0,0,0,0,1,0,0,1.93,2,9,5,1,0,0,1,0,1,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.81,0.123,.68,0.03%,0.90,3.50,5.00,4b --3 1 out tie,4b 3 out tie,,SFG,0.0,L,3,5
10,83,2018-06-27,SDP,TEX,8-8,,3,0.2,1,1,1,1,0,1,0,2.70,4,14,8,2,1,0,3,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.16,-0.031,.04,0.00%,-0.69,-1.70,-1.00,8b --- 0 out d2,8b 1-- 2 out d3,,TEX,10.0,L,2,5
