Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,150,2011-09-16,HOU,CHC,9-9,,99,0.1,1,0,0,0,0,0,0,0.00,2,7,4,0,0,0,2,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.98,0.001,.00,0.00%,-0.03,9b --- 0 out tie,9b 1-- 1 out tie,,CHC,10.0,L,3,4,,
2,154,2011-09-20,HOU,CIN,6-6,,3,0.1,1,0,0,0,0,0,0,0.00,1,3,2,1,0,0,1,1,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.53,0.014,.00,0.00%,0.42,6b 12- 2 out d3,6b 3 out d3,,CIN,10.0,L,4,6,,
3,159,2011-09-25,HOU,COL,8-8,,4,1.0,5,5,5,0,0,2,0,27.00,8,26,17,4,1,3,5,3,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,.00,0.000,.00,0.00%,-4.55,8t --- 0 out d13,8t 3 out d18,,HOU,5.0,L,3,19,,
4,47,2012-05-27,HOU,LAD,7-7,,99,0.0,0,0,0,1,0,0,0,---,1,6,2,2,0,0,0,0,0,0,,3,1,0,0,0,0,0,0,0,0,0,0,1.95,-0.063,1.72,-0.03%,-1.00,7b 123 1 out d1,7b 123 1 out d2,,LAD,inf,L,1,5,,
5,48,2012-05-28,HOU,COL,8-GF(8),,0,0.1,0,0,0,0,0,0,0,0.00,1,6,4,1,1,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.27,0.008,.21,0.00%,0.25,8b 1-- 2 out d2,8b end d 2,1,COL,0.0,L,7,9,,
6,49,2012-05-28,HOU,COL,8-8,,-1,0.0,0,0,0,1,0,0,0,0.00,1,4,0,0,0,0,0,0,0,0,,2,0,1,0,0,0,0,0,1,0,0,0,3.85,-0.026,2.70,-0.01%,-0.28,8b 1-3 2 out tie,8b 123 2 out tie,2,COL,inf,L,6,7,,
7,50,2012-05-30,HOU,COL,6-6,,1,1.0,1,1,1,1,1,1,0,6.75,5,22,13,5,2,2,1,0,0,0,,1,1,0,0,0,4,0,0,0,0,0,0,.04,-0.015,.03,-0.01%,-1.05,6b 1-- 0 out d5,6b 3 out d7,,COL,2.0,L,5,13,,
8,51,2012-05-31,HOU,COL,5-5,,0,1.0,1,0,0,0,1,0,0,3.86,4,9,6,1,1,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.11,0.005,.07,0.00%,0.56,5b --- 0 out d6,5b 3 out d6,,COL,1.0,L,5,11,,
9,56,2012-06-06,HOU,STL,7-7,,5,0.2,0,0,0,0,1,0,0,3.00,2,10,6,3,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.82,0.041,.49,0.02%,0.38,7t --- 0 out d1,7t --- 2 out d1,,HOU,0.0,L,3,4,,
10,59,2012-06-09,HOU,CHW,5-6,,2,1.1,3,1,1,0,2,0,0,4.15,7,21,14,4,4,2,3,2,0,0,,2,0,1,0,0,7,0,0,0,0,0,0,.16,0.001,.06,0.00%,0.00,5b 12- 1 out d5,6b 12- 2 out d6,,CHW,2.727272727272727,L,1,10,,
11,62,2012-06-13,HOU,SFG,6-GF(8),,3,3.0,2,0,0,0,1,0,0,2.45,10,40,29,8,4,7,2,1,0,0,,0,0,0,0,0,10,1,0,0,1,0,0,.00,0.000,.00,0.00%,1.27,6b --- 0 out d10,8b end d10,,SFG,0.6666666666666666,L,0,10,,
12,66,2012-06-17,HOU,TEX,8-GF(8),,3,1.0,2,1,1,1,1,0,0,3.24,6,21,11,3,1,4,0,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.03,-0.003,.01,0.00%,-0.46,8b --- 0 out d5,8b end d 6,,TEX,3.0,L,3,9,,
13,67,2012-06-18,HOU,KCR,9-GF,S(1),0,0.1,0,0,0,0,0,0,0,3.12,1,5,3,2,0,0,1,0,1,0,,3,0,0,0,0,1,0,0,0,0,0,0,5.68,0.142,1.13,0.02%,0.75,9t 123 2 out a2,9t end a 2,,HOU,0.0,W,9,7,,
14,72,2012-06-24,HOU,CLE,8-8,H(1),5,0.1,0,0,0,0,0,0,0,3.00,1,3,2,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.19,0.034,.19,0.00%,0.22,8t 1-- 2 out a2,8t 3 out a2,,HOU,0.0,W,7,1,,
15,76,2012-06-28,HOU,SDP,9-GF,,3,0.1,0,0,0,0,0,0,0,2.89,1,1,1,0,0,0,1,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,.03,0.001,.01,0.00%,0.10,9t --- 2 out d4,9t end d 4,,HOU,0.0,L,3,7,,
16,99,2012-07-25,HOU,CIN,8-8,,26,0.0,1,0,0,0,0,0,0,2.89,1,3,2,0,1,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.15,-0.032,.00,0.00%,-0.38,8t 1-- 1 out d1,8t 12- 1 out d1,,HOU,inf,L,3,5,,
17,100,2012-07-26,HOU,PIT,8-8,,0,0.2,0,0,0,0,1,0,0,2.70,2,8,4,0,0,0,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.07,0.003,.00,0.00%,0.50,8t 1-- 1 out d5,8t 3 out d5,,HOU,0.0,L,3,5,,
18,101,2012-07-27,HOU,PIT,9-GF,BS(1),0,0.2,0,0,0,0,0,0,0,2.53,2,8,4,1,0,0,2,0,1,0,,3,2,0,0,0,1,0,0,0,0,1,0,4.53,-0.355,.00,0.00%,-0.46,9t 123 1 out a1,9t end d 1,,HOU,0.0,L,5,6,,
19,103,2012-07-29,HOU,PIT,9-9,,1,0.2,0,0,0,0,0,0,0,2.38,2,8,6,2,1,1,1,0,0,0,,2,1,0,0,0,1,0,0,0,0,1,0,.61,0.031,.00,0.00%,0.51,9t 1-3 0 out a5,9t -2- 2 out a4,,HOU,0.0,W,9,5,,
20,104,2012-07-30,HOU,MIL,8-GF(8),,0,1.0,2,3,3,0,1,1,0,4.38,6,21,13,1,1,4,1,0,0,0,,1,1,0,0,0,5,0,0,0,0,0,0,.83,-0.246,.00,0.00%,-2.88,8b -2- 0 out tie,8b end d 4,,MIL,2.0,L,7,8,,
