,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,132,2010-08-31,CIN,MIL,8-8,,99,1.0,0,0,0,0,1,0,0,0.0,3,8,7,1,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.16,0.012,0.13,0.01%,0.5,8t --- 0 out a5,8t 3 out a5,,CIN,0.0,W,8,4,,
1,2,133,2010-09-01,CIN,MIL,7-7,W(1-0),0,1.0,0,0,0,0,2,0,0,0.0,3,11,9,3,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.73,0.055,0.47,0.02%,0.5,7t --- 0 out d1,7t 3 out d1,,CIN,0.0,W,6,1,,
2,3,135,2010-09-04,CIN,STL,8-8,,2,1.0,0,0,0,1,0,0,0,0.0,3,15,6,1,1,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,0.53,0.025,0.47,0.01%,0.47,8b --- 0 out a4,8b 3 out a4,,STL,1.0,W,6,1,,
3,4,137,2010-09-06,CIN,COL,6-6,,1,0.1,3,1,0,0,1,0,0,0.0,4,16,9,2,1,2,1,1,0,0,,2,2,0,0,0,4,0,0,0,0,0,0,0.95,-0.209,0.51,-0.07%,-2.53,6b 12- 2 out d1,6b 3 out d4,,COL,30.0,L,5,10,,
4,5,140,2010-09-09,CIN,COL,7-7,H(1),2,1.0,0,0,0,1,1,0,0,0.0,4,21,12,3,2,2,0,0,0,0,,2,1,0,0,0,3,0,0,0,1,0,0,3.43,0.223,2.68,0.11%,1.06,7b -23 0 out a2,7b 3 out a1,,COL,1.0,L,5,6,,
5,6,141,2010-09-10,CIN,PIT,11-11,,0,1.0,0,0,0,0,2,0,0,0.0,3,10,7,1,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.81,0.13699999999999998,1.95,0.09%,0.5,11t --- 0 out tie,11t 3 out tie,,CIN,0.0,W,4,3,,
6,7,142,2010-09-11,CIN,PIT,8-9,BS(1),0,1.1,1,0,0,0,2,0,0,0.0,4,16,10,3,4,2,0,0,0,0,,2,2,2,1,1,4,0,0,0,0,0,0,1.93,-0.424,1.41,-0.19%,-1.07,8t 12- 2 out a1,9t 3 out d1,,CIN,0.9090909090909092,W,5,4,,
7,8,146,2010-09-15,CIN,ARI,8-8,H(2),3,1.0,0,0,0,0,2,0,0,0.0,3,18,11,1,5,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.59,0.12,0.74,0.03%,0.5,8t --- 0 out a1,8t 3 out a1,,CIN,0.0,W,7,5,,
8,9,148,2010-09-17,CIN,HOU,7-7,L(1-1),1,0.0,3,2,2,1,0,0,0,2.35,4,12,8,3,0,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.28,-0.344,0.88,-0.08%,-2.98,7b --- 0 out tie,7b 12- 0 out d2,,HOU,inf,L,3,5,,
9,10,151,2010-09-20,CIN,MIL,8-8,H(3),2,0.2,0,0,0,0,0,0,0,2.16,2,7,4,1,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0.47,0.023,0.19,0.01%,0.26,8b --- 1 out a3,8b 3 out a3,,MIL,0.0,W,5,2,,
