,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,120,2014-08-13,TEX,TBR,8-8,,99,1.0,0,0,0,0,1,0,0,0.0,3,9,7,3,2,0,2,0,0,0,,2.0,0.0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,1.47,8t 12- 0 out d9,8t 3 out d9,,TEX,0.0,L,1,10,,
1,2,121,2014-08-14,TEX,TBR,9-GF,,0,1.0,1,0,0,0,1,0,0,0.0,4,17,14,3,3,2,1,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.13,0.006999999999999999,0.0,0.00%,0.48,9t --- 0 out d3,9t end d 3,,TEX,1.0,L,3,6,,
2,3,122,2014-08-15,TEX,LAA,8-8,,0,0.1,0,0,0,0,1,0,0,0.0,1,4,3,1,2,0,0,0,0,0,,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0.24,0.006,0.0,0.00%,0.43,8t 12- 2 out d4,8t 3 out d4,,TEX,0.0,L,4,5,,
3,4,127,2014-08-22,TEX,KCR,8-8,,6,0.2,1,0,0,0,1,0,0,0.0,4,16,10,3,1,1,2,1,0,0,,0.0,0.0,0,0,0,4,1,0,0,0,0,1,0.62,0.015,0.0,0.00%,0.26,8t --- 1 out d2,8t 3 out d2,,TEX,5.0,L,3,6,,
4,5,128,2014-08-23,TEX,KCR,7-8,,0,1.0,1,0,0,0,0,0,0,0.0,3,12,8,2,2,1,2,2,0,0,,2.0,2.0,0,0,0,3,0,0,0,1,0,0,0.3,-0.03,0.0,0.00%,-0.39,7t -23 1 out d3,8t --- 1 out d5,,TEX,1.0,L,3,6,,
5,6,131,2014-08-26,TEX,SEA,8-GF(8),,2,1.0,0,0,0,1,1,0,0,0.0,5,24,14,5,4,2,1,1,0,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,1,0.02,0.001,0.0,0.00%,0.44,8b --- 0 out d5,8b end d 5,,SEA,1.0,L,0,5,,
6,7,134,2014-08-29,TEX,HOU,7-8,,2,1.2,4,1,1,1,4,0,0,1.35,10,41,27,6,5,3,2,1,0,0,,0.0,0.0,0,0,0,9,0,0,0,0,0,0,0.01,0.0,0.0,0.00%,-0.29,7b --- 1 out a11,8b 3 out a10,,HOU,4.166666666666667,W,13,6,,
7,8,137,2014-09-01,TEX,KCR,8-GF(8),,2,0.1,0,0,0,0,0,0,0,1.29,1,3,2,1,0,1,0,0,0,0,,2.0,0.0,0,0,0,1,0,0,0,0,0,0,1.14,0.033,0.0,0.00%,0.59,8b -23 2 out d1,8b end d 1,,KCR,0.0,L,3,4,,
8,9,139,2014-09-03,TEX,KCR,7-7,,1,0.1,0,0,0,0,1,0,0,1.23,1,4,3,1,1,0,0,0,0,0,,1.0,1.0,1,0,0,1,0,0,0,0,0,0,0.19,-0.025,0.0,0.00%,-0.69,7b -2- 2 out d3,7b 3 out d4,,KCR,0.0,L,1,4,,
9,10,141,2014-09-05,TEX,SEA,7-7,,1,0.2,1,0,0,1,1,0,0,1.13,4,17,9,5,0,0,2,2,0,0,,0.0,0.0,0,0,0,3,1,0,0,0,0,0,0.31,0.003,0.0,0.00%,0.06,7t --- 0 out d3,7t 12- 2 out d3,,TEX,10.0,L,5,7,,
10,11,146,2014-09-11,TEX,LAA,8-8,,5,0.2,1,1,1,1,1,0,0,2.08,4,16,7,2,3,2,0,0,0,0,,1.0,1.0,0,0,0,3,0,0,0,0,0,0,0.38,-0.047,0.0,0.00%,-1.49,8t 1-- 1 out d3,8t 3 out d5,,TEX,10.0,L,3,7,,
11,12,149,2014-09-14,TEX,ATL,8-8,,2,1.0,3,2,2,0,0,0,0,3.72,6,20,15,3,0,3,3,3,0,0,,0.0,0.0,0,0,0,6,2,0,0,0,0,0,0.06,0.0,0.0,0.00%,-1.52,8t --- 0 out a9,8t 3 out a7,,TEX,3.0,W,10,3,,
12,13,153,2014-09-19,TEX,LAA,9-GF,,4,1.0,0,0,0,0,1,0,0,3.38,3,11,7,3,0,2,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.44,9b --- 0 out a9,9b end a 9,,LAA,0.0,W,12,3,,
13,14,160,2014-09-26,TEX,OAK,9-GF,,6,1.0,1,0,0,0,1,0,0,3.09,3,10,6,1,2,2,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,1,0,0,0.09,0.003,0.0,0.00%,0.48,9t --- 0 out d4,9t end d 4,,TEX,1.0,L,2,6,,
14,15,161,2014-09-27,TEX,OAK,5-5,,0,0.2,1,0,0,0,0,0,0,2.92,2,5,3,1,0,2,0,0,0,0,,2.0,1.0,0,0,0,2,0,0,0,1,0,0,1.55,0.08800000000000001,0.0,0.00%,0.6,5t 1-3 0 out a2,5t 1-- 2 out a1,,TEX,5.0,W,5,4,,
15,16,19,2015-04-27,TEX,SEA,8-8,,99,0.2,0,0,0,0,0,0,0,0.0,2,7,5,2,0,0,2,2,0,0,,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0.33,0.016,0.3,0.01%,0.27,8t --- 1 out d2,8t 3 out d2,,TEX,0.0,L,1,3,,
16,17,21,2015-04-29,TEX,SEA,8-8,,1,0.1,0,0,0,0,0,0,0,0.0,1,2,2,0,1,0,1,1,0,0,,2.0,0.0,0,0,0,1,0,0,0,0,0,0,1.04,0.019,0.8,0.01%,0.42,8t 12- 1 out d2,8t 1-3 2 out d2,,TEX,0.0,L,2,5,,
17,18,22,2015-05-01,TEX,OAK,7-7,H(1),1,1.0,0,0,0,0,0,0,0,0.0,3,10,8,2,1,3,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.62,0.048,0.37,0.02%,0.51,7t --- 0 out a3,7t 3 out a3,,TEX,0.0,L,5,7,,
18,19,23,2015-05-02,TEX,OAK,7-7,BS(1),0,0.1,0,1,0,0,0,0,0,0.0,2,2,2,0,0,1,1,0,0,0,,3.0,2.0,0,0,0,1,0,0,0,0,1,0,3.51,-0.174,2.0,-0.06%,-1.06,7t 123 0 out a1,7t -23 1 out d1,,TEX,0.0,W,8,7,,
19,20,24,2015-05-03,TEX,OAK,7-7,,0,0.1,1,1,1,0,0,1,0,3.38,2,8,5,3,0,1,1,1,0,0,,2.0,2.0,0,0,0,2,0,0,0,0,0,0,0.61,-0.151,0.41,-0.06%,-2.56,7t 12- 2 out d2,7t 3 out d5,,TEX,10.0,L,1,7,,
20,21,28,2015-05-07,TEX,TBR,5-6,W(1-0),3,1.1,0,0,0,0,2,0,0,2.25,4,13,9,3,4,2,0,0,0,0,,2.0,0.0,0,0,0,4,0,0,0,0,0,0,1.29,0.129,1.0,0.06%,0.88,5b 12- 2 out a2,6b 3 out a2,,TBR,0.0,W,5,4,,
21,22,29,2015-05-08,TEX,TBR,6-6,,0,0.0,1,1,1,0,0,1,0,4.5,1,1,1,0,0,0,1,0,0,0,,2.0,2.0,0,0,0,1,0,0,0,0,0,0,1.07,-0.08199999999999999,0.86,-0.04%,-2.09,6b 1-3 1 out d2,6b --- 1 out d5,,TBR,inf,L,2,8,,
22,23,32,2015-05-11,TEX,KCR,9-GF,,2,1.0,0,0,0,1,0,0,0,3.6,4,15,10,3,1,3,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.03,0.003,0.03,0.00%,0.51,9t --- 0 out a6,9t end a 6,,TEX,1.0,W,8,2,,
23,24,33,2015-05-12,TEX,KCR,7-7,,0,0.0,1,1,1,0,0,1,0,5.4,1,3,3,1,0,0,1,1,0,0,,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1.15,-0.207,0.97,-0.10%,-1.0,7t --- 1 out tie,7t --- 1 out d1,,TEX,inf,L,6,7,,
24,25,35,2015-05-14,TEX,KCR,9-GF,,1,1.0,2,0,0,0,1,0,0,4.5,5,27,19,3,3,1,3,2,0,0,,0.0,0.0,0,0,0,5,0,0,0,0,0,0,0.23,0.008,0.19,0.00%,0.51,9t --- 0 out d3,9t end d 3,,TEX,2.0,L,3,6,,
25,26,37,2015-05-16,TEX,CLE,6-6,H(2),1,1.0,0,0,0,0,1,0,0,3.86,3,15,9,3,1,2,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,1.05,0.081,0.68,0.03%,0.51,6t --- 0 out a1,6t 3 out a1,,TEX,0.0,L,8,10,,
26,27,40,2015-05-20,TEX,BOS,6-6,H(3),3,0.1,1,0,0,0,1,0,0,3.68,2,15,11,2,3,1,0,0,0,0,,2.0,0.0,0,0,0,2,0,0,0,0,0,0,3.81,0.027000000000000003,2.1,0.01%,0.15,6b 12- 1 out a1,6b 123 2 out a1,,BOS,10.0,W,2,1,,
27,28,43,2015-05-23,TEX,NYY,8-8,,2,1.0,0,0,0,0,1,0,1,3.24,4,10,7,2,3,1,1,0,1,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.01,0.0,0.01,0.00%,0.49,8b --- 0 out a13,8b 3 out a13,,NYY,0.0,W,15,4,,
28,29,45,2015-05-25,TEX,CLE,3-6,,1,3.1,2,1,1,4,3,0,0,3.09,16,61,30,9,4,6,3,1,0,0,,2.0,2.0,0,0,0,11,1,0,1,0,1,0,1.45,-0.07200000000000001,1.24,-0.04%,-0.36,3b -23 0 out a2,6b 12- 1 out d1,,CLE,1.9354838709677415,W,10,8,,
29,30,48,2015-05-28,TEX,BOS,9-GF,,2,1.0,1,0,0,1,0,0,0,2.84,4,14,9,3,1,1,2,1,1,0,,0.0,0.0,0,0,0,3,0,1,1,1,0,0,0.08,0.002,0.07,0.00%,0.51,9t --- 0 out d5,9t end d 5,,TEX,2.0,L,1,5,,
30,31,50,2015-05-30,TEX,BOS,9-GF,,1,1.0,1,0,0,0,1,0,0,2.63,4,14,10,4,2,1,2,1,1,0,,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.01,0.0,0.01,0.00%,0.51,9t --- 0 out a8,9t end a 8,,TEX,1.0,W,8,0,,
