Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,58,2011-06-02,STL,SFG,7-8,,99,2.0,3,5,5,2,3,2,0,22.50,11,50,29,9,7,2,4,2,0,0,,0,0,0,0,0,9,1,0,0,0,0,0,.36,-0.147,.52,-0.13%,-4.10,7t --- 0 out d2,8t 3 out d3,,STL,2.5,L,7,12
2,74,2011-06-21,STL,PHI,8-GF,,18,1.1,3,1,1,2,1,0,0,16.20,10,41,25,8,4,4,3,1,0,0,,2,2,0,0,0,8,0,0,0,0,0,1,.03,-0.013,.05,-0.01%,-2.14,8t 12- 2 out d5,9t end d 8,,STL,4.545454545454545,L,2,10
3,141,2011-09-05,STL,MIL,9-GF,,75,1.0,1,0,0,0,2,0,0,12.46,4,14,9,3,2,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.08,0.006,.02,0.00%,0.45,9t --- 0 out d3,9t end d 3,,STL,1.0,L,1,4
4,52,2012-06-01,STL,NYM,8-GF(8),,99,1.0,1,0,0,0,2,0,0,0.00,4,21,14,5,1,1,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.45,8b --- 0 out d8,8b end d 8,,NYM,1.0,L,0,8
5,54,2012-06-03,STL,NYM,6-6,,1,0.2,1,0,0,0,1,0,0,0.00,3,12,7,2,1,2,0,0,0,0,,2,2,0,0,0,3,0,1,0,0,0,0,.16,-0.023,.18,-0.02%,-1.14,6b 12- 1 out d4,6b 3 out d6,,NYM,5.0,L,1,6
6,56,2012-06-05,STL,HOU,3-5,,1,2.1,4,1,1,1,3,1,0,2.25,10,41,28,7,4,1,5,2,0,0,,0,0,0,1,0,9,0,0,0,0,0,0,.44,-0.034,.50,-0.02%,-0.46,3b --- 0 out d2,5b 12- 1 out d3,,HOU,2.380952380952381,L,8,9
7,59,2012-06-08,STL,CLE,7-7,,2,1.0,3,2,2,0,0,1,0,5.40,6,21,13,4,1,2,4,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.12,-0.035,.14,-0.03%,-1.54,7t --- 0 out d4,7t 3 out d6,,STL,3.0,L,2,6
8,78,2012-06-30,STL,PIT,8-8,,21,1.0,0,0,0,0,3,0,1,4.50,4,12,10,4,3,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.12,0.007,.20,0.01%,0.47,8t --- 0 out d4,8t 3 out d4,,STL,0.0,L,3,7
9,80,2012-07-02,STL,COL,9-GF,,1,1.0,2,1,1,0,2,1,0,5.14,5,21,13,5,2,1,2,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.02,0.001,.02,0.00%,-0.54,9t --- 0 out a7,9t end a 6,,STL,2.0,W,9,3
10,82,2012-07-04,STL,COL,7-7,H(1),1,1.0,0,0,0,0,2,0,0,4.50,3,15,11,3,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.25,0.093,1.55,0.07%,0.47,7t --- 0 out a1,7t 3 out a1,,STL,0.0,W,4,1
