,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,14,2011-04-17,ARI,SFG,11-GF(12),W(1-0),99,2.0,0,0,0,0,2,0,0,0.0,6,30,22,4,4,4,0,0,0,0,,0.0,0.0,0,0,0,6,0,0,0,0,0,0,1.76,0.263,1.52,0.14%,0.94,11t --- 0 out tie,12t end tie,,ARI,0.0,W,6,5
1,2,17,2011-04-21,ARI,CIN,7-GF(8),,3,2.0,3,0,0,0,2,0,0,0.0,7,30,22,5,4,3,2,1,0,0,,0.0,0.0,0,1,0,7,0,0,0,1,0,0,0.09,0.008,0.08,0.01%,0.95,7b --- 0 out d4,8b end d 4,,CIN,1.5,L,4,7
2,3,20,2011-04-24,ARI,NYM,4-6,,2,3.0,4,2,2,0,1,1,1,2.57,14,46,30,9,5,8,4,1,1,0,,0.0,0.0,0,0,0,13,0,0,0,0,0,0,0.07,-0.023,0.06,-0.01%,-0.68,4b --- 0 out d5,6b 3 out d6,,NYM,1.3333333333333333,L,4,8
3,4,23,2011-04-27,ARI,PHI,8-8,,2,1.0,0,0,0,0,1,0,0,2.25,3,11,7,3,2,1,1,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.09,0.006999999999999999,0.08,0.00%,0.47,8t --- 0 out d4,8t 3 out d4,,ARI,0.0,L,4,8
4,5,24,2011-04-28,ARI,CHC,7-GF,,0,2.1,0,0,0,1,3,0,0,1.74,8,42,27,8,8,3,1,0,0,0,,2.0,0.0,0,0,0,7,0,0,0,0,0,0,0.02,0.003,0.01,0.00%,1.36,7t 12- 2 out a8,9t end a 9,,ARI,0.4761904761904762,W,11,2
5,6,29,2011-05-04,ARI,COL,6-7,,5,2.0,1,0,0,0,0,0,0,1.46,6,22,15,6,0,3,3,1,1,0,,0.0,0.0,0,0,0,6,0,0,0,1,0,0,0.14,0.018000000000000002,0.15,0.01%,0.94,6t --- 0 out d5,7t 3 out d4,,ARI,0.5,L,4,6
6,7,31,2011-05-06,ARI,SDP,5-6,,1,1.2,0,0,0,0,2,0,0,1.29,5,20,14,7,1,2,1,0,0,0,,2.0,0.0,0,0,0,5,0,0,0,0,0,0,0.36,0.042,0.32,0.02%,1.26,5b 12- 1 out d3,6b 3 out d3,,SDP,0.0,L,3,4
7,8,38,2011-05-14,ARI,LAD,GS-6,W(2-0),7,6.0,2,0,0,0,3,0,0,0.9,20,71,54,15,9,6,11,5,1,0,71.0,,,0,0,0,20,1,0,0,0,0,0,0.94,0.373,0.58,0.14%,2.64,1b start tie,6b 3 out a1,,LAD,0.3333333333333333,W,1,0
8,9,43,2011-05-19,ARI,ATL,GS-6,W(3-0),4,6.0,2,0,0,0,1,0,0,0.69,20,76,57,16,2,6,13,0,6,0,69.0,,,0,0,0,20,1,0,0,0,0,0,0.87,0.34600000000000003,0.71,0.17%,2.83,1t start tie,6t 3 out tie,,ARI,0.3333333333333333,W,2,1
9,10,47,2011-05-24,ARI,COL,GS-5,L(3-1),4,4.1,5,5,2,2,1,2,0,1.19,21,87,51,17,3,6,12,2,1,0,38.0,,,0,0,0,18,0,0,0,0,0,1,1.07,-0.128,1.26,-0.09%,-0.9,1b start tie,5b 123 1 out a1,1.0,COL,1.707317073170732,L,4,12
10,11,53,2011-05-29,ARI,HOU,GS-6,,4,6.0,4,2,2,1,5,1,0,1.49,24,108,66,15,7,5,13,4,3,0,60.0,,,0,0,0,23,1,0,0,0,0,1,0.99,0.016,1.3,0.01%,0.69,1b start tie,6b 3 out d1,,HOU,0.8333333333333334,W,4,2
11,12,58,2011-06-03,ARI,WSN,GS-7,W(4-1),4,7.0,3,0,0,1,5,0,0,1.25,25,103,67,22,8,5,14,3,5,0,75.0,,,0,0,0,24,1,0,0,0,0,0,0.8,0.337,1.11,0.28%,3.3,1t start tie,7t 3 out a4,,ARI,0.5714285714285714,W,4,0
12,13,63,2011-06-09,ARI,PIT,GS-6,,5,5.0,4,0,0,2,4,0,0,1.12,21,102,66,16,5,8,7,2,1,0,61.0,,,1,0,0,19,0,0,0,0,0,0,0.96,0.212,1.29,0.17%,1.8,1b start tie,6b 1-- 0 out tie,,PIT,1.2,W,2,0
13,14,68,2011-06-14,ARI,SFG,GS-5,L(4-2),4,5.0,8,5,5,3,4,0,0,1.86,25,97,63,14,8,8,10,4,3,0,32.0,,,0,1,0,20,2,0,0,0,0,0,1.12,-0.215,2.22,-0.25%,-2.65,1t start tie,5t 3 out d5,,ARI,2.2,L,5,6
14,15,73,2011-06-19,ARI,CHW,GS-7,L(4-3),4,7.0,5,3,3,1,5,2,0,2.09,27,102,74,26,6,7,14,3,1,0,59.0,,,0,0,0,26,1,0,1,0,0,0,0.78,-0.012,1.13,-0.01%,0.3,1t start tie,7t 3 out d3,,ARI,0.8571428571428571,L,2,8
15,16,78,2011-06-25,ARI,DET,GS-7,L(4-4),5,6.0,10,6,6,2,4,1,0,2.71,29,90,62,15,8,6,17,2,3,0,30.0,,,0,0,0,27,2,0,0,1,0,0,0.58,-0.21,0.87,-0.19%,-2.93,1b start tie,7b 12- 0 out d5,,DET,2.0,L,0,6
16,17,83,2011-07-01,ARI,OAK,GS-5,L(4-5),5,4.2,7,5,5,2,5,0,0,3.17,22,92,57,23,6,2,13,7,2,0,33.0,,,1,1,0,20,1,0,0,0,0,0,1.2,-0.28300000000000003,1.77,-0.25%,-2.86,1b start tie,5b -2- 2 out d4,,OAK,2.142857142857143,L,4,5
17,18,88,2011-07-06,ARI,MIL,GS-6,,4,6.0,3,0,0,1,3,0,0,2.92,21,94,60,22,4,6,11,3,2,0,68.0,,,0,1,0,20,0,0,0,0,0,0,1.16,0.384,1.89,0.38%,2.83,1b start a 1,6b 3 out a1,,MIL,0.6666666666666666,L,1,3
18,19,96,2011-07-18,ARI,MIL,GS-8,W(5-5),11,8.0,3,0,0,0,7,0,0,2.65,26,105,74,21,7,9,10,2,1,0,83.0,,,0,0,0,26,0,0,0,0,0,0,0.91,0.44,1.42,0.41%,3.77,1t start tie,8t 3 out a3,,ARI,0.375,W,3,0
19,20,101,2011-07-23,ARI,COL,GS-7,W(6-5),4,7.0,6,3,3,0,4,1,0,2.74,27,109,75,16,11,5,18,3,4,0,57.0,,,0,0,0,26,1,0,0,0,0,0,0.52,0.08800000000000001,0.8,0.08%,0.3,1t start tie,7t 3 out a5,,ARI,0.8571428571428571,W,12,3
20,21,106,2011-07-29,ARI,LAD,GS-4,L(6-6),5,3.2,7,5,5,2,1,1,2,3.1,22,81,52,13,8,6,11,2,1,0,26.0,,,0,0,0,17,3,0,0,0,0,0,1.3,-0.414,2.14,-0.41%,-3.7,1b start tie,4b 1-3 2 out d3,,LAD,2.8125,L,5,9
21,22,112,2011-08-05,ARI,LAD,GS-3,L(6-7),6,2.1,8,6,6,1,1,0,0,3.58,16,52,34,6,6,3,11,4,1,0,17.0,,,1,0,0,14,1,0,0,0,1,0,1.17,-0.302,2.07,-0.32%,-3.74,1t start tie,3t 1-3 1 out d4,,ARI,4.285714285714286,L,4,7
