Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,137,2003-08-30,MON,FLA,7-7,,99,1.0,0,0,0,1,1,0,0,0.00,4,17,10,1,4,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.20,0.013,.38,0.01%,0.51,7b --- 0 out d3,7b 3 out d3,,FLA,1.0,L,3,4
2,138,2003-08-31,MON,FLA,6-6,,0,0.1,0,0,0,0,0,0,0,0.00,1,5,2,1,0,0,1,1,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.07,0.030,1.54,0.03%,0.50,6b 1-3 2 out d2,6b 3 out d2,,FLA,0.0,L,3,5
3,141,2003-09-03,MON,PHI,4-5,,2,1.2,1,0,0,0,4,0,0,0.00,6,22,16,7,4,0,2,1,1,0,,2,0,0,0,0,6,0,0,0,0,0,0,.29,0.046,.18,0.02%,1.65,4b 1-3 1 out d4,5b 3 out d4,,PHI,0.8333333333333334,L,3,8
4,143,2003-09-06,MON,FLA,9-GF,,2,1.0,1,2,2,1,1,1,0,4.50,5,20,13,7,3,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,-0.001,.00,0.00%,-1.46,9t --- 0 out d8,9t end d10,,MON,2.0,L,4,14
5,145,2003-09-09,MON,CHC,9-GF,,2,1.0,0,0,0,0,0,0,0,3.60,3,13,7,3,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.26,0.020,.00,0.00%,0.54,9t --- 0 out d2,9t end d 2,,MON,0.0,L,3,4
6,146,2003-09-10,MON,CHC,7-7,,0,0.1,1,0,0,0,0,0,0,3.38,2,9,6,1,1,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.90,-0.001,.00,0.00%,-0.02,7t --- 0 out d1,7t 1-- 1 out d1,,MON,10.0,W,8,4
7,148,2003-09-12,MON,NYM,7-8,H(1),1,1.1,0,0,0,0,1,0,0,2.70,4,12,8,3,0,2,1,0,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.63,0.069,.00,0.00%,0.79,7t 1-- 2 out a3,8t 3 out a3,,MON,0.0,W,7,4
8,150,2003-09-14,MON,NYM,8-8,,1,1.0,0,0,0,0,1,0,0,2.35,3,14,11,3,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.33,0.026,.00,0.00%,0.54,8t --- 0 out a4,8t 3 out a4,,MON,0.0,W,7,3
9,152,2003-09-16,MON,ATL,9-9,,1,1.0,0,0,0,0,1,0,0,2.08,3,14,10,2,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.26,0.020,.00,0.00%,0.54,9t --- 0 out d2,9t 3 out d2,,MON,0.0,W,5,4
10,154,2003-09-18,MON,NYM,9-GF,S(1),1,1.0,0,0,0,0,2,0,0,1.86,3,12,7,4,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.65,0.201,.00,0.00%,0.50,9b --- 0 out a1,9b end a 1,,NYM,0.0,W,1,0
11,156,2003-09-20,MON,NYM,9-9,W(1-0),1,1.0,1,0,0,1,0,0,0,1.69,5,11,5,1,0,2,2,0,1,0,,0,0,0,0,0,3,0,0,1,0,0,0,3.46,0.138,.00,0.00%,0.50,9b --- 0 out tie,9b 3 out tie,,NYM,2.0,W,4,3
12,158,2003-09-23,MON,ATL,8-GF(8),,2,0.1,0,0,0,0,1,0,0,1.64,1,4,3,1,2,0,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,.76,0.020,.00,0.00%,0.79,8b 123 2 out d2,8b end d 2,,ATL,0.0,L,0,2
13,1,2004-04-06,MON,FLA,7-7,,99,1.0,2,0,0,1,2,0,0,0.00,6,24,11,4,1,0,3,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.25,0.042,1.32,0.03%,0.49,7b --- 0 out d1,7b 3 out d1,,FLA,3.0,L,3,4
