Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,5,2007-04-07,CIN,PIT,6-7,H(1),99,0.2,0,0,0,0,1,0,0,0.00,2,6,4,1,1,1,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.35,0.075,1.58,0.05%,0.50,6t 1-- 2 out a1,7t --- 1 out a2,,CIN,0.0,W,7,5
2,6,2007-04-08,CIN,PIT,9-GF,,0,1.0,1,1,1,0,1,1,0,5.40,4,17,10,3,2,0,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.18,-0.034,.21,-0.02%,-0.45,9t --- 0 out d2,9t end d 3,,CIN,1.0,L,3,6
3,10,2007-04-13,CIN,CHC,5-5,,4,1.0,0,0,0,0,2,0,0,3.38,3,12,10,3,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.99,0.077,1.05,0.05%,0.55,5b --- 0 out a1,5b 3 out a1,,CHC,0.0,W,6,5
4,11,2007-04-14,CIN,CHC,7-7,,0,0.0,0,1,1,1,0,0,0,6.75,1,7,3,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,.24,-0.004,.26,0.00%,-0.34,7b 12- 2 out d4,7b 123 2 out d4,,CHC,inf,L,0,7
5,13,2007-04-16,CIN,MIL,7-8,,1,1.2,1,0,0,0,2,0,1,4.15,8,28,20,4,4,2,3,0,1,0,,1,1,0,0,0,7,0,0,0,0,0,1,.10,-0.010,.12,-0.01%,0.11,7t 1-- 1 out d5,8t 3 out d6,,CIN,0.8333333333333334,L,6,10
6,16,2007-04-19,CIN,HOU,9-GF,,2,1.0,3,1,1,0,2,1,0,5.06,6,23,16,3,6,1,3,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.50,-0.071,.55,-0.05%,-0.45,9t --- 0 out d1,9t end d 2,,CIN,3.0,L,6,8
7,17,2007-04-20,CIN,PHI,10-GF(10),W(1-0),0,1.0,0,0,0,0,1,0,1,4.26,3,8,7,2,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,2.45,0.147,2.20,0.08%,0.55,10t --- 0 out tie,10t end tie,,CIN,0.0,W,2,1
8,19,2007-04-22,CIN,PHI,7-7,,1,0.2,0,1,0,1,0,0,0,3.86,4,18,9,3,1,1,2,0,1,0,,0,0,1,0,0,3,0,0,0,0,0,1,.75,-0.067,.69,-0.04%,-0.70,7t --- 0 out d2,7t 1-- 2 out d3,,CIN,5.0,L,3,9
9,21,2007-04-25,CIN,STL,8-8,,2,0.1,0,0,0,0,0,0,0,3.68,1,1,1,0,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.42,0.013,.42,0.01%,0.59,8b 12- 0 out d2,8b 12- 1 out d2,,STL,0.0,L,2,5
10,22,2007-04-26,CIN,STL,7-7,,0,0.0,1,1,1,0,0,0,0,4.91,1,5,3,0,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.77,-0.029,.73,-0.02%,-0.39,7b --- 0 out d1,7b 1-- 0 out d1,,STL,inf,L,5,7
