,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,76,48,2000-05-28,TBA,SEA,9-GF,,99,1.0,1,1,1,1,1,1,0,9.0,5,26,14,4,2,0,3,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,-0.41,9t --- 0 out a11,9t end a10,,TBD,2.0,W,14,4
1,77,50,2000-05-30,TBA,BAL,6-8,,1,2.2,1,1,1,0,4,1,0,4.91,8,36,22,3,7,1,3,0,0,0,,1,0,0,0,0,8,0,0,0,1,0,0,0.3,0.008,0.03,0.00%,1.04,6t 1-- 0 out d6,8t --- 2 out d4,,TBD,0.4545454545454545,L,7,8
2,78,55,2000-06-04,TBA,NYM,8-8,,4,1.0,0,0,0,1,1,0,0,3.86,4,22,13,2,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.02,0.001,0.0,0.00%,0.54,8b --- 0 out a9,8b 3 out a9,,NYM,1.0,W,15,5
3,79,60,2000-06-10,TBA,FLA,6-8,,5,3.0,2,1,1,0,5,1,0,3.52,11,43,29,7,9,1,5,1,3,0,,0,0,0,0,0,11,0,0,0,0,0,0,0.15,-0.011000000000000001,0.02,0.00%,0.76,6t --- 0 out d4,8t 3 out d5,,TBD,0.6666666666666666,L,1,5
4,80,62,2000-06-13,TBA,ANA,7-7,,2,0.2,0,0,0,0,0,0,0,3.24,2,6,4,1,0,1,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,0.97,0.048,0.12,0.00%,0.73,7t 1-- 0 out d2,7t 1-- 2 out d2,,TBD,0.0,L,3,5
5,81,66,2000-06-17,TBA,TEX,4-6,,3,2.0,2,1,1,2,1,0,0,3.48,9,40,22,3,2,3,3,2,0,0,,2,0,0,0,0,7,1,0,0,1,0,0,0.41,0.032,0.07,0.00%,0.44,4t 1-3 1 out d4,6t 12- 1 out d5,,TBD,2.0,L,0,5
6,82,70,2000-06-21,TBA,SEA,2-5,,3,4.0,2,0,0,1,5,0,1,2.51,16,75,45,20,4,5,4,2,0,0,,3,3,0,0,0,14,1,0,0,0,0,0,0.24,0.015,0.04,0.00%,1.1,2b 123 0 out d4,5b 3 out d3,,SEA,0.75,L,5,8
7,83,72,2000-06-24,TBA,TEX,5-6,,2,2.0,1,0,0,3,3,0,0,2.2,11,44,21,5,5,2,3,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,1,1.88,0.13699999999999998,0.31,0.01%,1.21,5b --- 0 out d1,6b 3 out tie,,TEX,2.0,W,9,7
8,84,75,2000-06-28,TBA,TOR,5-8,,3,4.0,1,0,0,0,5,0,0,1.77,13,63,40,9,9,0,8,1,1,0,,1,0,0,0,0,13,0,0,0,0,0,0,0.45,0.132,0.13,0.02%,2.75,5t 1-- 0 out d3,8t 3 out d3,,TBD,0.25,L,2,5
9,85,78,2000-07-01,TBA,NYY,8-8,,2,1.0,0,0,0,0,3,0,0,1.69,3,15,10,3,3,0,0,0,0,0,,1,0,1,0,0,3,0,0,0,0,0,0,0.15,0.009000000000000001,0.03,0.00%,0.99,8t 1-- 0 out d5,8t 3 out d5,,TBD,0.0,L,1,6
