,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,151,2004-09-21,CLE,DET,GS-4,,99,4.0,5,5,4,1,4,1,1,9.0,20,61,37,6,9,8,6,4,0,0,37.0,,,1,0,0,18,2,0,0,0,0,1,1.1,-0.337,0.0,0.00%,-2.89,1b start tie,4b 3 out d3,,DET,1.5,W,8,7
1,2,156,2004-09-26,CLE,MIN,GS-4,L(0-1),4,3.2,5,4,4,3,5,0,0,9.39,19,85,44,12,8,3,8,3,2,0,37.0,,,1,0,0,15,1,0,0,0,1,0,1.02,-0.257,0.0,0.00%,-2.34,1t start tie,4t 12- 2 out d3,,CLE,2.5,L,2,6
2,3,142,2006-09-10,SEA,TEX,6-7,,99,1.1,1,1,1,2,0,0,0,6.75,7,33,17,5,2,1,4,0,2,0,,2.0,0.0,0,0,0,5,1,0,0,0,0,0,1.81,-0.071,0.0,0.00%,0.06,6t 1-3 2 out d1,7t 3 out d1,,SEA,2.727272727272727,L,2,4
3,4,147,2006-09-15,SEA,KCR,GS-1,,4,1.0,4,5,5,2,0,1,0,23.14,9,35,22,3,1,3,4,1,1,0,23.0,,,0,0,0,6,1,0,0,0,1,0,0.92,-0.331,0.0,0.00%,-4.44,1b start tie,1b 3 out d5,,KCR,6.0,W,11,8
4,5,156,2006-09-24,SEA,CHW,8-GF(8),,8,1.0,2,2,2,1,0,1,0,21.6,5,18,11,5,0,1,3,0,0,0,,0.0,0.0,0,0,0,4,1,0,0,0,0,0,0.08,-0.011000000000000001,0.0,0.00%,-1.43,8b --- 0 out d4,8b end d 6,,CHW,3.0,L,7,12
5,6,157,2006-09-25,SEA,OAK,5-8,,0,3.1,3,0,0,1,2,0,0,10.8,13,48,31,8,5,4,6,2,2,0,,3.0,1.0,0,0,0,12,0,0,0,1,0,0,0.31,0.042,0.0,0.00%,1.98,5t 123 1 out d5,8t 1-- 2 out d3,,SEA,1.2903225806451613,W,10,9
6,7,29,2008-05-01,DET,NYY,9-GF,,99,1.0,0,0,0,1,0,0,0,0.0,4,15,7,3,0,2,1,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.57,0.021,0.57,0.01%,0.55,9b --- 0 out a4,9b end a 4,,NYY,1.0,W,8,4
7,8,30,2008-05-02,DET,MIN,8-GF(8),,0,0.1,0,0,0,0,1,0,0,0.0,1,3,3,1,1,0,0,0,0,0,,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.44,8b 12- 2 out d10,8b end d10,,MIN,0.0,L,1,11
8,9,32,2008-05-04,DET,MIN,8-GF(8),,1,1.0,0,0,0,0,1,0,0,0.0,3,10,8,3,3,2,0,0,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.42,0.032,0.46,0.02%,0.51,8b --- 0 out d1,8b end d 1,,MIN,0.0,L,6,7
9,10,35,2008-05-07,DET,BOS,7-8,BS(1),2,1.1,2,2,2,2,2,1,0,4.91,8,33,17,7,2,2,2,1,0,0,,2.0,2.0,1,0,0,6,0,0,0,0,0,0,2.34,-0.47700000000000004,1.85,-0.23%,-2.93,7t 1-3 2 out a3,8t 3 out d1,,DET,3.636363636363636,W,10,9
10,11,38,2008-05-10,DET,NYY,8-GF,,2,2.0,1,0,0,0,2,0,0,3.18,7,23,15,3,4,1,4,1,0,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,0,0.17,0.027000000000000003,0.13,0.01%,1.09,8t --- 0 out d3,9t end d 3,,DET,0.5,L,2,5
11,12,39,2008-05-13,DET,KCR,8-GF(8),L(0-1),2,1.0,2,1,0,1,2,0,0,2.7,6,25,14,2,7,2,1,1,0,0,,0.0,0.0,0,0,0,5,1,0,0,0,0,0,1.94,-0.22399999999999998,1.55,-0.11%,-0.48,8b --- 0 out tie,8b end d 1,,KCR,3.0,L,2,3
12,13,42,2008-05-16,DET,ARI,8-GF(8),,2,1.0,0,0,0,1,0,0,0,2.35,3,10,6,3,0,2,0,0,0,0,,0.0,0.0,0,0,0,2,0,0,0,1,0,0,0.59,0.035,0.33,0.01%,0.55,8b --- 0 out d1,8b end d 1,,ARI,1.0,L,3,4
13,14,43,2008-05-17,DET,ARI,8-8,H(1),0,1.0,1,0,0,0,0,0,0,2.08,3,9,6,2,1,1,2,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,1,0,0,2.55,0.149,1.18,0.04%,0.55,8b --- 0 out a1,8b 3 out a1,,ARI,1.0,W,3,2
14,15,45,2008-05-20,DET,SEA,9-9,,2,0.0,2,0,0,0,0,0,0,2.08,2,6,4,1,0,2,0,0,0,0,,2.0,2.0,0,0,0,2,0,0,0,0,0,0,0.34,-0.031,0.17,-0.01%,-2.0,9t 12- 1 out a6,9t 12- 1 out a4,,DET,inf,W,12,8
15,16,46,2008-05-21,DET,SEA,9-GF,,0,1.0,0,0,0,1,0,0,0,1.86,4,17,10,2,2,1,2,1,0,0,,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.13,0.006999999999999999,0.06,0.00%,0.55,9t --- 0 out a5,9t end a 5,,DET,1.0,W,9,4
16,17,50,2008-05-25,DET,MIN,8-8,L(0-2),3,1.0,2,4,4,2,2,1,0,5.06,7,25,13,3,3,1,2,1,0,0,,0.0,0.0,0,0,0,4,0,0,1,0,0,0,3.04,-0.452,2.38,-0.21%,-3.46,8t --- 0 out tie,8t 3 out d4,,DET,4.0,L,1,6
17,18,52,2008-05-27,DET,LAA,8-8,BS(2),1,0.2,1,0,0,2,1,0,0,4.76,5,21,9,1,4,0,2,1,0,0,,2.0,2.0,0,0,0,3,0,0,0,0,0,0,4.37,-0.14800000000000002,2.24,-0.05%,-0.55,8b -23 1 out a2,8b 3 out tie,,LAA,15.0,L,2,3
18,19,57,2008-06-02,DET,OAK,9-GF,L(0-3),5,0.1,2,1,1,0,0,0,0,5.4,3,8,5,1,1,2,1,1,0,0,,0.0,0.0,0,0,0,2,0,0,0,0,0,0,2.87,-0.363,1.78,-0.13%,-1.02,9b --- 0 out tie,9b end d 1,,OAK,20.0,L,2,3
