Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,125,2001-08-21,CHC,MIL,GS-6,L(0-1),99,6.0,3,2,2,1,8,0,1,3.00,22,84,52,21,9,4,8,2,0,0,65,,,0,0,0,19,1,0,0,0,0,0,1.15,0.016,2.62,0.02%,0.99,1t start tie,6t 3 out d1,,CHC,0.6666666666666666,L,1,3
2,130,2001-08-26,CHC,STL,GS-6,W(1-1),4,5.2,4,0,0,2,6,0,0,1.54,22,92,59,26,6,5,9,5,0,0,65,,,0,0,0,20,1,0,0,0,0,0,.67,0.219,1.85,0.36%,2.39,1t start tie,6t -23 2 out a4,,CHC,1.1538461538461537,W,6,1
3,134,2001-08-31,CHC,ATL,GS-6,W(2-1),4,6.0,4,2,2,3,1,1,1,2.04,25,82,47,14,7,8,12,4,0,0,54,,,0,1,0,20,1,0,0,0,0,0,1.17,0.201,3.09,0.32%,1.25,1b start a 1,6b 3 out a3,,ATL,1.1666666666666667,W,8,2
4,139,2001-09-05,CHC,FLA,GS-6,,4,6.0,7,1,1,2,5,0,0,1.90,26,88,59,16,8,10,9,6,1,0,57,,,2,1,0,24,1,0,0,1,0,1,.98,0.196,2.86,0.34%,2.03,1b start tie,6b 3 out a3,,FLA,1.5,L,6,7
5,147,2001-09-21,CHC,HOU,GS-5,,15,4.1,7,3,3,1,3,0,0,2.57,21,71,47,11,6,12,5,5,0,0,39,,,0,0,0,20,2,0,0,0,0,0,1.18,-0.154,2.83,-0.22%,-0.94,1b start a 1,5b -2- 1 out d1,,HOU,1.9512195121951221,W,12,4
6,152,2001-09-26,CHC,PIT,GS-7,W(3-1),4,6.0,6,3,3,3,4,1,0,2.91,27,101,64,15,10,11,10,1,0,0,49,,,0,0,0,24,0,0,0,0,0,0,.92,0.179,.58,0.07%,0.25,1b start a 2,7b --- 0 out a3,,PIT,1.5,W,8,4
7,157,2001-10-02,CHC,CIN,GS-6,,5,5.2,7,4,4,1,4,2,0,3.40,22,82,55,15,10,8,10,2,0,0,42,,,0,1,0,21,0,0,0,1,0,0,.88,-0.147,.07,-0.01%,-1.11,1t start tie,6t --- 2 out tie,,CHC,1.5384615384615383,L,4,5
8,162,2001-10-07,CHC,PIT,GS-5,,4,5.0,2,1,1,4,8,0,0,3.22,20,79,47,17,15,5,3,2,1,0,63,,,1,1,0,16,0,0,1,1,0,1,1.48,0.186,.00,0.00%,1.50,1t start tie,5t 3 out a1,,CHC,1.2,L,3,4
9,3,2002-04-04,CHC,CIN,GS-5,L(0-1),99,4.2,3,3,1,4,7,0,1,1.93,23,100,57,17,11,4,7,6,0,0,53,,,1,0,0,18,2,0,1,0,0,1,.93,-0.132,.95,-0.08%,-0.93,1b start tie,5b 1-3 2 out d2,,CIN,1.6666666666666665,L,1,3
10,8,2002-04-11,CHC,NYM,GS-7,L(0-2),6,6.2,5,2,1,2,6,0,0,1.59,28,104,68,19,14,8,13,4,3,0,62,,,1,0,0,25,0,0,0,0,0,2,1.17,0.077,.91,0.04%,1.17,1t start tie,7t 1-- 2 out d2,,CHC,1.129032258064516,L,2,3
11,13,2002-04-16,CHC,MON,GS-4,L(0-3),4,3.2,5,6,1,3,2,1,1,1.80,21,79,47,20,6,10,5,3,0,0,36,,,0,0,0,16,1,0,0,0,0,1,.74,-0.247,.64,-0.13%,-4.29,1b start tie,4b -2- 2 out d6,,MON,2.5,L,4,8
12,17,2002-04-21,CHC,CIN,GS-6,L(0-4),4,6.0,4,4,2,5,3,1,0,2.14,27,96,50,12,5,7,12,6,2,0,50,,,1,0,0,19,0,1,0,1,1,1,.62,-0.198,.49,-0.09%,-1.09,1t start tie,6t 3 out d3,,CHC,1.5,L,3,5
