,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,72,2018-06-20,PHI,STL,7-7,,99,0.1,1,0,0,0,1,0,0,0.0,2,9,6,1,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.99,-0.003,2.48,0.00%,-0.03,2.15,4.0,7t --- 0 out tie,7t 1-- 1 out tie,,PHI,10.0,W,4,3
1,2,73,2018-06-22,PHI,WSN,6-7,,1,1.2,1,0,0,1,1,0,0,0.0,6,22,13,2,4,3,1,0,1,0,,0,0,0,0,0,5,0,0,0,1,0,0,0.3,0.023,0.45,0.02%,0.79,4.55,8.0,6b --- 0 out a6,7b 1-- 2 out a6,,WSN,1.6666666666666667,W,12,2
2,3,75,2018-06-24,PHI,WSN,6-6,H(1),1,0.1,2,1,1,0,1,0,0,3.86,3,15,9,3,1,0,2,2,0,0,,1,1,0,0,0,3,2,0,0,0,0,0,1.67,-0.166,2.93,-0.17%,-1.63,-0.45,1.0,6b --3 2 out a3,6b 3 out a1,,WSN,20.0,L,6,8
3,4,76,2018-06-25,PHI,NYY,9-GF,,0,1.0,1,0,0,1,2,0,0,2.7,5,20,13,7,2,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.13,0.008,0.18,0.01%,0.49,5.05,9.0,9t --- 0 out d3,9t end d 3,,PHI,2.0,L,2,4
4,5,80,2018-06-29,PHI,WSN,4-6,,3,2.1,3,2,2,1,3,0,0,4.76,11,43,22,3,4,3,4,2,0,0,,0,0,0,0,0,9,2,0,0,0,1,0,0.05,-0.01,0.08,-0.01%,-0.86,4.85,10.0,4t --- 1 out d10,6t --- 2 out d7,,PHI,1.9047619047619049,L,7,17
5,6,82,2018-07-01,PHI,WSN,6-7,,1,1.1,0,0,0,0,3,0,0,3.86,4,17,12,3,3,0,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.13,0.114,1.88,0.11%,0.73,9.0,13.0,6t --- 0 out tie,7t --- 1 out tie,,PHI,0.0,W,4,3
6,7,85,2018-07-06,PHI,PIT,3-5,,4,1.2,3,1,1,0,1,0,0,4.15,8,34,21,4,4,3,4,3,1,0,,2,0,1,0,0,8,1,1,0,0,0,0,1.44,-0.085,2.2,-0.08%,-0.57,1.95,5.0,3b 12- 2 out a2,5b --3 1 out a1,,PIT,2.5,W,17,5
7,8,87,2018-07-08,PHI,PIT,8-GF(8),,1,1.0,0,0,0,1,1,0,0,3.72,4,15,8,4,1,1,1,0,1,0,,0,0,1,0,0,3,0,0,0,0,0,0,0.14,0.006,0.21,0.01%,0.46,3.65,6.0,8b --- 0 out d3,8b end d 3,,PIT,1.0,L,1,4
8,9,94,2018-07-14,PHI,MIA,7-GF(8),,5,1.1,0,0,0,0,1,0,1,3.27,5,19,13,5,2,2,1,0,1,0,,1,0,0,0,0,4,0,0,0,0,0,0,0.31,0.028999999999999998,0.46,0.03%,0.8,4.4,7.0,7b --3 2 out d2,8b end d 2,,MIA,0.0,L,0,2
9,10,95,2018-07-15,PHI,MIA,7-8,,0,0.1,0,1,1,0,0,0,1,3.97,2,4,2,1,0,0,1,0,0,0,,1,0,1,0,0,1,0,0,0,0,0,0,0.22,0.001,0.34,0.00%,-0.16,-1.85,-2.0,7b 1-- 2 out d3,8b 1-- 0 out d3,,MIA,0.0,L,5,10
