,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,78,2016-06-29,ATL,CLE,GS-6,L(0-1),99,6.0,7,3,3,1,1,1,0,4.5,25,85,56,12,2,11,13,5,2,0,46.0,,,1,0,0,24,2,0,0,2,0,1,1.1,-0.07,0.01,0.00%,-0.09,1t start tie,6t 3 out d3,,ATL,1.3333333333333333,L,0,3
1,2,83,2016-07-04,ATL,PHI,GS-6,L(0-2),4,6.0,9,7,4,0,4,2,0,5.25,28,83,57,9,8,8,16,10,3,0,36.0,,,0,0,0,27,5,1,0,0,0,0,0.53,-0.435,0.0,0.00%,-4.05,1b start a 1,6b 3 out d6,,PHI,1.5,L,2,8
2,3,87,2016-07-08,ATL,CHW,6-7,,3,1.1,2,1,1,1,1,0,1,5.4,9,34,19,8,3,2,4,2,0,0,,0.0,0.0,0,0,0,6,1,0,0,0,1,1,0.62,-0.057,0.0,0.00%,-1.2,6b --- 0 out a5,7b 1-3 1 out a4,,CHW,2.727272727272727,W,11,8
3,4,90,2016-07-15,ATL,COL,4-5,,6,1.1,1,0,0,0,0,0,0,4.91,5,20,12,2,1,2,3,2,1,0,,1.0,0.0,0,0,0,5,0,0,0,0,0,0,0.07,0.006,0.0,0.00%,0.71,4t 1-- 2 out d7,5t 3 out d7,,ATL,0.9090909090909092,L,2,11
4,5,93,2016-07-18,ATL,CIN,6-6,,2,1.0,1,0,0,0,2,0,0,4.6,5,19,14,5,5,2,1,1,0,0,,1.0,1.0,0,0,0,5,0,0,0,0,0,1,0.45,-0.018000000000000002,0.0,0.00%,-0.12,6b 1-- 0 out d3,6b 3 out d4,,CIN,1.0,L,2,8
5,6,96,2016-07-21,ATL,COL,6-6,,2,0.1,0,0,0,0,1,0,0,4.5,1,6,5,1,1,0,0,0,0,0,,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0.65,0.018000000000000002,0.0,0.00%,0.48,6b 12- 2 out d3,6b 3 out d3,,COL,0.0,L,3,7
6,7,97,2016-07-22,ATL,COL,5-6,L(0-3),0,1.0,2,2,2,1,0,1,0,5.29,5,21,12,3,1,1,3,1,0,0,,1.0,0.0,0,0,1,4,1,0,0,0,0,0,1.8,-0.188,0.0,0.00%,-1.03,5b 1-- 0 out a1,6b --- 0 out d1,,COL,3.0,L,3,4
7,8,99,2016-07-24,ATL,COL,4-5,,1,1.2,0,0,0,0,3,0,0,4.82,5,27,19,6,4,1,1,0,0,0,,0.0,0.0,0,0,0,5,0,0,0,0,0,0,0.05,0.006,0.0,0.00%,0.88,4b --- 1 out d7,5b 3 out d7,,COL,0.0,L,2,7
8,9,102,2016-07-28,ATL,PHI,9-GF,,3,0.2,0,0,0,0,0,0,0,4.66,2,4,3,0,0,1,1,0,1,0,,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0.09,0.004,0.0,0.00%,0.26,9t --- 1 out d3,9t end d 3,,ATL,0.0,L,5,7
9,10,105,2016-07-31,ATL,PHI,GS-5,,2,4.1,3,0,0,2,0,0,0,3.8,17,62,33,8,2,9,6,3,2,0,55.0,,,0,0,0,15,1,0,0,0,0,0,0.94,0.161,0.0,0.00%,1.53,1t start tie,5t 12- 1 out tie,,ATL,1.2195121951219514,W,2,1
10,11,109,2016-08-05,ATL,STL,GS-6,L(0-4),4,5.1,2,1,1,5,2,0,0,3.41,23,81,45,7,8,7,9,2,2,0,57.0,,,0,0,0,18,0,0,0,0,0,0,0.91,0.086,0.0,0.00%,1.02,1b start tie,6b 12- 1 out d1,,STL,1.3725490196078431,L,0,1
11,12,114,2016-08-10,ATL,MIL,GS-4,L(0-5),4,4.0,7,4,4,2,2,1,0,4.09,20,69,42,11,7,9,7,4,1,0,32.0,,,0,1,0,18,0,0,0,0,0,0,0.94,-0.248,0.0,0.00%,-1.98,1b start tie,4b 3 out d2,,MIL,2.25,L,3,4
12,13,119,2016-08-16,ATL,MIN,GS-6,L(0-6),5,5.2,4,1,1,2,4,0,0,3.72,22,97,58,19,3,9,8,3,1,0,59.0,,,0,0,0,20,1,0,0,1,0,0,0.86,0.146,0.0,0.00%,1.56,1t start tie,6t --3 2 out d1,,ATL,1.1538461538461535,L,2,4
13,14,124,2016-08-21,ATL,WSN,GS-6,,4,5.2,7,6,6,2,4,2,1,4.47,27,102,68,12,16,10,10,7,0,0,33.0,,,0,0,0,24,0,0,0,0,0,0,0.89,-0.33899999999999997,0.0,0.00%,-3.31,1t start tie,6t 1-- 2 out d3,,ATL,1.7307692307692306,W,7,6
14,15,129,2016-08-26,ATL,SFG,GS-4,L(0-7),4,4.0,7,6,3,0,2,1,0,4.66,20,67,43,11,3,8,10,5,1,0,32.0,,,0,0,0,19,2,0,0,0,0,1,0.57,-0.332,0.0,0.00%,-4.1,1b start tie,4b 3 out d6,,SFG,1.75,L,0,7
15,16,135,2016-09-02,ATL,PHI,GS-5,,6,5.0,6,4,4,2,5,1,0,4.89,23,84,56,12,7,9,7,5,0,0,42.0,,,0,0,0,21,2,0,0,0,0,0,0.63,-0.16899999999999998,0.0,0.00%,-1.55,1b start tie,5b 3 out tie,,PHI,1.6,W,8,4
16,17,139,2016-09-06,ATL,WSN,3-5,,3,2.2,1,0,0,0,3,0,0,4.66,9,37,27,1,8,3,3,1,1,0,,0.0,0.0,0,0,0,9,0,0,0,0,0,0,0.75,0.147,0.0,0.00%,1.29,3b --- 1 out d2,5b 3 out tie,,WSN,0.4545454545454545,L,7,9
17,18,143,2016-09-11,ATL,NYM,3-5,,4,1.1,3,3,3,1,1,1,0,5.02,8,36,23,2,4,3,3,1,0,0,,0.0,0.0,0,0,0,7,0,0,0,0,0,0,0.18,-0.035,0.0,0.00%,-1.4,3t --- 2 out d5,5t 12- 0 out d5,,ATL,3.636363636363636,L,3,10
18,19,146,2016-09-14,ATL,MIA,9-GF,,2,1.0,1,1,1,0,0,0,0,5.09,4,10,6,2,0,1,3,2,0,0,,0.0,0.0,0,0,0,2,1,0,0,0,1,0,0.68,-0.071,0.0,0.00%,-0.52,9t --- 0 out d1,9t end d 2,,ATL,1.0,L,5,7
19,20,155,2016-09-24,ATL,MIA,5-6,,9,2.0,1,0,0,2,1,0,0,4.92,9,32,18,8,3,1,5,1,0,0,,0.0,0.0,0,0,0,7,1,0,0,0,0,0,0.5,0.045,0.0,0.00%,0.92,5b --- 0 out d3,6b 3 out d2,,MIA,1.5,L,4,6
20,21,157,2016-09-28,ATL,PHI,6-7,,3,2.0,1,1,1,0,1,0,0,4.91,7,19,13,2,2,3,3,2,0,0,,0.0,0.0,0,0,0,7,1,0,0,0,0,0,0.07,0.005,0.0,0.00%,-0.03,6t --- 0 out a8,7t 3 out a7,,ATL,0.5,W,12,2
21,22,159,2016-09-30,ATL,DET,5-5,,1,0.1,0,0,0,1,0,0,0,4.88,2,13,6,3,0,1,0,0,0,0,,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0.47,0.009000000000000001,0.0,0.00%,0.43,5t 12- 2 out d5,5t 3 out d5,,ATL,10.0,L,2,6
