Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,129,2019-08-20,LAA,TEX,6-6,,99,0.2,0,0,0,0,1,0,0,0.00,2,6,4,2,1,0,1,0,1,0,,0,0,0,0,0,2,0,0,0,0,0,0,.53,0.029,.01,0.00%,0.48,3.50,5.00,6b --- 0 out d2,6b --- 2 out d2,2,TEX,0.0,L,2,3
2,130,2019-08-21,LAA,TEX,4-4,,0,0.2,0,0,0,0,1,0,0,0.00,2,12,7,2,1,1,0,0,0,0,,2,0,2,0,0,2,0,0,0,0,0,0,1.26,0.066,.01,0.00%,1.02,3.50,5.00,4b 12- 1 out d2,4b 3 out d2,,TEX,0.0,L,7,8
3,131,2019-08-23,LAA,HOU,8-GF(8),,1,1.0,0,0,0,0,2,0,0,0.00,3,14,12,4,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.46,0.037,.00,0.00%,0.57,6.25,9.00,8b --- 0 out d1,8b end d 1,,HOU,0.0,L,4,5
4,133,2019-08-25,LAA,HOU,6-7,,1,1.0,0,1,1,1,0,0,0,2.70,4,14,8,3,0,2,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.79,0.013,.00,0.00%,0.14,-0.35,0.00,6b --- 1 out d1,7b -2- 1 out d1,,HOU,1.0,L,2,11
5,134,2019-08-27,LAA,TEX,7-7,W(1-0),1,0.1,0,0,0,0,1,0,0,2.45,1,5,3,0,2,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.53,0.014,.00,0.00%,0.11,6.75,16.00,7t --- 2 out d1,7t 3 out d1,,LAA,0.0,W,5,2
6,135,2019-08-28,LAA,TEX,6-6,L(1-1),0,0.1,1,1,1,1,1,0,0,4.50,3,13,6,3,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.36,-0.053,.00,0.00%,-0.41,-0.45,1.00,6t --- 0 out tie,6t 12- 1 out tie,,LAA,20.0,L,0,3
7,136,2019-08-30,LAA,BOS,6-7,,1,1.2,0,0,0,0,1,0,0,3.18,4,12,8,3,0,1,2,0,0,0,,2,1,0,0,0,3,0,0,0,0,1,0,.66,0.027,.00,0.00%,0.98,5.75,8.00,6t 12- 0 out d2,7t --- 2 out d3,,LAA,0.0,L,6,7
8,138,2019-09-01,LAA,BOS,6-6,,1,1.0,0,0,0,1,2,0,0,2.70,4,16,10,1,5,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.57,0.041,.00,0.00%,0.54,5.65,9.00,6t --- 0 out d2,6t 3 out d2,,LAA,1.0,L,3,4
9,141,2019-09-05,LAA,OAK,7-7,,3,0.0,0,1,1,1,0,0,0,4.05,1,7,3,1,0,0,0,0,0,0,,3,1,0,0,0,0,0,0,0,0,0,0,4.99,-0.159,.00,0.00%,-1.00,-2.60,-3.00,7b 123 1 out a2,7b 123 1 out a1,,OAK,inf,L,6,10
10,144,2019-09-08,LAA,CHW,6-6,,2,0.2,2,1,1,1,1,0,0,4.91,5,19,13,2,2,1,2,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.70,-0.063,.00,0.00%,-0.92,-0.30,2.00,6b --- 0 out d2,6b 12- 2 out d3,,CHW,15.0,L,1,5
11,147,2019-09-11,LAA,CLE,5-5,,2,0.1,0,0,0,0,0,0,0,4.70,1,2,1,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.49,0.014,.00,0.00%,0.25,0.75,1.00,5t 1-- 2 out d3,5t 3 out d3,,LAA,0.0,L,3,4
12,149,2019-09-14,LAA,TBR,6-6,,2,0.0,0,1,1,1,0,0,0,5.87,1,7,3,1,0,0,0,0,0,0,,2,0,1,0,0,0,0,0,0,0,0,0,2.82,-0.031,.00,0.00%,-0.28,-2.60,-3.00,6t 1-3 2 out tie,6t 123 2 out tie,,LAA,inf,L,1,3
13,153,2019-09-19,LAA,NYY,8-8,,4,0.2,2,3,3,1,0,2,0,8.64,5,24,13,1,3,0,4,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.02,-0.005,.00,0.00%,-2.57,-6.30,-7.00,8b --- 0 out d5,8b --- 2 out d8,,NYY,15.0,L,1,9
14,156,2019-09-22,LAA,HOU,5-5,,2,0.0,3,3,3,0,0,1,0,11.88,3,8,4,0,1,0,3,2,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,.61,-0.138,.00,0.00%,-2.64,-7.80,-9.00,5b --- 0 out d2,5b -2- 0 out d4,,HOU,inf,L,5,13
15,158,2019-09-25,LAA,OAK,7-7,,2,0.0,1,0,0,0,0,0,0,11.88,1,2,2,0,0,0,1,1,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,3.19,-0.093,.00,0.00%,-0.67,-0.60,0.00,7t 12- 1 out tie,7t 123 1 out tie,,LAA,inf,L,2,3
16,159,2019-09-26,LAA,HOU,7-7,,0,0.0,1,0,0,0,0,0,0,11.88,1,1,1,0,0,0,1,1,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.04,-0.058,.00,0.00%,-0.40,-0.60,0.00,7t 1-- 1 out tie,7t 12- 1 out tie,,LAA,inf,W,4,3
17,162,2019-09-29,LAA,HOU,6-6,,2,1.0,0,0,0,1,1,0,0,10.61,4,21,12,3,0,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.05,0.004,.00,0.00%,0.54,3.65,6.00,6t --- 0 out d7,6t 3 out d7,,LAA,1.0,L,5,8
