Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,95,2011-07-18,MIN,CLE,GS-7,L(0-1),99,6.1,7,4,3,2,1,1,0,4.26,29,90,56,19,1,13,13,5,0,0,44,,,1,0,0,26,2,0,1,0,0,1,1.15,-0.232,.81,-0.10%,-0.71,1t start tie,7t 1-3 1 out d1,2,MIN,1.4754098360655739,L,3,6
2,131,2011-08-26,MIN,DET,GS-7,L(0-2),38,6.1,10,5,4,1,3,0,0,4.97,29,91,63,20,6,15,10,4,2,0,37,,,0,0,0,26,1,0,0,1,1,1,1.37,-0.025,.00,0.00%,-0.10,1t start tie,7t 123 1 out d1,,MIN,1.8032786885245902,L,1,8
3,136,2011-08-31,MIN,CHW,GS-6,W(1-2),4,6.0,3,3,3,3,5,1,0,4.82,23,87,54,19,5,9,6,1,1,0,56,,,1,0,0,20,1,0,0,1,0,0,.60,0.073,.00,0.00%,0.19,1b start a 6,6b 3 out a3,,CHW,1.0,W,7,6
4,141,2011-09-05,MIN,CHW,GS-5,L(1-3),4,5.0,8,2,2,2,4,0,0,4.56,25,90,56,10,14,7,12,5,1,0,45,,,0,0,0,23,1,0,0,0,0,0,1.24,0.009,.00,0.00%,0.48,1t start tie,5t 3 out d2,2,MIN,2.0,L,0,4
5,146,2011-09-11,MIN,DET,GS-6,L(1-4),5,6.0,7,2,1,4,4,0,0,3.94,27,95,60,16,11,10,9,4,0,0,52,,,0,0,0,23,0,0,1,3,0,1,.93,0.018,.00,0.00%,1.07,1b start tie,6b 3 out d2,,DET,1.8333333333333333,L,1,2
6,152,2011-09-19,MIN,NYY,GS-4,L(1-5),7,4.0,10,5,5,3,1,1,0,4.81,24,91,51,16,3,10,10,3,1,0,20,,,0,0,0,21,2,1,1,1,0,0,.67,-0.255,.00,0.00%,-2.87,1b start tie,4b 3 out d4,,NYY,3.25,L,4,6
7,158,2011-09-24,MIN,CLE,GS-6,,4,5.1,6,4,4,2,1,0,0,5.08,24,90,62,17,5,5,16,4,1,0,39,,,0,0,0,22,2,0,0,0,0,0,.85,0.108,.00,0.00%,-0.55,1b start a 1,6b -23 1 out a4,2,CLE,1.5686274509803924,L,6,7
8,29,2012-05-08,MIN,LAA,GS-7,W(1-0),99,7.0,4,0,0,1,6,0,0,0.00,25,102,62,19,9,12,6,4,1,0,74,,,0,0,0,24,1,0,0,1,0,0,.66,0.234,.25,0.05%,3.40,1t start tie,7t 3 out a5,,MIN,0.7142857142857143,W,5,0
9,34,2012-05-13,MIN,TOR,GS-7,W(2-0),4,7.0,5,0,0,0,4,0,0,0.00,26,101,63,20,3,14,8,2,0,0,71,,,4,0,0,26,1,0,0,0,0,1,.95,0.340,.29,0.06%,3.40,1t start tie,7t 3 out a4,,MIN,0.7142857142857143,W,4,3
10,39,2012-05-18,MIN,MIL,GS-6,W(3-0),4,5.1,8,3,3,1,3,1,0,1.40,23,86,56,19,5,12,7,4,0,0,42,,,2,1,0,22,3,0,0,1,0,0,1.19,-0.014,.36,0.00%,-0.69,1b start a 2,6b -2- 1 out a3,,MIL,1.7647058823529413,W,11,3
11,43,2012-05-23,MIN,CHW,GS-6,L(3-1),4,6.0,9,5,2,1,4,1,0,1.78,28,94,61,11,7,12,11,7,0,0,43,,,0,0,0,27,1,0,1,2,0,3,.75,-0.150,.34,-0.04%,-1.91,1b start tie,6b 3 out d5,,CHW,1.6666666666666667,L,0,6
12,48,2012-05-28,MIN,OAK,GS-7,,4,6.1,9,3,3,1,4,2,1,2.27,27,99,62,25,5,15,6,0,1,0,46,,,0,1,1,25,0,1,0,3,0,1,.85,-0.151,.12,-0.01%,-0.50,1t start tie,7t 12- 1 out tie,,MIN,1.639344262295082,W,5,4
13,53,2012-06-03,MIN,CLE,GS-7,W(4-1),5,7.0,7,3,0,0,2,0,0,1.86,29,93,61,18,4,18,9,4,1,0,59,,,0,0,0,28,2,0,0,1,1,3,1.25,0.149,.38,0.03%,0.26,1b start a 1,7b 3 out a2,,CLE,1.0,W,6,3
