Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,107,2010-08-03,CHC,MIL,GS-6,L(0-1),99,6.0,7,3,3,3,10,0,0,4.50,27,122,77,19,16,4,10,4,2,0,53,,,0,0,0,24,1,0,0,1,0,0,1.02,-0.056,.02,0.00%,0.05,1t start tie,6t 3 out d2,,CHC,1.6666666666666667,L,3,4
2,111,2010-08-08,CHC,CIN,GS-3,L(0-2),4,3.0,4,5,5,3,1,0,1,8.00,17,63,37,7,2,4,8,3,0,0,29,,,0,0,0,10,1,0,0,0,2,0,.98,-0.296,.00,0.00%,-3.48,1t start tie,3t 3 out d5,,CHC,2.3333333333333335,L,4,11
3,116,2010-08-13,CHC,STL,GS-4,L(0-3),4,4.0,6,4,4,4,2,1,0,8.31,21,86,49,11,4,4,11,5,0,0,32,,,0,0,0,15,2,0,1,0,1,0,1.32,-0.271,.00,0.00%,-2.11,1b start a 2,4b 3 out d2,,STL,2.5,L,3,6
4,121,2010-08-18,CHC,SDP,6-7,,4,2.0,1,0,0,0,2,0,0,7.20,6,30,18,5,2,1,3,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.48,0.074,.00,0.00%,1.02,6t --- 0 out d2,7t 3 out d2,,CHC,0.5,L,1,5
5,125,2010-08-22,CHC,ATL,7-7,,3,0.1,0,1,0,0,0,0,0,7.04,2,7,4,2,0,1,1,0,0,0,,2,0,0,0,0,2,0,0,0,0,0,1,1.07,-0.004,.00,0.00%,-0.08,7t 12- 0 out d2,7t 123 1 out d2,,CHC,0.0,L,5,16
6,126,2010-08-23,CHC,WSN,9-GF,,0,1.0,0,0,0,0,2,0,0,6.61,3,11,8,2,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,.00,0.00%,0.48,9b --- 0 out a8,9b end a 8,,WSN,0.0,W,9,1
7,129,2010-08-27,CHC,CIN,6-6,,3,1.0,0,0,0,1,2,0,0,6.23,4,18,11,3,3,1,0,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,.08,0.005,.00,0.00%,0.50,6b --- 0 out d5,6b 3 out d5,,CIN,1.0,L,1,7
8,132,2010-08-30,CHC,PIT,6-7,,2,1.2,0,0,0,0,3,0,0,5.68,5,31,21,6,4,1,1,0,0,0,,2,0,0,0,0,5,0,0,0,0,0,0,.01,0.002,.00,0.00%,1.43,6t 12- 1 out a12,7t 3 out a12,,CHC,0.0,W,14,2
9,134,2010-09-01,CHC,PIT,3-5,W(1-3),1,1.2,2,2,2,1,3,1,1,6.10,9,42,23,10,6,1,3,2,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.92,-0.215,.00,0.00%,-1.80,3t --- 2 out a1,5t 12- 1 out a1,,CHC,2.5,W,5,3
10,137,2010-09-05,CHC,NYM,8-9,,3,1.0,4,5,5,3,2,0,0,7.89,10,51,31,6,8,1,4,4,0,0,,1,0,0,0,0,7,0,0,0,0,0,0,.00,0.000,.00,0.00%,-4.61,8t -2- 2 out d8,9t 12- 2 out d13,,CHC,7.0,L,5,18
11,139,2010-09-07,CHC,HOU,7-9,,1,2.0,0,0,0,0,2,0,0,7.23,7,27,19,7,2,2,2,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.12,0.018,.00,0.00%,0.63,7t --- 0 out d4,9t 1-- 0 out d4,,CHC,0.0,L,3,7
12,143,2010-09-12,CHC,MIL,8-GF(8),,4,0.1,1,1,1,0,1,1,0,7.50,2,4,4,0,0,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.20,-0.081,.00,0.00%,-0.90,8b --- 2 out d1,8b end d 2,,MIL,10.0,L,0,2
13,149,2010-09-19,CHC,FLA,8-8,,6,1.0,0,0,0,1,2,0,0,7.20,4,16,9,4,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.10,0.007,.00,0.00%,0.50,8b --- 0 out a6,8b 3 out a6,,FLA,1.0,W,13,3
14,152,2010-09-23,CHC,SFG,2-5,,3,2.2,8,2,2,1,2,2,0,7.16,16,69,43,14,6,4,9,2,0,0,,3,3,0,0,0,15,1,0,0,1,0,0,.05,-0.055,.00,0.00%,-3.89,2t 123 2 out d6,5t 1-3 1 out d11,,CHC,4.090909090909091,L,0,13
15,155,2010-09-26,CHC,STL,9-GF,,2,0.1,0,0,0,1,1,0,0,7.07,2,10,3,2,0,0,0,0,0,0,,1,0,0,0,0,1,0,0,1,0,0,0,.97,0.018,.00,0.00%,0.23,9t 1-- 2 out d1,9t end d 1,,CHC,10.0,L,7,8
16,162,2010-10-03,CHC,HOU,7-7,,6,1.0,0,0,0,0,1,0,0,6.83,3,15,12,1,1,0,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,0.006,.00,0.00%,0.47,7b --- 0 out d4,7b 3 out d4,,HOU,0.0,L,0,4
