Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,74,2000-06-30,NYY,TBD,3-5,,99,2.2,1,0,0,2,2,0,0,0.00,10,40,20,8,3,5,1,1,0,0,,2,0,0,0,0,8,0,0,0,1,0,0,.77,0.143,1.05,0.12%,2.17,3b 12- 1 out d2,5b 3 out d2,,TBD,1.3636363636363635,L,4,6
2,77,2000-07-04,NYY,BAL,9-GF,,3,1.0,0,0,0,0,1,0,0,0.00,3,9,5,1,2,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,0.005,.11,0.01%,0.59,9t --- 0 out d4,9t end d 4,,NYY,0.0,L,6,7
3,78,2000-07-05,NYY,BAL,9-GF,,0,1.0,0,0,0,0,0,0,0,0.00,3,14,8,1,0,0,3,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.05,0.003,.07,0.00%,0.59,9t --- 0 out a6,9t end a 6,,NYY,0.0,W,12,6
4,84,2000-07-13,NYY,FLA,6-7,,7,1.0,3,2,2,0,0,0,0,3.18,6,15,11,3,1,1,5,3,0,0,,2,0,1,0,0,6,1,0,0,0,0,0,.33,-0.036,.53,-0.04%,-1.19,6t 12- 2 out d5,7t 1-- 2 out d6,,NYY,3.0,L,9,11
5,137,2000-09-07,NYY,KCR,9-9,,55,0.2,3,1,1,0,0,0,0,4.26,4,9,7,3,0,2,2,2,0,0,,2,1,0,0,0,4,0,0,0,1,0,0,.23,0.003,.13,0.00%,-0.92,9b 12- 0 out a6,9b 1-3 2 out a4,,KCR,15.0,W,7,3
6,145,2000-09-15,NYY,CLE,6-7,,7,1.0,3,3,3,0,1,1,0,7.36,6,25,17,3,0,2,3,1,1,0,,1,0,0,0,0,6,0,0,0,0,0,0,.03,-0.004,.00,0.00%,-2.17,6t -2- 2 out d8,7t --- 2 out d11,,NYY,3.0,L,1,11
7,147,2000-09-17,NYY,CLE,4-4,,1,1.0,1,0,0,0,2,0,0,6.48,4,12,9,1,3,0,2,1,0,0,,2,2,0,0,0,4,1,0,0,0,0,0,.00,0.000,.00,0.00%,0.10,4t -23 0 out d12,4t 3 out d14,,NYY,1.0,L,4,15
8,149,2000-09-19,NYY,TOR,8-GF(8),,1,1.0,4,2,2,1,0,0,0,7.71,7,21,13,2,1,1,5,5,0,0,,2,2,0,0,0,6,0,0,0,1,0,0,.00,0.000,.00,0.00%,-2.35,8b 12- 0 out d9,8b end d13,,TOR,5.0,L,3,16
9,155,2000-09-25,NYY,DET,3-3,,5,0.1,0,0,0,0,0,0,0,7.45,1,3,2,1,0,0,1,0,1,0,,2,0,0,0,0,1,0,0,0,0,0,0,.81,0.022,.02,0.00%,0.49,3t 12- 2 out d4,3t 3 out d4,,NYY,0.0,L,4,15
10,158,2000-09-28,NYY,TBD,7-GF(8),,2,1.1,3,0,0,0,2,0,0,6.55,7,23,17,5,2,1,4,2,2,0,,0,0,0,0,0,7,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.71,7b --- 2 out d10,8b end d 9,,TBD,2.727272727272727,L,3,11
