Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,34,2008-05-06,DET,BOS,7-8,,99,1.2,1,1,1,2,1,1,0,5.40,8,29,13,6,0,1,4,2,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.11,-0.022,.09,-0.01%,-0.17,7t --- 1 out d4,8t 3 out d5,,DET,2.5,L,0,5
2,36,2008-05-08,DET,BOS,7-8,,1,1.1,3,0,0,1,2,0,0,3.00,8,28,16,4,3,0,5,3,0,0,,0,0,0,0,0,7,1,0,0,0,0,0,.30,0.008,.25,0.00%,0.13,7t --- 0 out d4,8t 12- 1 out d4,,DET,3.6363636363636362,L,1,5
3,40,2008-05-14,DET,KCR,7-GF(8),,5,1.1,1,0,0,0,1,0,0,2.08,5,22,13,3,3,3,1,1,0,0,,3,0,0,0,0,5,0,0,0,0,0,0,.46,0.048,.35,0.02%,1.31,7b 123 2 out d2,8b end d 2,,KCR,0.9090909090909091,L,0,2
4,44,2008-05-18,DET,ARI,6-6,,3,0.0,0,0,0,1,0,0,0,2.08,1,7,3,1,0,0,0,0,0,0,,3,1,0,0,0,0,0,0,0,0,0,0,.99,-0.038,.49,-0.01%,-1.00,6b 123 2 out d3,6b 123 2 out d4,,ARI,inf,L,0,4
5,47,2008-05-22,DET,SEA,7-GF,S(1),3,3.0,0,0,0,0,1,0,0,1.23,9,33,21,7,1,6,2,0,1,0,,0,0,0,0,0,9,0,0,0,0,0,0,.04,0.011,.03,0.00%,1.63,7t --- 0 out a7,9t end a 7,,DET,0.0,W,9,2
6,51,2008-05-26,DET,LAA,10-12,L(0-1),3,2.1,3,1,1,2,1,0,0,1.86,12,38,15,2,1,7,2,1,0,0,,0,0,1,0,0,10,0,0,2,0,0,0,3.02,0.101,1.76,0.04%,0.01,10b --- 0 out tie,12b 123 1 out tie,,LAA,2.380952380952381,L,0,1
7,54,2008-05-30,DET,SEA,6-7,H(1),3,1.1,1,0,0,0,0,0,0,1.64,5,15,11,2,1,4,1,1,0,0,,1,0,0,0,0,5,1,0,0,0,0,0,.83,0.081,.40,0.02%,0.75,6b 1-- 2 out a3,7b 3 out a3,,SEA,0.9090909090909091,W,7,4
8,57,2008-06-02,DET,OAK,8-8,,2,0.1,1,0,0,0,0,0,0,1.59,2,8,4,1,0,1,1,1,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,2.53,0.001,1.57,0.00%,-0.03,8b 1-- 0 out tie,8b 12- 1 out tie,,OAK,10.0,L,2,3
9,58,2008-06-03,DET,OAK,11-GF(11),,0,0.1,2,0,0,1,0,0,0,1.54,4,14,6,1,1,3,0,0,0,0,,1,1,0,0,0,3,0,0,0,0,0,0,4.06,-0.302,2.22,-0.10%,-1.09,11b -2- 1 out tie,11b end d 1,,OAK,30.0,L,4,5
10,59,2008-06-04,DET,OAK,7-7,,0,0.1,0,1,1,1,1,0,0,2.25,2,10,5,4,0,0,0,0,0,0,,1,0,1,0,0,1,0,0,0,0,0,0,.51,0.004,.24,0.00%,0.09,7b 1-- 1 out d2,7b 12- 2 out d2,,OAK,10.0,L,2,10
11,62,2008-06-08,DET,CLE,8-8,H(2),3,0.2,0,0,0,0,2,0,0,2.13,2,9,6,2,1,0,0,0,0,0,,3,0,0,0,0,2,0,0,0,0,0,0,3.61,0.180,1.46,0.04%,1.62,8t 123 1 out a3,8t 3 out a3,,DET,0.0,W,5,2
12,64,2008-06-10,DET,CHW,7-8,H(3),1,1.2,3,1,1,0,1,0,0,2.51,7,23,14,3,2,1,5,3,0,0,,3,1,0,0,0,7,1,0,0,0,0,0,2.08,0.134,1.03,0.04%,0.17,7t 123 1 out a3,8t 3 out a2,,DET,2.5,W,6,4
13,67,2008-06-13,DET,LAD,8-GF,S(2),2,2.0,0,0,0,0,0,0,0,2.20,6,24,12,4,0,2,4,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.35,0.054,.19,0.02%,1.09,8t --- 0 out a3,9t end a 5,,DET,0.0,W,5,0
14,70,2008-06-16,DET,SFG,7-8,HL(0-2),2,1.1,2,2,2,0,0,0,0,3.06,6,17,12,4,0,2,4,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,2.34,-0.073,1.69,-0.03%,-0.17,7b --- 0 out a1,8b 1-3 1 out a1,,SFG,1.8181818181818181,L,6,8
15,72,2008-06-18,DET,SFG,7-8,,1,2.0,1,0,0,2,0,0,0,2.75,9,40,23,8,3,5,2,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.32,0.037,.22,0.02%,1.04,7b --- 0 out a5,8b 3 out a5,,SFG,1.5,W,7,2
16,74,2008-06-21,DET,SDP,8-8,H(5),2,0.1,1,0,0,0,0,0,0,2.70,1,5,2,1,0,0,1,1,0,0,,1,0,1,0,0,1,0,0,0,0,0,0,1.57,0.038,1.02,0.02%,0.21,8b 1-- 2 out a2,8b 3 out a2,,SDP,10.0,W,7,5
