Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
1,56,2012-06-05,OAK,TEX,5-6,,99,1.1,0,0,0,0,3,0,0,0.00,4,21,13,3,3,0,1,1,0,0,,1,0,0,0,0,4,0,0,0,0,0,0,.30,0.030,.24,0.02%,0.82,5t --3 2 out d5,6t 3 out d3,,OAK,0.0,L,3,6,,
2,59,2012-06-08,OAK,ARI,6-6,,2,0.2,2,2,2,0,1,0,0,9.00,4,21,13,3,2,1,2,0,1,0,,0,0,0,0,0,4,1,0,0,0,0,0,.50,-0.041,.35,-0.02%,-0.83,6b --- 0 out a4,6b -2- 2 out a3,,ARI,10.0,L,8,9,,
3,61,2012-06-10,OAK,ARI,7-GF(8),,1,2.0,0,0,0,0,5,0,0,4.50,6,28,19,8,4,0,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.48,0.072,.25,0.02%,0.98,7b --- 0 out d1,8b end d 1,,ARI,0.0,L,3,4,,
4,62,2012-06-12,OAK,COL,6-6,H(1),1,1.0,1,0,0,1,1,0,0,3.60,5,17,10,5,1,2,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,2.49,0.079,1.03,0.02%,0.56,6b --- 0 out a2,6b 3 out a2,,COL,2.0,W,8,5,,
5,66,2012-06-16,OAK,SDP,7-7,BW(1-0),3,1.0,2,2,2,1,2,0,0,6.00,6,22,14,7,2,1,2,0,0,0,,0,0,0,0,0,5,2,0,0,0,0,0,2.57,-0.354,1.72,-0.14%,-1.53,7t --- 0 out a1,7t 3 out d1,,OAK,3.0,W,6,4,,
6,71,2012-06-22,OAK,SFG,9-GF,,5,1.0,2,0,0,0,2,0,0,5.14,5,24,17,1,8,3,0,0,0,0,,2,2,1,0,0,4,0,0,0,0,0,0,1.18,-0.100,.74,-0.04%,-0.19,9t 1-3 0 out tie,9t end d 2,,OAK,2.0,L,4,5,,
7,73,2012-06-24,OAK,SFG,7-8,,1,1.2,2,0,0,0,3,0,0,4.15,7,29,22,3,5,2,2,1,1,0,,1,0,0,0,0,7,0,0,0,0,0,0,.92,0.095,.50,0.03%,0.90,7t 1-- 0 out d1,8t 12- 2 out d1,,OAK,1.6666666666666667,W,4,2,,
8,77,2012-06-28,OAK,TEX,7-GF(8),,3,1.2,3,0,0,0,1,0,0,3.48,7,38,28,5,5,2,4,1,1,0,,1,0,0,0,0,7,0,0,0,0,0,0,.86,0.082,.64,0.04%,1.10,7b 1-- 1 out d1,8b end d 1,,TEX,2.5,L,6,7,,
9,81,2012-07-02,OAK,BOS,7-GF,,3,2.1,0,0,0,0,3,0,0,2.84,7,28,23,7,4,1,3,0,2,0,,2,0,0,0,0,7,0,0,0,0,0,0,.16,0.029,.08,0.01%,1.36,7t 12- 2 out a5,9t end a 5,,OAK,0.0,W,6,1,,
10,84,2012-07-06,OAK,SEA,8-8,,3,1.0,0,0,0,1,0,0,0,2.63,4,12,7,2,0,0,3,0,0,0,,0,0,1,0,0,3,0,0,0,0,0,0,.81,0.048,.57,0.02%,0.47,8t --- 0 out d1,8t 3 out d1,,OAK,1.0,W,4,1,,
11,86,2012-07-08,OAK,SEA,11-11,,1,1.0,0,0,0,0,3,0,0,2.45,3,19,14,3,6,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.76,0.131,1.16,0.05%,0.47,11t --- 0 out tie,11t 3 out tie,,OAK,0.0,W,2,1,,
