Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,69,2010-06-18,BOS,LAD,GS-6,W(1-0),99,5.0,6,5,3,2,2,0,0,5.40,25,83,55,12,5,7,14,3,3,0,39,,,0,0,0,22,2,1,0,0,0,2,.94,-0.102,1.31,-0.09%,-3.37,1t start tie,6t 12- 0 out a5,,BOS,1.6,W,10,6
2,84,2010-07-06,BOS,TBR,GS-6,L(1-1),17,5.2,5,2,2,4,3,0,0,4.22,24,100,55,15,5,9,8,2,0,0,50,,,1,0,0,20,1,1,0,1,0,0,1.07,-0.044,2.22,-0.06%,0.08,1b start tie,6b 123 2 out d1,,TBR,1.7307692307692306,L,2,3
3,90,2010-07-16,BOS,TEX,GS-5,L(1-2),9,4.2,7,4,2,2,5,0,0,4.11,23,92,53,20,4,10,6,3,1,0,41,,,0,0,0,21,1,0,0,0,0,1,1.25,-0.002,1.71,0.00%,0.01,1t start tie,5t -23 2 out a1,,BOS,2.142857142857143,L,4,8
4,111,2010-08-07,BOS,NYY,8-GF(8),,21,1.0,0,0,0,0,2,0,0,3.86,3,14,9,2,1,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.09,0.007,.19,0.01%,0.53,8b --- 0 out d3,8b end d 3,,NYY,0.0,L,2,5
5,114,2010-08-10,BOS,TOR,6-7,BW(2-2),2,1.1,1,1,1,0,2,1,0,4.08,6,21,14,7,1,2,2,0,1,0,,2,0,0,0,0,6,0,0,0,0,0,0,2.23,-0.061,3.23,-0.05%,-0.05,6b 12- 2 out a1,7b 3 out tie,,TOR,0.9090909090909091,W,7,5
6,117,2010-08-13,BOS,TEX,7-7,H(1),2,0.2,2,2,2,0,1,0,0,4.91,4,14,10,2,3,1,2,0,0,0,,0,0,0,0,0,3,1,0,0,0,1,0,1.76,-0.065,2.56,-0.06%,-0.84,7b --- 0 out a3,7b --3 2 out a2,,TEX,10.0,L,9,10
7,118,2010-08-14,BOS,TEX,9-GF,S(1),0,0.2,0,0,0,0,1,0,0,4.74,1,4,3,2,1,0,0,0,0,0,,1,0,0,1,0,1,0,0,0,0,0,0,1.67,0.114,2.47,0.10%,0.56,9b 1-- 1 out a2,9b end a 2,,TEX,0.0,W,3,1
8,120,2010-08-17,BOS,LAA,8-8,,2,1.0,2,0,0,1,1,0,0,4.50,6,17,12,5,1,1,3,3,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.19,0.007,.25,0.01%,0.53,8t --- 0 out a6,8t 3 out a6,,BOS,3.0,W,6,0
9,125,2010-08-22,BOS,TOR,8-GF,S(2),4,2.0,1,0,0,0,2,0,1,4.09,8,29,20,5,2,2,3,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.45,0.052,.57,0.04%,1.05,8t --- 0 out a3,9t end a 5,,BOS,0.5,W,5,0
10,128,2010-08-25,BOS,SEA,8-GF,,2,1.1,0,0,0,1,2,0,0,3.86,5,19,12,3,3,1,1,0,0,0,,2,0,0,0,0,4,0,0,0,0,0,0,.52,0.050,.66,0.04%,1.04,8t 1-3 2 out d2,9t end d 2,2,BOS,0.9090909090909091,L,2,4
