Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,146,2010-09-15,TOR,BAL,GS-6,L(0-1),99,6.0,9,3,3,3,5,0,0,4.50,26,88,53,13,13,11,7,2,0,0,44,,,2,1,0,23,1,0,0,1,0,0,1.22,-0.089,.00,0.00%,-0.05,1b start a 1,6b 3 out d2,,BAL,2.0,L,1,3
2,151,2010-09-22,TOR,SEA,GS-5,L(0-2),6,5.0,4,3,3,1,3,2,0,4.91,20,84,50,11,12,10,6,2,0,0,49,,,0,0,0,19,0,0,0,2,0,2,.74,-0.084,.00,0.00%,-0.47,1t start tie,5t 3 out d1,,TOR,1.0,L,3,6
3,157,2010-09-28,TOR,NYY,GS-6,L(0-3),5,6.0,5,3,3,1,4,0,0,4.76,23,88,51,11,8,11,7,2,0,0,53,,,0,0,0,19,0,1,0,3,2,0,.96,-0.054,.00,0.00%,0.04,1t start tie,6t 3 out d2,,TOR,1.0,L,1,6
4,2,2011-04-02,TOR,MIN,GS-7,W(1-0),99,7.0,1,1,1,3,7,0,0,1.29,24,101,54,14,9,11,3,2,0,0,75,,,1,0,0,21,0,0,0,1,0,0,.84,0.230,.88,0.15%,2.65,1t start tie,7t 3 out a4,,TOR,0.5714285714285714,W,6,1
5,7,2011-04-08,TOR,LAA,GS-6,,5,6.0,6,2,1,4,5,0,0,1.38,26,103,64,18,11,7,10,3,3,0,55,,,0,1,0,22,2,0,0,1,0,0,.93,0.041,1.03,0.03%,0.77,1b start tie,6b 3 out tie,,LAA,1.6666666666666667,W,3,2
6,12,2011-04-13,TOR,SEA,GS-6,,4,5.2,6,2,2,4,5,1,0,1.93,27,114,59,19,9,8,10,6,1,0,50,,,0,0,1,22,1,0,0,0,0,1,1.16,-0.043,1.17,-0.03%,0.24,1b start tie,6b 1-3 2 out d1,,SEA,1.923076923076923,W,8,3
7,17,2011-04-19,TOR,NYY,GS-6,,5,5.1,6,4,4,4,2,1,1,3.00,24,93,50,19,6,7,10,4,2,0,38,,,0,1,0,19,1,0,0,2,0,0,1.15,-0.237,1.33,-0.16%,-1.81,1t start tie,6t 12- 1 out d2,,TOR,1.9607843137254903,W,6,5
8,22,2011-04-25,TOR,TEX,GS-6,W(2-0),5,6.0,5,3,3,2,2,1,0,3.30,23,101,61,15,10,13,6,2,0,0,50,,,0,0,0,21,2,0,0,2,0,0,.87,0.169,.79,0.09%,0.28,1b start tie,6b 3 out a3,,TEX,1.1666666666666667,W,6,4
9,27,2011-04-30,TOR,NYY,GS-3,L(2-1),4,2.1,7,5,5,4,4,0,0,4.45,18,78,40,14,5,3,7,3,0,0,23,,,1,0,0,13,1,0,0,0,1,0,1.31,-0.426,1.70,-0.33%,-5.02,1b start a 1,3b 123 1 out d3,,NYY,5.238095238095238,L,4,5
10,31,2011-05-05,TOR,TBR,GS-6,L(2-2),4,5.2,6,3,3,4,3,0,0,4.50,27,105,59,14,9,8,12,3,2,0,44,,,0,0,0,22,3,0,0,0,1,0,.76,-0.137,.84,-0.09%,-0.63,1b start tie,6b 12- 2 out d3,,TBR,1.923076923076923,L,1,3
