,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,136,2015-09-07,CHN,STL,8-8,,99,1.0,0,0,0,1,0,0,0,0.0,3,10,5,2,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,0.03,0.001,0.01,0.00%,0.47,8b --- 0 out a9,8b 3 out a9,,STL,1.0,W,9,0,,
1,2,142,2015-09-13,CHN,PHI,8-GF(8),,5,1.0,2,2,2,1,1,0,0,9.0,5,18,10,5,1,2,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,0.5,-0.095,0.22,-0.03%,-1.55,8b --- 0 out d1,8b end d 3,,PHI,3.0,L,4,7,,
2,3,154,2015-09-26,CHN,PIT,9-GF,,12,1.0,0,0,0,0,1,0,0,6.0,3,14,9,5,1,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.04,0.003,0.0,0.00%,0.46,9t --- 0 out d4,9t end d 4,,CHC,0.0,L,0,4,,
3,4,157,2015-09-29,CHN,CIN,8-9,,2,1.0,0,1,0,1,1,0,0,4.5,5,19,12,4,3,1,2,2,0,0,,1,0,0,0,0,4,0,0,0,0,0,1,0.58,0.006999999999999999,0.01,0.00%,-0.38,8b -2- 1 out a4,9b 1-- 1 out a3,,CIN,1.0,W,4,1,,
4,5,160,2015-10-02,CHN,MIL,9-GF,,2,0.2,1,0,0,0,1,0,0,3.86,3,11,8,2,2,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.07,0.002,0.01,0.00%,0.24,9b --- 1 out a5,9b end a 5,,MIL,5.0,W,6,1,,
5,6,70,2016-06-22,CHN,STL,6-7,,99,1.2,2,1,1,0,3,1,0,5.4,8,32,21,1,8,2,3,2,0,0,,1,1,0,0,0,8,0,0,0,0,0,0,0.06,-0.024,0.04,-0.01%,-0.82,6t -2- 1 out d5,7t 3 out d7,,CHC,1.6666666666666667,L,2,7,,
6,7,73,2016-06-25,CHN,MIA,8-GF(8),,2,1.0,0,0,0,0,1,0,0,3.38,3,16,11,3,2,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.03,0.002,0.02,0.00%,0.46,8b --- 0 out d4,8b end d 4,,MIA,0.0,L,6,9,,
7,8,76,2016-06-28,CHN,CIN,11-11,,2,1.0,0,0,0,0,2,0,0,2.45,3,13,9,1,3,0,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.81,0.13699999999999998,0.92,0.04%,0.5,11b --- 0 out tie,11b 3 out tie,,CIN,0.0,W,7,2,,
8,9,77,2016-06-29,CHN,CIN,8-GF,,0,2.0,0,0,0,1,2,0,0,1.59,6,29,20,7,5,1,2,2,0,0,,2,0,0,1,0,5,0,0,0,0,0,0,0.11,0.017,0.05,0.01%,1.99,8b 12- 0 out a7,9b end a 7,,CIN,0.5,W,9,2,,
9,10,80,2016-07-02,CHN,NYM,7-GF(8),,2,1.1,0,0,0,0,2,0,0,1.29,4,17,11,3,4,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.38,0.038,0.2,0.01%,0.57,7b --- 2 out d1,8b end d 1,,NYM,0.0,L,3,4,,
