,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
0,1,122,2014-08-15,TEX,LAA,8-8,,99,0.2,1,0,0,1,1,0,0,0.00,4,19,9,2,3,0,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.15,0.001,0.0,0.00%,0.06,8t --- 0 out d4,8t 12- 2 out d4,,TEX,10.0,L,4,5,,
1,2,126,2014-08-20,TEX,MIA,7-7,H(1),4,1.0,1,0,0,0,0,0,0,0.00,4,9,6,2,0,3,1,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,0.73,0.047,0.0,0.00%,0.44,7b --- 0 out a3,7b 3 out a3,,MIA,1.0,W,5,4,,
2,3,127,2014-08-22,TEX,KCR,9-GF,,1,1.0,1,1,0,1,1,0,0,0.00,5,23,12,3,2,2,1,0,1,0,,0,0,1,0,0,4,0,0,0,0,0,0,0.34,-0.032,0.0,0.00%,-0.52,9t --- 0 out d2,9t end d 3,,TEX,2.0,L,3,6,,
3,4,131,2014-08-26,TEX,SEA,6-7,,3,2.0,1,0,0,0,2,0,0,0.00,7,20,14,2,3,3,2,2,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,0.04,0.006,0.0,0.00%,0.88,6b --- 0 out d5,7b 3 out d5,,SEA,0.5,L,0,5,,
4,5,138,2014-09-02,TEX,KCR,8-GF(8),,6,0.1,1,0,0,0,0,0,0,0.00,2,10,8,3,1,0,2,1,0,0,,2,1,0,0,0,2,0,0,0,0,0,0,2.42,-0.23600000000000002,0.0,0.00%,-0.51,8b 1-3 2 out tie,8b end d 1,,KCR,10.0,L,1,2,,
5,6,140,2014-09-04,TEX,SEA,2-3,,1,0.2,2,3,3,2,2,0,0,4.76,6,25,12,6,3,2,0,0,0,0,,2,1,0,0,0,4,0,0,0,0,0,0,0.31,-0.051,0.0,0.00%,-1.98,2t 12- 2 out d5,3t 12- 1 out d7,,TEX,20.0,L,2,10,,
6,7,145,2014-09-10,TEX,LAA,7-7,,5,0.2,2,1,1,1,1,0,1,5.68,6,25,14,3,2,2,1,1,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,0.53,-0.049,0.0,0.00%,-1.28,7t --- 0 out d3,7t 123 2 out d4,,TEX,15.0,L,1,8,,
7,8,149,2014-09-14,TEX,ATL,9-GF,,3,1.0,2,0,0,0,0,0,0,4.91,4,12,7,1,1,1,3,2,0,0,,0,0,0,0,0,4,0,0,0,1,0,0,0.03,0.001,0.0,0.00%,0.48,9t --- 0 out a7,9t end a 7,,TEX,2.0,W,10,3,,
8,9,153,2014-09-19,TEX,LAA,8-8,,4,1.0,2,0,0,0,2,0,0,4.32,5,21,13,2,2,0,3,2,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,0.1,0.003,0.0,0.00%,0.44,8b --- 0 out a7,8b 3 out a7,,LAA,2.0,W,12,3,,
9,10,6,2015-04-11,TEX,HOU,6-6,,99,0.0,0,0,0,2,0,0,0,---,2,9,1,1,0,0,0,0,0,0,,2,1,0,0,0,0,0,0,0,0,0,0,1.69,-0.09,1.75,-0.06%,-1.27,6t 1-3 2 out a4,6t 123 2 out a3,,TEX,inf,W,6,2,,
10,11,47,2015-05-27,TEX,CLE,8-GF(8),,45,1.0,1,0,0,0,2,0,0,0.00,4,20,15,3,4,0,2,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.00%,0.52,8b --- 0 out d11,8b end d11,,CLE,1.0,L,3,12,,
11,12,49,2015-05-29,TEX,BOS,7-7,H(1),1,1.0,0,0,0,1,1,0,0,0.00,3,15,7,5,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,1.78,0.096,1.53,0.05%,0.51,7t --- 0 out a1,7t 3 out a1,,TEX,1.0,W,7,4,,
12,13,51,2015-05-31,TEX,BOS,6-7,,1,0.2,0,0,0,1,0,0,0,0.00,3,20,10,2,2,0,2,0,1,0,,2,0,1,0,0,2,0,0,0,0,0,0,1.48,0.054000000000000006,1.4,0.03%,0.48,6t 1-3 2 out d1,7t 1-- 1 out d1,,TEX,5.0,W,4,3,,
13,14,52,2015-06-02,TEX,CHW,8-8,,1,1.0,1,0,0,0,1,0,0,0.00,4,15,10,5,1,0,3,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.01,0.001,0.01,0.00%,0.51,8t --- 0 out a9,8t 3 out a9,,TEX,1.0,W,15,2,,
14,15,54,2015-06-04,TEX,CHW,7-7,,1,0.2,1,0,0,0,0,0,0,0.00,3,13,7,2,0,0,3,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.16,0.047,1.23,0.03%,0.28,7t --- 0 out tie,7t 1-- 2 out tie,,TEX,5.0,W,2,1,,
15,16,58,2015-06-09,TEX,OAK,7-7,H(2),4,0.1,1,0,0,1,1,0,0,0.00,3,15,8,3,1,0,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.52,-0.076,1.96,-0.06%,-0.41,7b --- 0 out a2,7b 12- 1 out a2,,OAK,20.0,W,2,1,,
16,17,60,2015-06-11,TEX,OAK,8-8,,1,0.2,2,4,4,2,0,1,0,6.75,6,18,7,2,1,0,4,3,1,0,,1,1,1,0,0,3,1,0,0,0,1,0,0.24,-0.098,0.33,-0.08%,-2.63,8b 1-- 0 out d1,8b 1-3 2 out d4,,OAK,20.0,L,0,7,,
17,18,62,2015-06-13,TEX,MIN,9-GF,,1,0.1,0,0,0,0,0,0,0,6.35,1,6,3,1,1,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.18,0.005,0.24,0.00%,0.33,9t -2- 2 out a4,9t end a 4,,TEX,0.0,W,11,7,,
18,19,66,2015-06-17,TEX,LAD,6-6,,3,0.0,0,0,0,1,0,0,0,6.35,1,5,1,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,2.13,-0.065,2.81,-0.05%,-0.37,6b 1-- 1 out a1,6b 12- 1 out a1,,LAD,inf,W,5,3,,
19,20,70,2015-06-21,TEX,CHW,6-6,,3,0.1,0,0,0,0,1,0,0,6.00,1,6,3,0,2,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0.77,0.021,1.04,0.02%,0.22,6b 1-- 2 out d1,6b 3 out d1,,CHW,0.0,L,2,3,,
20,21,135,2015-09-04,SDN,LAD,6-7,,74,1.1,3,1,1,1,1,1,0,6.14,8,33,19,8,0,2,4,3,0,0,,0,0,2,0,0,7,1,0,0,0,0,0,0.11,-0.027999999999999997,0.01,0.00%,-0.47,6t --- 2 out d4,7t 3 out d5,,SDP,3.636363636363636,L,4,8,,
