,Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
0,1,16,2016-04-23,MIA,SFG,8-GF(8),,99,1.0,1,1,1,0,0,0,0,9.0,4,12,9,4,0,1,3,1,1,0,,0,0,0,0,0,3,0,1,0,0,1,0,0.03,-0.005,0.02,0.00%,-0.53,8b --- 0 out d4,8b end d 5,,SFG,1.0,L,2,7
1,2,17,2016-04-24,MIA,SFG,6-6,,0,0.1,0,0,0,0,1,0,0,6.75,1,5,3,1,0,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,2.76,0.075,1.74,0.03%,0.48,6b 1-3 2 out tie,6b 3 out tie,,SFG,0.0,W,5,4
2,3,20,2016-04-27,MIA,LAD,8-8,,2,0.0,0,0,0,1,0,0,0,6.75,1,5,1,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,2.3,-0.079,1.77,-0.04%,-0.38,8b 1-- 1 out a2,8b 12- 1 out a2,,LAD,inf,W,2,0
3,4,21,2016-04-28,MIA,LAD,7-7,,0,0.0,1,0,0,0,0,0,0,6.75,1,5,2,1,0,0,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.52,-0.067,1.26,-0.03%,-0.38,7b --- 0 out a2,7b 1-- 0 out a2,,LAD,inf,W,5,3
4,5,24,2016-05-01,MIA,MIL,3-4,,2,1.2,6,3,3,1,1,1,1,12.0,12,32,19,6,4,2,7,5,0,0,,3,3,0,0,0,9,1,0,0,0,1,0,0.16,-0.062,0.15,-0.03%,-3.91,3b 123 1 out d4,4b 3 out d10,,MIL,5.833333333333334,L,5,14
5,6,134,2016-09-02,ANA,SEA,6-6,,99,1.0,0,0,0,0,0,0,0,9.0,3,8,7,2,1,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,0.04,0.003,0.0,0.00%,0.49,6b --- 0 out d6,6b 3 out d6,,SEA,0.0,L,8,11
6,7,136,2016-09-04,ANA,SEA,6-6,H(1),1,1.0,2,1,1,0,1,1,0,9.0,5,20,14,7,2,1,3,3,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.14,-0.024,0.0,0.00%,-0.51,6b --- 0 out a3,6b 3 out a2,,SEA,2.0,W,4,2
7,8,137,2016-09-05,ANA,OAK,7-7,H(2),0,0.1,1,0,0,0,0,0,0,8.44,2,6,4,1,1,1,1,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.66,-0.006,0.0,0.00%,-0.03,7b --- 0 out a1,7b 1-- 1 out a1,,OAK,10.0,W,10,7
8,9,140,2016-09-09,ANA,TEX,7-7,,3,0.0,1,0,0,0,0,0,0,8.44,1,5,4,0,1,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.26,-0.07200000000000001,0.0,0.00%,-0.66,7t 1-- 1 out d1,7t 1-3 1 out d1,,LAA,inf,L,1,2
9,10,141,2016-09-10,ANA,TEX,9-GF,,0,0.1,0,0,0,0,1,0,0,7.94,1,4,3,2,0,0,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,0.26,0.008,0.0,0.00%,0.49,9t 1-3 2 out d3,9t end d 3,,LAA,0.0,L,5,8
10,11,144,2016-09-13,ANA,SEA,6-7,,2,1.1,1,0,0,0,2,0,0,6.43,5,24,16,4,5,1,2,1,1,0,,0,0,0,0,0,5,1,0,0,0,0,0,0.02,0.001,0.0,0.00%,0.58,6t --- 2 out d8,7t 3 out d8,,LAA,0.9090909090909092,L,0,8
11,12,147,2016-09-16,ANA,TOR,7-7,,2,0.2,0,0,0,0,1,0,0,5.87,2,8,5,1,1,0,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0.51,0.025,0.0,0.00%,0.38,7t --- 0 out d2,7t --- 2 out d2,,LAA,0.0,L,0,5
12,13,148,2016-09-17,ANA,TOR,8-8,,0,0.1,0,0,0,1,0,0,0,5.63,2,5,1,0,0,0,1,0,0,0,,3,1,0,0,0,0,0,0,0,0,1,0,0.53,0.0,0.0,0.00%,-0.21,8t 123 1 out a6,8t 123 2 out a5,,LAA,10.0,W,6,1
13,14,150,2016-09-19,ANA,TEX,7-7,H(3),1,0.2,0,0,0,0,1,0,0,5.19,2,9,5,2,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.67,0.087,0.0,0.00%,0.43,7b --- 0 out a1,7b --- 2 out a1,,TEX,0.0,L,2,3
14,15,151,2016-09-20,ANA,TEX,5-5,,0,0.1,1,0,0,0,0,0,0,5.0,2,6,5,3,0,1,1,1,0,0,,2,1,0,0,0,2,0,0,0,0,0,0,1.42,-0.075,0.0,0.00%,-0.54,5b 12- 2 out d1,5b 3 out d2,,TEX,10.0,L,4,5
15,16,154,2016-09-23,ANA,HOU,8-8,W(1-0),2,0.2,0,0,0,0,0,0,0,4.66,1,2,1,0,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,1,0,0,0.47,0.022000000000000002,0.0,0.00%,0.89,8b 12- 1 out d2,8b 3 out d2,,HOU,0.0,W,10,6
16,17,158,2016-09-27,ANA,OAK,9-GF,,3,1.0,1,0,0,1,0,0,0,4.22,5,27,15,3,2,3,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.03,0.001,0.0,0.00%,0.48,9t --- 0 out a7,9t end a 7,,LAA,2.0,W,8,1
17,18,160,2016-09-30,ANA,HOU,9-GF,,2,1.0,1,0,0,1,3,0,0,3.86,5,22,14,5,4,1,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0.07,0.002,0.0,0.00%,0.48,9t --- 0 out a6,9t end a 6,,LAA,2.0,W,7,1
