Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score
1,135,2008-08-29,LAD,ARI,6-6,,99,0.2,0,0,0,1,2,0,0,0.00,3,20,11,6,2,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.41,0.017,1.04,0.03%,0.30,6b --- 0 out d2,6b 1-- 2 out d2,,ARI,5.0,L,3,9
2,137,2008-08-31,LAD,ARI,7-7,,1,1.0,1,1,1,0,3,1,0,5.40,4,16,10,4,4,0,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.06,0.002,.17,0.00%,-0.45,7b --- 0 out a8,7b 3 out a7,,ARI,1.0,W,8,1
3,140,2008-09-03,LAD,SDP,6-7,H(1),2,0.2,0,0,0,1,0,0,0,3.86,3,16,8,1,1,1,1,0,1,0,,2,0,0,0,0,2,0,0,0,0,0,0,2.43,0.065,5.13,0.08%,0.41,6t 12- 2 out a1,7t 1-- 1 out a1,,LAD,5.0,W,6,4
4,142,2008-09-06,LAD,ARI,9-9,,2,0.1,1,2,2,0,0,0,1,10.13,3,11,6,1,3,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.02,-0.001,.11,0.00%,-0.69,9t --- 0 out a7,9t 1-3 1 out a7,,LAD,10.0,W,7,2
5,144,2008-09-08,LAD,SDP,7-7,,1,1.0,1,0,0,1,0,0,0,7.36,4,14,8,2,0,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,1,0,0,.14,0.005,.37,0.01%,0.44,7b --- 0 out d4,7b 3 out d4,,SDP,2.0,L,0,4
6,146,2008-09-10,LAD,SDP,6-6,,1,0.2,0,0,0,0,1,0,0,6.23,2,7,4,1,1,1,0,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.83,0.043,1.82,0.06%,0.63,6b -2- 1 out a4,6b 3 out a4,,SDP,0.0,W,7,2
7,147,2008-09-12,LAD,COL,7-7,H(2),1,0.1,0,0,0,0,1,0,0,5.79,1,7,5,0,2,0,0,0,0,0,,1,0,1,0,0,1,0,0,0,0,0,0,2.12,0.041,3.44,0.04%,0.23,7b 1-- 1 out a2,7b -2- 2 out a2,,COL,0.0,W,7,2
8,152,2008-09-17,LAD,PIT,7-7,L(0-1),4,0.0,3,4,4,1,0,1,0,13.50,4,18,9,4,1,0,3,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,.72,-0.374,.38,-0.12%,-2.49,7b --- 2 out tie,7b -23 2 out d2,,PIT,inf,L,8,15
9,157,2008-09-23,LAD,SDP,9-GF,,5,1.0,1,0,0,0,1,0,0,11.12,4,12,8,1,1,2,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,.01,0.00%,0.50,9t --- 0 out a9,9t end a 9,,LAD,1.0,W,10,1
10,159,2008-09-25,LAD,SDP,5-5,,1,0.1,2,1,1,0,0,0,0,12.00,3,10,7,2,0,2,1,0,0,0,,1,1,1,0,0,3,0,0,0,0,0,0,.60,-0.139,.08,-0.01%,-1.68,5t -2- 2 out d2,5t 3 out d4,,LAD,20.0,L,5,7
11,13,2009-04-19,LAD,COL,5-7,W(1-0),99,2.2,3,2,2,0,2,2,0,6.75,11,38,28,8,7,2,7,2,1,0,,2,0,0,0,0,11,0,0,0,0,0,0,.26,0.065,.35,0.05%,-0.17,5t 12- 1 out a4,7t 3 out a9,,LAD,1.3636363636363635,W,14,2
12,19,2009-04-26,LAD,COL,5-6,,6,1.1,3,1,1,0,0,0,0,6.75,7,26,17,4,2,3,4,3,0,0,,3,3,0,0,0,6,0,1,0,0,0,0,.07,-0.022,.09,-0.02%,-2.63,5b 123 2 out d6,6b 3 out d8,,COL,2.727272727272727,L,4,10
13,22,2009-04-29,LAD,SFG,6-8,,2,2.1,4,2,2,1,4,1,0,7.11,12,44,31,7,10,3,4,1,1,0,,0,0,0,0,0,11,1,0,0,0,0,0,.05,-0.011,.07,-0.01%,-0.75,6b --- 0 out d5,8b --- 1 out d4,,SFG,2.380952380952381,L,4,9
14,87,2009-07-11,LAD,MIL,4-6,,72,2.2,0,0,0,1,3,0,0,5.00,7,34,19,9,3,2,1,0,1,0,,1,0,0,1,0,6,0,0,0,1,0,0,.77,0.108,.43,0.04%,1.49,4b 1-- 1 out d4,6b 3 out d1,,MIL,0.45454545454545453,L,3,6
15,89,2009-07-16,LAD,HOU,9-GF,,4,0.1,0,0,0,0,0,0,0,4.82,1,4,3,1,1,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.13,0.003,.07,0.00%,0.22,9t 1-- 2 out d3,9t end d 3,,LAD,0.0,L,0,3
16,90,2009-07-17,LAD,HOU,7-8,,0,2.0,2,0,0,0,3,0,0,3.97,8,33,24,5,4,3,2,0,1,0,,0,0,0,0,0,8,0,0,0,0,0,0,.02,0.002,.01,0.00%,0.95,7t --- 0 out d7,8t 3 out d7,,LAD,1.0,L,1,8
17,105,2009-08-02,LAD,ATL,6-8,,15,2.2,1,1,1,1,1,0,0,3.86,10,37,25,8,3,2,6,1,1,0,,0,0,0,0,0,9,0,0,0,0,0,0,.20,0.043,.13,0.02%,1.05,6b --- 0 out a5,8b 12- 2 out a8,,ATL,0.9090909090909091,W,9,1
18,109,2009-08-06,LAD,ATL,9-GF,W(2-0),3,0.1,0,0,0,0,1,0,0,3.77,1,6,3,0,1,0,0,0,0,0,,1,0,1,0,0,1,0,0,0,0,0,0,.35,0.007,.26,0.00%,0.22,9t 1-- 2 out d2,9t end d 2,,LAD,0.0,W,5,4
19,110,2009-08-07,LAD,ATL,12-GF(12),,0,0.2,2,2,2,0,1,1,0,4.80,4,13,7,2,1,0,3,0,1,0,,2,2,0,0,0,4,0,0,0,0,0,0,2.60,-0.402,1.49,-0.14%,-3.12,12t 12- 1 out tie,12t end d 4,,LAD,10.0,L,5,9
20,133,2009-09-01,LAD,ARI,6-6,H(1),24,0.1,2,2,2,1,1,0,0,5.87,4,18,13,5,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.91,-0.144,1.34,-0.06%,-1.17,6t --- 1 out a2,6t 12- 2 out a1,,LAD,30.0,W,4,3
21,134,2009-09-02,LAD,ARI,7-7,,0,1.0,0,0,0,1,1,0,0,5.51,4,17,7,1,1,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.19,0.010,.12,0.00%,0.47,7t --- 0 out d4,7t 3 out d4,,LAD,1.0,L,1,4
22,136,2009-09-04,LAD,SDP,9-9,,1,0.1,0,0,0,0,0,0,0,5.40,1,3,1,0,0,0,1,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,.27,0.007,.15,0.00%,0.22,9t --- 0 out d2,9t --- 1 out d2,,LAD,0.0,L,0,2
23,144,2009-09-13,LAD,SFG,6-6,,8,0.1,0,0,0,0,0,0,0,5.29,1,8,6,0,1,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.06,0.002,.02,0.00%,0.50,6b 1-3 2 out d7,6b 3 out d7,,SFG,0.0,L,2,7
24,154,2009-09-25,LAD,PIT,8-8,,11,0.1,0,0,0,0,0,0,0,5.19,1,1,1,0,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,.48,0.007,.06,0.00%,0.31,8b 12- 1 out d2,8b -23 2 out d2,,PIT,0.0,L,1,3
25,155,2009-09-26,LAD,PIT,8-8,H(2),0,0.1,0,0,0,0,1,0,0,5.09,1,3,3,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.03,0.026,.14,0.00%,0.23,8b --- 0 out a3,8b --- 1 out a3,,PIT,0.0,W,8,4
26,158,2009-09-29,LAD,SDP,8-8,,2,0.2,1,0,0,0,1,0,0,4.91,3,10,8,4,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.14,0.006,.02,0.00%,0.24,8b --- 0 out d2,8b 1-- 2 out d2,,SDP,5.0,L,1,3
27,159,2009-09-30,LAD,SDP,4-5,,0,1.0,0,0,0,2,1,0,0,4.66,5,26,13,2,2,2,0,0,0,0,,1,1,0,0,0,3,0,0,0,1,0,0,.26,-0.006,.07,0.00%,0.11,4b --3 1 out d4,5b --- 1 out d5,,SDP,2.0,L,0,5
28,160,2009-10-02,LAD,COL,7-7,,1,0.0,1,1,1,0,0,0,0,5.12,1,2,2,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,.95,-0.068,.53,-0.02%,-0.62,7t --- 0 out d1,7t -2- 0 out d1,,LAD,inf,L,3,4
29,162,2009-10-04,LAD,COL,8-8,H(3),1,0.1,0,0,0,0,1,0,0,5.03,1,7,4,0,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.72,0.020,.00,0.00%,0.31,8t -2- 2 out a3,8t 3 out a3,,LAD,0.0,W,5,3
30,49,2010-05-29,LAD,COL,5-5,,99,0.2,1,1,1,3,0,0,0,13.50,6,24,11,2,3,0,3,1,1,0,,2,2,0,0,0,3,0,0,0,0,0,0,.27,-0.023,.41,-0.02%,-2.24,5b 12- 0 out d5,5b 123 2 out d8,,COL,20.0,L,3,11
31,41,2011-05-15,LAD,ARI,8-8,,99,1.0,0,0,0,0,3,0,0,0.00,3,19,12,1,4,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.15,0.012,.14,0.01%,0.44,8t --- 0 out d3,8t 3 out d3,,LAD,0.0,L,1,4
32,42,2011-05-16,LAD,MIL,9-9,,0,0.1,0,0,0,0,0,0,0,0.00,1,3,2,0,0,0,1,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.04,0.031,.86,0.02%,0.56,9t 12- 0 out d1,9t 12- 1 out d1,,LAD,0.0,L,1,2
33,44,2011-05-18,LAD,SFG,6-6,,1,1.0,1,0,0,0,2,0,0,0.00,4,18,12,3,4,1,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.28,0.020,.30,0.01%,0.44,6t --- 0 out d3,6t 3 out d3,,LAD,1.0,L,5,8
34,46,2011-05-20,LAD,CHW,10-10,H(1),1,0.1,0,0,0,0,0,0,0,0.00,1,1,1,0,0,1,0,0,0,0,,2,1,0,0,0,1,0,0,0,0,0,0,2.77,0.088,1.80,0.03%,0.06,10b -23 1 out a3,10b --3 2 out a2,,CHW,0.0,W,6,4
35,48,2011-05-22,LAD,CHW,6-7,,1,0.2,0,0,0,1,0,0,0,0.00,3,11,4,0,1,0,2,0,1,0,,1,0,0,0,0,2,0,0,0,0,0,0,.15,0.010,.10,0.00%,0.58,6b -2- 2 out d5,7b --- 1 out d3,,CHW,5.0,L,3,8
36,52,2011-05-27,LAD,FLA,7-7,H(2),4,0.2,0,0,0,0,0,0,0,0.00,1,3,2,0,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,1,0,0,2.34,0.098,1.33,0.03%,0.47,7t 1-- 1 out a1,7t 3 out a1,,LAD,0.0,W,3,2
37,55,2011-05-30,LAD,COL,8-8,,2,0.0,1,0,0,1,0,0,0,0.00,2,6,2,1,0,0,1,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,.19,-0.017,.13,-0.01%,-0.96,8t --- 0 out a6,8t 12- 0 out a6,,LAD,inf,W,7,1
38,57,2011-06-01,LAD,COL,8-8,,1,0.2,1,0,0,1,0,0,0,0.00,5,14,8,4,0,3,1,1,0,0,,0,0,0,0,0,4,1,0,1,0,0,1,.28,-0.005,.23,0.00%,-0.29,8t --- 0 out d3,8t 123 2 out d3,,LAD,10.0,L,0,3
39,58,2011-06-03,LAD,CIN,7-7,,1,0.2,0,0,0,0,1,0,0,0.00,2,5,4,2,1,0,1,0,1,0,,1,0,0,0,0,2,0,0,0,0,0,0,1.05,0.058,.71,0.02%,0.66,7b -2- 1 out d1,7b 3 out d1,,CIN,0.0,L,1,2
40,59,2011-06-04,LAD,CIN,8-8,,0,1.0,0,0,0,0,1,0,0,0.00,3,12,8,2,3,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.39,0.104,.80,0.04%,0.48,8b --- 0 out tie,8b 3 out tie,,CIN,0.0,W,11,8
41,62,2011-06-07,LAD,PHI,7-8,H(3),2,1.1,1,0,0,0,1,0,0,0.00,5,24,14,5,1,1,3,1,1,0,,1,1,0,0,0,5,0,1,0,0,0,0,.74,-0.016,.45,-0.01%,-0.32,7b 1-- 2 out a3,8b 3 out a4,,PHI,0.9090909090909091,W,6,2
42,64,2011-06-09,LAD,COL,7-7,HL(0-1),1,0.1,1,2,2,1,1,0,0,2.25,3,14,9,2,2,0,1,1,0,0,,3,2,0,0,0,2,0,0,0,0,0,0,3.81,-0.148,2.68,-0.06%,-1.23,7b 123 0 out a4,7b 123 1 out a2,,COL,20.0,L,7,9
43,66,2011-06-11,LAD,COL,8-8,,1,0.0,2,3,3,1,0,0,0,5.63,3,10,5,1,0,1,1,1,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,.43,-0.062,.25,-0.02%,-1.85,8b --- 0 out a6,8b 123 0 out a6,,COL,inf,W,11,7
44,67,2011-06-12,LAD,COL,9-GF,S(1),0,0.1,0,0,0,0,0,0,0,5.40,1,4,3,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.66,0.049,1.16,0.02%,0.25,9b 1-- 2 out a2,9b end a 2,,COL,0.0,W,10,8
45,69,2011-06-14,LAD,CIN,8-8,,1,0.1,1,0,0,0,1,0,0,5.19,2,7,5,0,2,0,1,1,0,0,,2,1,0,0,0,2,0,0,0,0,0,0,3.11,-0.116,1.67,-0.04%,-0.34,8t 1-3 1 out tie,8t 1-3 2 out d1,,LAD,10.0,L,2,3
46,77,2011-06-24,LAD,LAA,9-GF,,9,0.2,0,0,0,0,0,0,0,4.82,2,11,9,1,2,0,2,0,0,0,,1,1,0,0,0,1,0,0,0,0,1,0,.01,-0.002,.00,0.00%,-0.11,9t --3 1 out d4,9t end d 5,,LAD,0.0,L,3,8
47,80,2011-06-27,LAD,MIN,9-GF,,2,1.0,0,0,0,0,2,0,0,4.35,4,22,14,3,3,1,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,.00,0.000,.00,0.00%,0.50,9b --- 0 out a15,9b end a15,,MIN,0.0,W,15,0
48,82,2011-06-29,LAD,MIN,8-8,,1,0.0,0,0,0,1,0,0,0,4.35,1,4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,.53,-0.019,.11,0.00%,-0.38,8b --- 0 out d1,8b 1-- 0 out d1,,MIN,inf,L,0,1
49,86,2011-07-04,LAD,NYM,8-8,,4,0.2,1,2,2,0,0,0,1,5.73,4,9,6,1,1,2,1,0,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,1.34,-0.002,.22,0.00%,-0.02,8t --- 0 out d1,8t 1-3 2 out d1,,LAD,5.0,L,2,5
50,88,2011-07-06,LAD,NYM,7-7,,1,1.0,1,0,0,0,1,0,0,5.25,4,17,10,1,2,2,1,0,0,0,,0,0,1,0,0,4,0,0,0,0,0,0,1.29,0.049,.14,0.00%,0.44,7t --- 0 out d1,7t 3 out d1,,LAD,1.0,L,3,5
51,94,2011-07-16,LAD,ARI,7-GF(8),,9,2.0,0,0,0,0,2,0,0,4.50,6,22,17,6,2,1,3,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.46,0.069,.07,0.01%,0.94,7b --- 0 out d1,8b end d 1,,ARI,0.0,L,2,3
52,96,2011-07-18,LAD,SFG,7-7,,1,1.0,0,0,0,0,1,0,0,4.20,3,13,8,2,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.03,0.002,.00,0.00%,0.42,7b --- 0 out d5,7b 3 out d5,,SFG,0.0,L,0,5
53,99,2011-07-22,LAD,WSN,7-7,,3,0.1,0,0,0,0,0,0,0,4.11,1,6,3,0,0,0,1,0,1,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.95,0.043,.09,0.00%,0.44,7t 12- 1 out d1,7t 12- 2 out d1,,LAD,0.0,L,2,7
54,104,2011-07-27,LAD,COL,9-GF,,4,0.2,0,0,0,0,1,0,0,3.94,1,5,4,1,2,0,0,0,0,0,,1,0,0,1,0,1,0,0,0,0,0,0,.11,0.006,.01,0.00%,0.47,9t 1-- 1 out d3,9t end d 3,,LAD,0.0,L,1,3
55,106,2011-07-30,LAD,ARI,7-8,,2,2.0,2,0,0,1,2,0,0,3.50,8,27,14,3,4,3,2,1,1,0,,0,0,0,0,0,7,0,0,1,1,0,0,.62,0.052,.04,0.00%,0.88,7t --- 0 out d2,8t 3 out d2,,LAD,1.5,L,4,6
56,111,2011-08-05,LAD,ARI,7-7,H(5),5,0.1,0,0,0,0,1,0,0,3.44,1,5,3,0,3,0,0,0,0,0,,3,0,0,0,0,1,0,0,0,0,0,0,4.24,0.106,.30,0.01%,0.76,7b 123 0 out a3,7b 123 1 out a3,,ARI,0.0,W,7,4
57,112,2011-08-06,LAD,ARI,9-GF,S(2),0,1.0,1,0,0,0,0,0,0,3.26,4,13,6,1,0,2,2,1,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,1.93,0.085,.21,0.01%,0.47,9b --- 0 out a2,9b end a 2,,ARI,1.0,W,5,3
58,114,2011-08-08,LAD,PHI,7-7,,1,0.2,1,0,0,1,1,0,0,3.15,4,16,8,1,4,0,2,1,0,0,,1,1,0,0,0,3,1,0,1,0,0,0,.64,-0.045,.04,0.00%,-0.37,7t -2- 1 out d2,7t 3 out d3,,LAD,10.0,L,3,5
59,118,2011-08-13,LAD,HOU,9-GF,,4,1.0,0,0,0,0,0,0,0,3.00,3,10,6,0,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.06,0.005,.00,0.00%,0.44,9t --- 0 out a5,9t end a 5,,LAD,0.0,W,6,1
60,120,2011-08-15,LAD,MIL,8-8,,1,0.1,1,1,1,0,0,1,0,3.38,2,6,3,0,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.36,-0.065,.01,0.00%,-0.78,8b --- 0 out d1,8b --- 1 out d2,,MIL,10.0,L,0,3
61,122,2011-08-17,LAD,MIL,8-GF(8),,1,0.2,0,0,0,0,0,0,0,3.27,2,9,9,2,2,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.14,0.007,.00,0.00%,0.25,8b --- 1 out d2,8b end d 2,,MIL,0.0,L,1,3
62,124,2011-08-19,LAD,COL,8-8,,1,0.2,1,0,0,0,1,0,0,3.18,3,16,12,4,1,1,1,1,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,.17,0.005,.00,0.00%,0.20,8b --- 0 out a6,8b -2- 2 out a6,,COL,5.0,W,8,2
63,125,2011-08-20,LAD,COL,8-9,,0,1.1,1,0,0,0,2,0,0,3.00,5,25,16,3,4,2,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1.70,0.117,.04,0.00%,0.53,8b --- 0 out tie,9b 1-- 1 out tie,,COL,0.9090909090909091,L,6,7
64,127,2011-08-22,LAD,STL,7-7,,1,1.0,0,0,0,0,0,0,0,2.88,3,13,10,2,1,0,3,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.52,0.038,.01,0.00%,0.45,7b --- 0 out d1,7b 3 out d1,,STL,0.0,W,2,1
65,130,2011-08-26,LAD,COL,9-GF,,3,1.0,2,0,0,0,1,0,0,2.77,5,19,12,7,1,1,3,2,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,.30,0.005,.00,0.00%,0.44,9t --- 0 out a5,9t end a 5,,LAD,2.0,W,6,1
66,131,2011-08-27,LAD,COL,9-9,,0,1.0,1,0,0,0,1,0,0,2.67,4,15,10,2,3,2,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.46,0.031,.01,0.00%,0.44,9t --- 0 out d1,9t 3 out d1,,LAD,1.0,W,7,6
67,135,2011-08-31,LAD,SDP,7-7,H(6),3,0.1,0,0,0,0,1,0,0,2.63,1,3,3,1,1,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,1.75,0.040,.01,0.00%,0.27,7t 1-- 1 out a2,7t 1-- 2 out a2,,LAD,0.0,W,4,2
68,137,2011-09-02,LAD,ATL,7-8,H(7),1,1.1,1,0,0,1,0,0,0,2.51,5,19,10,3,2,0,4,2,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.32,0.074,.02,0.00%,0.68,7b --- 0 out a3,8b --- 1 out a3,,ATL,1.8181818181818181,W,8,6
69,138,2011-09-03,LAD,ATL,7-7,,0,0.1,1,0,0,0,0,0,0,2.48,2,8,6,0,2,0,2,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1.32,-0.003,.03,0.00%,-0.03,7b --- 0 out tie,7b 1-- 1 out tie,,ATL,10.0,W,2,1
70,139,2011-09-04,LAD,ATL,8-8,,0,0.1,0,0,0,0,1,0,0,2.45,1,6,3,0,2,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,2.36,0.055,.06,0.00%,0.28,8b 1-- 1 out tie,8b 1-- 2 out tie,,ATL,0.0,L,3,4
71,145,2011-09-11,LAD,SFG,6-6,,6,0.2,1,1,1,2,1,0,0,2.70,5,21,10,5,1,0,2,1,0,0,,2,2,0,0,0,3,0,0,1,0,0,0,.24,-0.019,.00,0.00%,-1.68,6b -23 1 out d4,6b 3 out d7,,SFG,15.0,L,1,8
72,146,2011-09-12,LAD,ARI,6-6,,0,0.2,1,0,0,0,1,0,0,2.64,2,11,8,3,2,1,0,0,0,0,,3,2,0,0,0,2,0,0,0,0,0,0,.83,-0.057,.00,0.00%,-0.50,6t 123 1 out d2,6t 3 out d4,,LAD,5.0,L,2,7
73,150,2011-09-16,LAD,PIT,8-8,,3,1.0,1,0,0,0,1,0,0,2.56,4,10,9,3,2,2,1,0,1,0,,0,0,0,0,0,4,0,0,0,0,0,0,.13,0.009,.00,0.00%,0.44,8t --- 0 out a5,8t 3 out a5,,LAD,1.0,W,7,2
74,155,2011-09-22,LAD,SFG,9-GF,,5,1.0,1,0,0,1,1,0,0,2.48,5,15,9,2,1,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.03,0.002,.00,0.00%,0.44,9t --- 0 out a6,9t end a 6,,LAD,2.0,W,8,2
75,157,2011-09-24,LAD,SDP,8-GF(8),,1,0.2,1,0,0,0,2,0,0,2.43,3,11,9,2,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.05,0.003,.00,0.00%,0.22,8b --- 1 out d3,8b end d 3,,SDP,5.0,L,0,3
76,159,2011-09-26,LAD,ARI,8-8,,1,0.0,0,0,0,1,0,0,0,2.43,1,6,2,0,2,0,0,0,0,0,,3,1,0,0,0,0,0,0,0,0,0,0,2.74,-0.097,.00,0.00%,-1.00,8b 123 1 out a4,8b 123 1 out a3,,ARI,inf,W,4,2
